Id	GetTextType	Text	Icon	TipsBg	TipsEffect
1001	1	['<color=#FFFFFF>连携开始！！！</color>']	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png		
105101	1	['<color=#FFFFFF>极限技-浮世业火·改！</color>']			
105201	1	['<color=#FFFFFF>极限技-穹宇装甲！</color>']			
105301	1	['<color=#FFFFFF>极限技-恩典圣言！</color>']			
105202	1	['<color=#FFFFFF>对决开始！支援协同！</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate2.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectBlue.prefab
105203	1	['<color=#FFFFFF>目标压制！全面突击！</color>']			
105204	1	['<color=#FFFFFF>迎击弹开！请求增援！</color>']			
1051093	1	['<color=#FFFFFF>失衡追击</color>']	Assets/Product/Texture/Image/UiFightDlc/FightSkillIconRelinkPr.png		
800501	1	['<color=#FFFFFF>焚燎吐息</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800502	1	['<color=#FFFFFF>逆鳞铁壁</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800503	1	['<color=#FFFFFF>狱炎终界</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800504	1	['<color=#FFFFFF>炽痕噬咬</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800505	1	['<color=#FFFFFF>龙颚天光</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800506	1	['<color=#FFFFFF>战斗僵持，敌方攻击强度提升！</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805201	1	['<color=#FFFFFF>阻抗幽进</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805202	1	['<color=#FFFFFF>驳影制导</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805203	1	['<color=#FFFFFF>继刃斩别</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805204	1	['<color=#FFFFFF>实域兵辉</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
