Id	MainlineFashionId	DlcModelId	DlcWeaponIds	Portrait	BigPortrait	AnimatorController	NormalIdleAnim	DetailIdleAnim	ChooseAnim	NoChooseAnim	SkipId
1		R3WeiluonikaMd010011RM		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weiluonika1.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3WeiluonikaNormal01.png	Assets/Product/Role/Animation/R3WeiluonikaMdCommon/R3WeiluonikaMdCommonDisplay/R3WeiluonikaMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
2		R7LuxiyaMd010031		Assets/Product/Texture/Image/RoleCharacter/BoshiNomal01.png	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoleCharacterBig05.png	Assets/Product/Role/Animation/R7LuxiyaMdCommon/R7LuxiyaMdCommonDisplay/R7LuxiyaMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
3		R3WeiluonikaMd010011RM		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weiluonika1.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR3WeiluonikaNormal01.png	Assets/Product/Role/Animation/R3WeiluonikaMdCommon/R3WeiluonikaMdCommonDisplay/R3WeiluonikaMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
4		R7LuxiyaMd010031		Assets/Product/Texture/Image/RoleCharacter/FengneigutemianjuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4ShenweiNormal01.png	Assets/Product/Role/Animation/R7LuxiyaMdCommon/R7LuxiyaMdCommonDisplay/R7LuxiyaMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
5		R4ShenweiMd010031		Assets/Product/Texture/Image/RoleCharacter/BiankaNormal03.png	Assets/Product/Role/Animation/R4ShenweiMdCommon/R4ShenweiMdCommonDisplay/R4ShenweiMdCommonTheatre6.controller	Assets/Product/Role/Animation/R4ShenweiMdCommon/R4ShenweiMdCommonDisplay/R4ShenweiMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
6		R4ShenweiMd010031		Assets/Product/Texture/Image/RoleCharacter/BoshiNomal01.png	Assets/Product/Role/Animation/R4ShenweiMdCommon/R4ShenweiMdCommonDisplay/R4ShenweiMdCommonTheatre6.controller	Assets/Product/Role/Animation/R4ShenweiMdCommon/R4ShenweiMdCommonDisplay/R4ShenweiMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
7		R3NietiyaMd010031		Assets/Product/Texture/Image/RoleCharacter/ChoujueNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4DubianNormal01.png	Assets/Product/Role/Animation/R3NietiyaMdCommon/R3NietiyaMdCommonDisplay/R3NietiyaMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
8		R3NietiyaMd010031		Assets/Product/Texture/Image/RoleCharacter/FengneigutemianjuNormal01.png	Assets/Product/Texture/Image/RoleCharacterBig/RoleCharacterBigR4ShenweiNormal01.png	Assets/Product/Role/Animation/R3NietiyaMdCommon/R3NietiyaMdCommonDisplay/R3NietiyaMdCommonTheatre6.controller	Theatre01	Theatre03	Theatre02	Theatre04	
100				Assets/Product/Texture/Image/RoleCharacter/Me1JiegouqiutuMd010001.png	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Boss01.png						
101				Assets/Product/Texture/Image/RoleCharacter/V270monsterNormal01.png	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Boss04.png						
102				Assets/Product/Texture/Image/RoleCharacter/V270monsterNormal01.png	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Boss02.png						
103				Assets/Product/Texture/Image/RoleCharacter/V130klrdNormal01.png	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Boss03.png						
