Id	Name	Pirority	IsHide	Desc	SaveWeight	Icon
1	placeholder_标签1	1		placeholder_这是标签1	10	Assets/Product/Texture/Image/IconToolsSp/IconBlueGymCabinet001Sp.png
2	placeholder_标签2	2				Assets/Product/Texture/Image/IconToolsSp/IconBlueBazhisushe001Sp.png
11	晕眩	11		placeholder_晕眩期间，无法获取【超序值】	10	Assets/Product/Texture/Image/IconAffix/AffixIconMoai2.png
12	点燃	2		placeholder_每有一层，对手技能命中时额外附加10%攻击的伤害，持续时间无限，可无限叠加。	10	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png
13	击飞	2		placeholder_敌人被击飞期间，无法触发格挡。	10	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png
14	击倒	2		placeholder_敌人被击倒期间，无法触发格挡。	10	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png
15	次数暴击	1		placeholder_下1次使用技能时，消耗1层<暴击>并触发【暴击】。持续时间无限，可无限叠加。	10	Assets/Product/Texture/Image/IconAffix/AffixIconBodong2.png
16	暴击	2		placeholder_此次技能造成伤害提升50%。	10	Assets/Product/Texture/Image/IconAffix/AffixIconBodong2.png
17	次数格挡	1		placeholder_下1次对手技能命中时，消耗1层<格挡>并触发【格挡】。持续时间无限，可无限叠加。	10	Assets/Product/Texture/Image/IconAffix/AffixIconBilei2.png
18	格挡	2		placeholder_此次技能受到伤害降低50%。	10	Assets/Product/Texture/Image/IconAffix/AffixIconBilei2.png
19	怒火	1		placeholder_通过使用技能，可以获得一定点数的【怒火】，持续时间无限。\n【怒火】上限为100点，达到上限时，进入【狂袭】。	10	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png
20	狂袭	2		placeholder_【狂袭】状态下，造成伤害提高X%，使用任意技能均将消耗10点【怒火】，部分技能将触发额外效果。\n在【怒火】消耗至0时，【狂袭】状态结束。【狂袭】无法叠加。	10	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo2.png
21	拼刀	1		placeholder_战斗开始时以及双方【战意值】均耗尽时，将触发一次【拼刀】。在【拼刀】中获胜的一方，将获得出手权。	10	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun2.png
22	反制	1		placeholder_战斗中一方【超序值】达到100点时，将触发一次【反制】。在【反制】中获胜的一方，将获得出手权。	10	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png
23	先机	3		placeholder_部分技能在【先机】属性高时可以造成额外效果。	10	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun2.png
24	超序	3		placeholder_部分技能在【超序】属性高时可以造成额外效果。	10	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png
25	战意	3		placeholder_部分技能在【战意】属性高时可以造成额外效果。	10	Assets/Product/Texture/Image/IconAffix/AffixIconTongling2.png
