Id	CharacterId	Name	Info	Priority	FashionIds	TagBuffIds	BuffConditionIds	PlayDiffGroupIds	BaseSkill	AttrValue	StoryItems	BuildTags	DlcAttrGroup	TemplateId	Bg	ConditionId
1	1081004	placeholder_测试渡边			[1, 3]	[1, 2]			[10255121]	{1: 100, 2: 1200, 3: 100, 4: 200, 5: 200}		[1]	1011	1011		
2	1211003	阿尔法	被誉为“血腥女爵”，在她的异色瞳孔之下，封存着她不愿宣之于口的秘密和过往。	4	[2, 4]	[1, 2, 3]		[2]	[10262011, 10262021, 10262031, 10262041]	{1: 100, 2: 1200, 3: 100, 4: 200, 5: 200}		[1, 2]	1025	1026		
3	1381003	维罗妮卡	行走于迷雾中，冷傲独行，但在“嗜血妖鸟”之名背后，却似乎有着不为人知的一面。	3	[1, 3]	[4, 5, 6]		[1]	[10255121, 10255131, 10255141, 10255151]	{1: 100, 2: 1200, 3: 100, 4: 200, 5: 200}		[1]	1025	1025		
4	10	神威	被誉为“血腥女爵”，在她的异色瞳孔之下，封存着她不愿宣之于口的秘密和过往。	2	[5, 6]	[1, 2, 3]		[2]	[10262011, 10262021, 10262031, 10262041]	{1: 100, 2: 1200, 3: 100, 4: 200, 5: 200}		[1, 2]	1025	1026		
5	11	涅缇娅	行走于迷雾中，冷傲独行，但在“嗜血妖鸟”之名背后，却似乎有着不为人知的一面。	1	[7, 8]	[4, 5, 6]		[1]	[10255121, 10255131, 10255141, 10255151]	{1: 100, 2: 1200, 3: 100, 4: 200, 5: 200}		[1]	1025	1025		
10	8226	囚徒			[100]								1025	8226		
11	1	幻影·维罗妮卡			[101]								1025	1025		
12	2	烛影			[102]								1025	8225		
13	3	柯蕾多尔			[103]								1025	8225		
100	4	圣女米娅			[102]								1025	8225		
