Id	CharacterId	SkillIds	AttrTypes	SaveTags	SupportDesc	ShowSkills	Score	BuildTags	AttrPacks	AttrPackNums	DlcAttrGroup
1	11	[1, 6]	{1: 20, 2: 150, 3: 10, 4: 10, 5: 10}	[1]		[1]		[1]	[1]	[1]	1025
2	11	[1, 6]	{1: 20, 2: 150, 3: 20, 4: 20, 5: 20}	[1, 2]		[6]		[1, 2]	[1, 2]	[1, 1]	1025
3	11	[1, 6]	{1: 30, 2: 150, 3: 30, 4: 30, 5: 30}	[1, 2]		[6]		[1, 2]	[1, 2]	[1, 2]	1025
100	10	[82261011, 82261021, 82261031, 82261041, 82264011]	{1: 175, 2: 1800, 3: 80, 4: 210, 5: 210}			[82264011, 82261031]			[1]	[1]	1025
101	10	[82261012, 82261022, 82261032, 82261042, 82264012]	{1: 250, 2: 5000, 3: 80, 4: 280, 5: 280}			[82264012, 82261032]			[1, 2]	[1, 1]	1025
102	10	[82261013, 82261023, 82261033, 82261043, 82264013]	{1: 450, 2: 10000, 3: 80, 4: 400, 5: 400}			[82264013, 82261033]			[1, 2]	[1, 2]	1025
103	10	[82261014, 82261024, 82261034, 82261044, 82264014]	{1: 225, 2: 3000, 3: 80, 4: 260, 5: 260}			[82264014, 82261034]			[1]	[1]	1025
104	10	[82261014, 82261024, 82261034, 82261044, 82264014]	{1: 300, 2: 6000, 3: 80, 4: 310, 5: 310}			[82264014, 82261034]			[1]	[1]	1025
105	10	[82261014, 82261024, 82261034, 82261044, 82264014]	{1: 625, 2: 15000, 3: 80, 4: 430, 5: 430}			[82264014, 82261034]			[1]	[1]	1025
106	10	[82261011, 82261021, 82261031, 82261041, 82264011]	{1: 218, 2: 2340, 3: 80, 4: 210, 5: 210}			[82264011, 82261031]			[1]	[1]	1025
107	10	[82261012, 82261022, 82261032, 82261042, 82264012]	{1: 312, 2: 6500, 3: 80, 4: 280, 5: 280}			[82264012, 82261032]			[1, 2]	[1, 1]	1025
108	10	[82261013, 82261023, 82261033, 82261043, 82264013]	{1: 562, 2: 13000, 3: 80, 4: 400, 5: 400}			[82264013, 82261033]			[1, 2]	[1, 2]	1025
109	10	[82261014, 82261024, 82261034, 82261044, 82264014]	{1: 281, 2: 3900, 3: 80, 4: 260, 5: 260}			[82264014, 82261034]			[1]	[1]	1025
