Id	FightIds	Weights	BuildTagWeights	MaxTagWeights
1	[10000]	[10]		
2	[10010]	[10]		
3	[10100]	[10]		
4	[10200]	[10]		
5	[10210]	[10]		
6	[10300]	[10]		
7	[10310]	[10]		
10	[10400]	[10]		
11	[10410]	[10]		
20	[10500]	[10]		
21	[10510]	[10]		
30	[10600]	[10]		
31	[10610]	[10]		
40	[10700]	[10]		
100	[100, 102]	[10, 100]		
101	[1000]	[10]		
102	[1000]	[10]		
110	[110, 112]	[10, 100]		
120	[120, 122]	[10, 100]		
200	[200]	[10]		
210	[210]	[10]		
220	[220]	[10]		
300	[1020]	[10]		
310	[1020]	[10]		
320	[1020]	[10]		
400	[1020]	[10]		
410	[1020]	[10]		
420	[1020]	[10]		
1000	[1000, 1002]	[10, 100]		
1010	[1010, 1012]	[10, 100]		
1020	[1020, 1022]	[10, 100]		
1100	[1100]	[10]		
1110	[1110]	[10]		
1120	[1120]	[10]		
1200	[1200]	[10]		
1210	[1210]	[10]		
1220	[1220]	[10]		
1300	[1300]	[10]		
1310	[1310]	[10]		
1320	[1320]	[10]		
2000	[2000]	[10]		
2010	[2010]	[10]		
2020	[2020]	[10]		
2100	[2100]	[10]		
2110	[2110]	[10]		
2120	[2120]	[10]		
2200	[2200]	[10]		
2210	[2210]	[10]		
2220	[2220]	[10]		
2300	[2300]	[10]		
2310	[2310]	[10]		
2320	[2320]	[10]		
