Id	QualityTypes	QualityBaseWeights	QualityExpectedNums	QualityExpectedWeights	RewardTypes	RewardBaseWeights	RewardExpectedNums	RewardExpectedWeights	AppointTasks	FreeRefresh	RefreshStartGold	RefreshAddGold	MaxRefresh	ChooseNum	TaskNum	BaseWeight	SameGoodsReduceWeight
1	[1, 2]	[70, 30]	{1: 0, 2: 0}	[0, 0]						1	10	5	4	1	2	50	20
2	[1, 2]	[70, 30]	{1: 0, 2: 0}	[0, 0]	[5, 4, 3]	[70, 15, 15]	{1: 0, 2: 0, 3: 0}	[0, 0, 0]		1	10	5	4	2	3	50	20
3	[3, 4]	[70, 30]	{1: 0, 2: 0}	[0, 0]						1	10	5	4	1	1	50	20
4	[4]	[10]	{1: 0}	[0]						1	10	5	4	1	1	50	20
5	[1]	[10]	{1: 0}	[0]					[11]	1	10	5	4	1	1	50	20
101	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
102	[1]	[70]	{1: 0}	[0]	[5, 4]	[50, 50]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
103	[2]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
104	[3]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
105	[2, 3]	[70, 30]	{1: 0, 2: 0}	[0, 0]	[5, 4]	[50, 50]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
106	[2, 3]	[50, 50]	{1: 0, 2: 0}	[0, 0]	[5, 4]	[50, 50]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
200	[2, 3]	[50, 50]	{1: 0, 2: 0}	[0, 0]	[5, 4]	[50, 50]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	3	3	50	20
300	[2, 3]	[50, 50]	{1: 0, 2: 0}	[0, 0]	[5, 4]	[50, 50]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	3	3	50	20
400	[2, 3]	[50, 50]	{1: 0, 2: 0}	[0, 0]	[5, 4]	[50, 50]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	3	3	50	20
1001	[1]	[10]	{1: 0}	[0]					[1001, 1002, 1003]				1	3	3	50	20
1002	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1100	[1]	[10]	{1: 0}	[0]					[1100, 1101, 1102]				1	3	3	50	20
1101	[1]	[10]	{1: 0}	[0]					[1109, 1110, 1111]				1	3	3	50	20
1102	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1103	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1200	[1]	[10]	{1: 0}	[0]					[1200, 1201, 1202]				1	3	3	50	20
1201	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1300	[1]	[10]	{1: 0}	[0]					[1300, 1301, 1302]				1	3	3	50	20
1301	[1]	[10]	{1: 0}	[0]					[1303, 1304, 1305]				1	3	3	50	20
1302	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1303	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1400	[1]	[10]	{1: 0}	[0]					[1400, 1401, 1402]				1	3	3	50	20
1401	[1]	[10]	{1: 0}	[0]					[1406, 1407, 1408]				1	3	3	50	20
1402	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1403	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1500	[1]	[10]	{1: 0}	[0]					[1500, 1501, 1502]				1	3	3	50	20
1501	[1]	[10]	{1: 0}	[0]					[1506, 1507, 1508]				1	3	3	50	20
1502	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1503	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1600	[1]	[10]	{1: 0}	[0]					[1600, 1601, 1602]				1	3	3	50	20
1601	[1]	[10]	{1: 0}	[0]					[1606, 1607, 1608]				1	3	3	50	20
1602	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
1603	[1]	[100]	{1: 0}	[0]	[3, 5]	[80, 20]	{1: 0, 2: 0}	[0, 0]		1	10	5	2	2	3	50	20
