Id	FloorIds	IsShowFloorNum	OverflowGoodsGold	HpNum	BaseSan	Name	Desc	Image	BaseSkillSlot	SanGroupId	RewardIds	ScoreProps	MinScores	MaxRewards	AddRewards
1	[10]			5	85	共通线1（废弃）				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
2	[10]			5	85	共通线2				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
3	[60, 61]			5	85	阿尔法1				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
4	[70, 71]			5	85	阿尔法2				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
5	[80, 81]			5	85	阿尔法3				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
6	[90, 91]			5	85	阿尔法4				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
7	[20, 21]			5	85	维罗妮卡1				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
8	[30]			5	85	维罗妮卡2				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
9	[40, 41]			5	85	维罗妮卡3				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
10	[50, 51]			5	85	维罗妮卡4				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
100	[1000, 1001, 1002]	1		5	85	赛季1难度1				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 100}	{1: 10, 2: 20, 3: 0}
101	[1010, 1011, 1012]	1		3	85	赛季1难度2				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 200}	{1: 10, 2: 20, 3: 0}
102	[1020, 1021, 1022]	1		3	85	赛季1难度3				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 300}	{1: 10, 2: 20, 3: 0}
103	[1030, 1031, 1032]	1		3	85	赛季1难度4				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 400}	{1: 10, 2: 20, 3: 0}
104	[1040, 1041, 1042]	1		3	85	赛季1难度5				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
105	[1000, 1001, 1002]	1		5	85	赛季1难度1				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 100}	{1: 10, 2: 20, 3: 0}
106	[1010, 1011, 1012]	1		3	85	赛季1难度2				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 200}	{1: 10, 2: 20, 3: 0}
107	[1020, 1021, 1022]	1		3	85	赛季1难度3				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 300}	{1: 10, 2: 20, 3: 0}
108	[1030, 1031, 1032]	1		3	85	赛季1难度4				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 400}	{1: 10, 2: 20, 3: 0}
109	[1040, 1041, 1042]	1		3	85	赛季1难度5				1	[97083, 97084, 97085]	[100, 200, 300]	[100, 200, 300]	{2: 50, 3: 500}	{1: 10, 2: 20, 3: 0}
