Id	Name	Desc	Quality	GoodsNums	AppointGoodsTypes	ConditionId	ConditionValue	RewardTypes	RewardIds	CharacterId	IsOutPool
1	placeholder_任务1		1	[60, 60]	[1, 2]			[3]	[20]		
2	placeholder_任务2		1	[60, 60]	[1, 3]			[3]	[20]		
3	placeholder_任务3		1	[60, 60]	[1, 4]			[3]	[20]		
4	placeholder_任务4		1	[60, 60]	[2, 3]			[3]	[20]		
5	placeholder_任务5		1	[60, 60]	[2, 4]			[3]	[20]		
6	placeholder_任务6		1	[60, 60]	[3, 4]			[3]	[20]		
7	placeholder_任务7		2	[60, 60]	[1, 2]			[3]	[30]		
8	placeholder_任务8		2	[60, 60]	[1, 3]			[3]	[30]		
9	placeholder_任务9		2	[60, 60]	[1, 4]			[3]	[30]		
10	placeholder_任务10		2	[60, 60]	[2, 3]			[3]	[30]		
11	placeholder_任务11		2	[60, 60]	[2, 4]			[3]	[30]		
12	placeholder_任务12		2	[60, 60]	[3, 4]			[3]	[30]		
13	placeholder_任务13		3	[60, 60]	[1, 2]			[3]	[40]		
14	placeholder_任务14		3	[60, 60]	[1, 3]			[3]	[40]		
15	placeholder_任务15		3	[60, 60]	[1, 4]			[3]	[40]		
16	placeholder_任务16		3	[60, 60]	[2, 3]			[3]	[40]		
17	placeholder_任务17		3	[60, 60]	[2, 4]			[3]	[40]		
18	placeholder_任务18		3	[60, 60]	[3, 4]			[3]	[40]		
19	placeholder_任务19		1	[120]	[1]			[3]	[20]		
20	placeholder_任务20		1	[120]	[2]			[3]	[20]		
21	placeholder_任务21		1	[120]	[3]			[3]	[20]		
22	placeholder_任务22		1	[120]	[4]			[3]	[20]		
23	placeholder_任务23		2	[120]	[1]			[3]	[30]		
24	placeholder_任务24		2	[120]	[2]			[3]	[30]		
25	placeholder_任务25		2	[120]	[3]			[3]	[30]		
26	placeholder_任务26		2	[120]	[4]			[3]	[30]		
27	placeholder_Buff任务		3	[120]	[1]			[3]	[40]		
28	placeholder_Buff任务		3	[120]	[2]			[3]	[40]		
29	placeholder_Buff任务		3	[120]	[3]			[3]	[40]		
30	placeholder_Buff任务		3	[120]	[4]			[3]	[40]		
31	placeholder_Buff任务		1	[60, 60]	[1, 2]			[3, 5]	[15, 301]		
32	placeholder_Buff任务		1	[60, 60]	[1, 3]			[3, 5]	[15, 301]		
33	placeholder_Buff任务		1	[60, 60]	[1, 4]			[3, 5]	[15, 301]		
101	placeholder_剥离怪纹		1	[60, 60]	[2, 3]			[3, 5]	[15, 301]		
102	placeholder_抹除邪纹		1	[60, 60]	[2, 4]			[3, 5]	[15, 301]		
103	placeholder_译解死纹		1	[60, 60]	[3, 4]			[3, 5]	[15, 301]		
104	placeholder_临摹异图		2	[60, 60]	[1, 2]			[3, 5]	[20, 302]		
105	placeholder_拼接血纹		2	[60, 60]	[1, 3]			[3, 5]	[20, 302]		
106	placeholder_焚毁残笺		2	[60, 60]	[1, 4]			[3, 5]	[20, 302]		
107	placeholder_拼凑残信		2	[60, 60]	[2, 3]			[3, 5]	[20, 302]		
108	placeholder_雾中传书		2	[60, 60]	[2, 4]			[3, 5]	[20, 302]		
109	placeholder_破译狂言		2	[60, 60]	[3, 4]			[3, 5]	[20, 302]		
110	placeholder_伪造密函		3	[60, 60]	[1, 2]			[3, 5]	[25, 303]		
111	placeholder_加固封缄		3	[60, 60]	[1, 3]			[3, 5]	[25, 303]		
112	placeholder_熔毁幽印		3	[60, 60]	[1, 4]			[3, 5]	[25, 303]		
113	placeholder_寻回母印		3	[60, 60]	[2, 3]			[3, 5]	[25, 303]		
114	placeholder_拓印秘符		3	[60, 60]	[2, 4]			[3, 5]	[25, 303]		
115	placeholder_破除封禁		3	[60, 60]	[3, 4]			[3, 5]	[25, 303]		
116	placeholder_破译秘档		1	[120]	[1]			[3, 5]	[15, 301]		
117	placeholder_封存卷宗		1	[120]	[2]			[3, 5]	[15, 301]		
118	placeholder_开启暗门		1	[120]	[3]			[3, 5]	[15, 301]		
119	placeholder_铸造骨钥		1	[120]	[4]			[3, 5]	[15, 301]		
120	placeholder_补全残卷		2	[120]	[1]			[3, 5]	[20, 302]		
121	placeholder_撕毁旧契		2	[120]	[2]			[3, 5]	[20, 302]		
122	placeholder_亵渎契约		2	[120]	[3]			[3, 5]	[20, 302]		
123	placeholder_终结祭典		2	[120]	[4]			[3, 5]	[20, 302]		
124	placeholder_鲜血结盟		3	[120]	[1]			[3, 5]	[25, 303]		
125	placeholder_阻断献祭		3	[120]	[2]			[3, 5]	[25, 303]		
126	placeholder_雾中寻踪		3	[120]	[3]			[3, 5]	[25, 303]		
127	placeholder_捣毁祭坛		3	[120]	[4]			[3, 5]	[25, 303]		
128	placeholder_追捕异端		1	[10, 10]	[0, 0]			[5]	[1]		1
129	placeholder_直视深渊		1			1	20	[5]	[101]		1
130	placeholder_勘破血案		1	[30]	[0]			[4, 3]	[201, 10]		1
131	placeholder_迷雾巡夜		2	[20, 35]	[0, 0]			[3]	[100]		1
132	placeholder_暗巷追击		2	[50]	[0]			[4, 3]	[201, 30]		1
133	placeholder_整理卷宗		1	[15, 15]	[0, 0]			[5]	[2]		1
134	placeholder_封锁现场		1			2	45	[5]	[101]		1
135	placeholder_午夜暗访		2	[45]	[0]			[4, 3]	[201, 10]		1
136	placeholder_走访黑市		3	[30, 50]	[0, 0]			[3]	[100]		1
137	placeholder_审问嫌犯		3			3	80	[4, 3]	[201, 30]		1
138	placeholder_精神鉴定		3			3	80	[5]	[3]		1
139	placeholder_勘探暗渠		3	[35, 35]	[0, 0]			[5]	[101]		1
140	placeholder_墓园巡视		3	[60]	[0]			[4, 3]	[201, 10]		1
141	placeholder_平息暴动		4	[40, 65]	[0, 0]			[3]	[100]		1
142	placeholder_帮派斡旋		4	[90]	[0]			[4, 3]	[201, 30]		1
143	placeholder_掩盖真相		4			4	100	[5]	[4]		1
144	placeholder_伪造线索		4			4	100	[5]	[101]		1
145	placeholder_聆听低语		4	[75]	[0]			[4, 3]	[201, 10]		1
146	placeholder_驱散恐慌		5	[50, 80]	[0, 0]			[3]	[100]		1
147	placeholder_调查隐修		5				135	[4, 3]	[201, 30]		1
148	placeholder_鉴定遗物		5				135	[5]	[5]		1
149	placeholder_追踪黑影		5	[55, 55]	[0, 0]			[5]	[101]		1
150	placeholder_封存禁忌		5	[90]	[0]			[4, 3]	[201, 10]		1
1001	雾中诡影		1	[1]	[0]			[5]	[1]		1
1002	暗巷低语		1	[1]	[0]			[4, 3]	[1, 10]		1
1003	寒夜异客		1	[1]	[0]			[3]	[25]		1
1004	午夜的怪谈		1	[30]	[0]			[4, 3]	[201, 20]		1
1005	沉眠的怪影		1	[10, 10]	[0, 0]			[5]	[1]		1
1006	钟声残响之夜		1			1	20	[5]	[101]		1
1100	雾海孤塔		1	[1]	[0]			[5]	[1]		1
1101	深渊回眸		1	[1]	[0]			[4, 3]	[1, 10]		1
1102	永夜的巡礼		1	[1]	[0]			[3]	[25]		1
1103	噬光之影		1	[30]	[0]			[4, 3]	[201, 20]		1
1104	无面者的晚宴		1	[10, 10]	[0, 0]			[5]	[1]		1
1105	锈蚀之忆		1			1	20	[5]	[101]		1
1106	异变前夜		1	[1]	[0]			[5]	[1]		1
1107	蠕行暗影		1	[1]	[0]			[5]	[1]		1
1108	破碎的神谕		1	[1]	[0]			[5]	[1]		1
1109	亡者低吟		1	[1]	[0]			[5]	[1]		1
1110	梦魇的边缘		1	[1]	[0]			[5]	[1]		1
1111	沉寂的回声		1	[1]	[0]			[5]	[1]		1
1200	鼠之踪迹		1	[30]	[0]			[4, 3]	[201, 10]		1
1201	暗中窥形		2	[20, 35]	[0, 0]			[3]	[100]		1
1202	烛火噬影		2	[50]	[0]			[4, 3]	[201, 30]		1
1203	失序的仪式		1	[15, 15]	[0, 0]			[5]	[2]		1
1204	隐秘的低语		1			2	45	[5]	[101]		1
1205	沉眠的古宅		2	[45]	[0]			[4, 3]	[201, 10]		1
1300	雾魇缠身		3	[30, 50]	[0, 0]			[3]	[100]		1
1301	残页怪谈		3			3	80	[4, 3]	[201, 30]		1
1302	街巷低语		3			3	80	[5]	[3]		1
1303	狂乱虚影		3	[35, 35]	[0, 0]			[5]	[101]		1
1304	无言的怪人		3	[60]	[0]			[4, 3]	[201, 10]		1
1305	禁忌契约		4	[40, 65]	[0, 0]			[3]	[100]		1
1400	黄昏旧影		4	[90]	[0]			[4, 3]	[201, 30]		1
1401	低语窥秘		4			4	100	[5]	[4]		1
1402	荒宅残章		4			4	100	[5]	[101]		1
1403	猩红的怪谈		4	[75]	[0]			[4, 3]	[201, 10]		1
1404	沉默梦呓		5	[50, 80]	[0, 0]			[3]	[100]		1
1405	苍白侵蚀		5				135	[4, 3]	[201, 30]		1
1406	无归之路		5				135	[5]	[5]		1
1407	祭礼秘册		5	[55, 55]	[0, 0]			[5]	[101]		1
1408	蚀月苍影		5	[90]	[0]			[4, 3]	[201, 10]		1
1409	异境的幻梦		1	[1]	[0]			[5]	[1]		1
1410	无名邀约		1	[1]	[0]			[4, 3]	[1, 10]		1
1411	眠者的假面		1	[1]	[0]			[3]	[20]		1
1500	镜中的身影		1	[30]	[0]			[4, 3]	[201, 20]		1
1501	低鸣鸦群		1	[10, 10]	[0, 0]			[5]	[1]		1
1502	无尽的回廊		1			1	20	[5]	[101]		1
1503	疯长的藤蔓		1	[30]	[0]			[4, 3]	[201, 10]		1
1504	惨白的暮影		2	[20, 35]	[0, 0]			[3]	[100]		1
1505	旧龛尘咒		2	[50]	[0]			[4, 3]	[201, 30]		1
1506	倒走的时钟		1	[15, 15]	[0, 0]			[5]	[2]		1
1507	地下秘道		1			2	45	[5]	[101]		1
1508	启封沉棺		2	[45]	[0]			[4, 3]	[201, 10]		1
1600	奏鸣琴音		3	[30, 50]	[0, 0]			[3]	[100]		1
1601	延伸的暗影		3			3	80	[4, 3]	[201, 30]		1
