Id	EasyMonsterId	EasyDescs	EasyRewardTypes	EasyRewardIds	HardMonsterId	HardDescs	HardRewardTypes	HardRewardIds	DefeatGetTypes	DefeatGetValues	LevelId
1	1	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 10]	1082
2	2	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	3	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 40}	[6, 3]	[-1, 20]	
10	100	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 10]	
11	200	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 20]	
12	1	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 10]	
20	101	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 20]	
21	201	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 10]	
30	102	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 10]	
31	202	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[6, 3]	[-1, 20]	
100	100	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 15}					[6, 3]	[-1, 5]	
102	300	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 15}					[6, 3]	[-1, 5]	
110	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}					[6, 3]	[-1, 10]	
112	301	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}					[6, 3]	[-1, 10]	
120	102	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}					[6, 3]	[-1, 15]	
122	302	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}					[6, 3]	[-1, 15]	
200	100	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 15}	106	['placeholder_这是困难Boss']	[5, 3]	{1: 2, 2: 15}	[6, 3]	[-1, 5]	
210	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 20}	[6, 3]	[-1, 10]	
220	102	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}	108	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 25}	[6, 3]	[-1, 15]	
300	101	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 15}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 2, 2: 15}	[6, 3]	[-1, 5]	
310	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 20}	[6, 3]	[-1, 10]	
320	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 25}	[6, 3]	[-1, 15]	
400	101	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 15}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 2, 2: 15}	[6, 3]	[-1, 5]	
410	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 20}	[6, 3]	[-1, 10]	
420	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}	107	['placeholder_这是困难Boss']	[5, 3]	{1: 3, 2: 25}	[6, 3]	[-1, 15]	
1000	103	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	109	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
1001	103	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	109	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
1002	303	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	309	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
1003	303	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	309	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
