Id	Type	Values
10	2	[1]
11	3	[1]
12	4	[1]
13	2	[1]
14	3	[2]
15	5	[2]
16	6	[1]
101	2	[201]
102	3	[10]
103	4	[100]
104	2	[201]
105	3	[10]
106	5	[1000]
110	2	[202]
111	3	[11]
112	4	[110]
113	2	[202]
114	3	[11]
115	5	[1010]
120	2	[203]
121	3	[12]
122	4	[120]
123	2	[203]
124	3	[12]
125	5	[1020]
201	2	[204]
202	3	[10]
203	4	[200]
204	2	[204]
205	3	[10]
206	5	[1100]
210	2	[205]
211	3	[11]
212	4	[210]
213	2	[205]
214	3	[11]
215	5	[1110]
220	2	[206]
221	3	[12]
222	4	[220]
223	2	[206]
224	3	[12]
225	5	[1120]
1000	2	[10]
1001	4	[10]
1002	3	[102]
1003	6	[1]
1010	2	[20]
1011	3	[100]
1012	4	[1]
1013	6	[17]
1020	2	[21]
1021	3	[101]
1022	5	[2]
1023	6	[18]
1100	2	[30]
1101	3	[110]
1102	5	[3]
1103	6	[20]
1200	2	[40]
1201	3	[120]
1202	5	[4]
1203	6	[21]
1210	2	[41]
1211	3	[121]
1212	5	[5]
1213	6	[22]
1300	2	[50]
1301	3	[130]
1302	5	[6]
1303	6	[24]
1310	2	[51]
1311	3	[131]
1312	5	[7]
1313	6	[25]
1400	2	[60]
1401	4	[10]
1402	6	[5]
1410	2	[61]
1411	3	[140]
1412	4	[11]
1413	6	[6]
1500	2	[70]
1501	3	[150]
1502	4	[20]
1503	6	[8]
1510	2	[71]
1511	3	[151]
1512	4	[21]
1513	6	[9]
1600	2	[80]
1601	3	[160]
1602	4	[30]
1603	6	[10]
1610	2	[81]
1611	6	[11]
1612	5	[31]
1613	6	[12]
1700	2	[90]
1701	4	[40]
1702	6	[14]
1710	2	[91]
1711	3	[170]
1712	6	[15]
