Id	Type	Name	Icon	Desc	UseDesc
1	1	placeholder_技能随机池1			
2	1	placeholder_技能随机池2			
3	1	placeholder_技能随机池3			
4	1	placeholder_技能随机池4			
5	1	placeholder_技能随机池5			
10	1	placeholder_简单技能池1			
11	1	placeholder_简单技能池2			
12	1	placeholder_简单技能池3			
13	1	placeholder_简单技能池4			
14	1	placeholder_简单技能池5			
15	1	placeholder_简单技能池6			
16	1	placeholder_简单技能池7			
17	1	placeholder_简单技能池8			
18	1	placeholder_简单技能池9			
19	1	placeholder_简单技能池10			
20	1	placeholder_简单技能池11			
100	2	placeholder_遗物随机池1			
101	2	placeholder_遗物随机池2			
102	2	placeholder_遗物随机池1			
103	2	placeholder_遗物随机池2			
104	2	placeholder_遗物随机池2			
2001	2				
2002	2				
2003	2				
2004	2				
2005	2				
2006	2				
2007	2				
2008	2				
2009	2				
2010	2				
2011	2				
2012	2				
201	1				
202	2				
211	1				
212	2				
221	1				
222	2				
301	1	placeholder_简单技能池2			
302	1	placeholder_简单技能池3			
303	1	placeholder_简单技能池4			
