Id	Name	Desc	DescParams	Icon	BuffTriggerType	BuffTriggerParams	BuffEffectType	BuffEffectParams	MaxNum	Quailty	Priority	DurationType	DurationValues	DeathType	IsCount	IsNotShow	DebuffType	Limit	CanStack
1	淬心凝神	回复理智时，<Icon=IconAttr02|45|45|0.5/>生命+100		Assets/Product/Texture/Image/IconToolsSp/BabelReward4Sp.png	3	[4, 0, 1]	7	[2, 100]				1		2	1		1	1	
2	刻印叠锋	每次获得60个<Icon=IconGood01|45|45|0.5/>尘封异兆时，<Icon=IconAttr01|45|45|0.5/>攻击+1		Assets/Product/Texture/Image/IconToolsSp/BabelReward4Sp.png	2	[1, 60]	7	[1, 1]				1		2	1		1	1	
3	证念存形	每完成1个任务，<Icon=IconAttr02|45|45|0.5/>生命+1500		Assets/Product/Texture/Image/IconToolsSp/BabelReward4Sp.png	11		7	[2, 1500]				1		2	1		1	1	
4	锋芒淬炼	技能升级时，<Icon=IconAttr02|45|45|0.5/>攻击+2		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	5		7	[1, 2]				1		2	1		1	1	
5	积狩成蕴	每次获得25个<Icon=IconGood02|45|45|0.5/>寂渊秘识时，<Icon=IconAttr02|45|45|0.5/>生命+100		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[2, 25]	7	[2, 100]				1		2	1		1	1	
6	回噬之息	在迷境之间向左滑动时，<Icon=IconAttr02|45|45|0.5/>生命+65		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	7	[2, 65]				1		2	1		1	1	
11	placeholder_Buff11	placeholder_初始获得1个1星【技能1】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[3, 1]	12	[1, 1]				7	[2]	1			1	1	
12	placeholder_Buff12	placeholder_每次获得x个【材料1】时，提升1点攻击力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 10]	7	[1, 1]				1		2	1		1	1	
13	placeholder_Buff13	placeholder_回复San时，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	4	[1]	7	[1, 1]				1		2			1	1	
14	placeholder_Buff14	placeholder_初始获得1个1星【技能1】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		1	[1, 1]				5		2			1	1	
15	placeholder_Buff15	placeholder_连续左滑时，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	7	[1, 1]				1		2	1		1	1	
16	placeholder_Buff16	placeholder_每次进入战斗时，提升1点攻击力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	8	[4]	7	[1, 1]				1		2	1		1	1	
17	placeholder_Buff17	placeholder_刷新任务时，提升5点生命值与1点攻击力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	6		7	[1, 5, 2, 1]				1		2	1		1	1	
18	placeholder_Buff18	placeholder_商店购买时，提升5点生命值与1点攻击力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	4	[1]	7	[1, 5, 2, 1]				1		2	1		1	1	
19	placeholder_Buff19	placeholder_商店刷新时，提升5点生命值与1点攻击力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	4	[2]	7	[1, 5, 2, 1]				1		2	1		1	1	
20	placeholder_Buff20	placeholder_本次二择内，【材料1】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 1, 1]	9	[100]				3	[1]	1			1	1	
21	placeholder_Buff21	placeholder_本次二择内，【材料2】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 2, 1]	9	[100]				3	[1]	1			1	1	
22	placeholder_Buff22	placeholder_本次二择内，【材料3】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 3, 1]	9	[100]				3	[1]	1			1	1	
23	placeholder_Buff23	placeholder_本次二择内，【材料4】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 4, 1]	9	[100]				3	[1]	1			1	1	
24	placeholder_Buff24	placeholder_本次二择内，【材料5】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 5, 1]	9	[100]				3	[1]	1			1	1	
25	placeholder_Buff25	placeholder_本次二择内，每次左滑获得1个【材料1】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	1	[1, 1]				3	[1]	2			1	1	
26	placeholder_Buff26	placeholder_本次二择内，每次左滑获得1个【材料2】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	1	[2, 1]				3	[1]	2			1	1	
27	placeholder_Buff27	placeholder_本次二择内，每次左滑获得1个【材料3】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	1	[3, 1]				3	[1]	2			1	1	
28	placeholder_Buff28	placeholder_本次二择内，每次左滑获得1个【材料4】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	1	[4, 1]				3	[1]	2			1	1	
29	placeholder_Buff29	placeholder_本次二择内，每次左滑获得1个【材料5】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[1, 1]	1	[4, 1]				3	[1]	2			1	1	
30	placeholder_Buff30	placeholder_本次二择内，每次右滑获得1个【材料1】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	1	[1, 1]				3	[1]	2			1	1	
