Id	ChoosePoolIds	Bg	FirstTaskGroupId	LoopTaskGroupId	AppointFightGroupIds
1	[1, 2, 3, 4, 5, 6, 6, 6, 6, 6, 6, 6]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1	2	
10	[1001, 1001, 1001, 1002, 1002, 1002, 1003, 1003, 1003, 1004, 1004, 1004, 1010, 1010, 1010, 1010, 1010, 1005, 1005, 1005]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1001	1002	
20	[1100, 1100, 1100, 1100, 1101, 1101, 1101, 1101, 1102, 1102, 1102, 1110, 1110, 1110, 1110, 1110, 1110, 1103, 1103, 1103]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1100	1102	
21	[1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1104, 1104]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1101	1103	
30	[1200, 1200, 1201, 1201, 1201, 1201, 1202, 1202, 1203, 1203, 1203, 1204, 1204, 1204, 1210, 1210, 1210, 1205, 1205, 1205]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1200	1201	
40	[1300, 1300, 1300, 1300, 1300, 1300, 1310, 1310, 1310, 1310, 1310, 1310, 1310, 1310, 1310, 1310, 1310, 1301, 1301, 1301]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1300	1302	
41	[1302, 1302, 1302, 1302, 1302, 1302, 1303, 1303, 1303, 1303, 1311, 1311, 1311, 1311, 1311, 1311, 1311, 1304, 1304, 1304]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1301	1303	
50	[1400, 1400, 1400, 1400, 1400, 1400, 1410, 1410, 1410, 1410, 1410, 1410]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1400	1402	
51	[1401, 1401, 1401, 1401, 1401, 1401, 1411, 1411, 1411, 1411, 1411, 1411]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1401	1403	
60	[1500, 1500, 1500, 1501, 1501, 1501, 1501, 1502, 1502, 1502, 1510, 1510, 1510, 1510, 1510, 1510, 1510, 1503, 1503, 1503]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1500	1502	
61	[1504, 1504, 1504, 1505, 1505, 1505, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511, 1511]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1501	1503	
70	[1600, 1600, 1600, 1600, 1601, 1601, 1601, 1601, 1602, 1602, 1602, 1610, 1610, 1610, 1610, 1610, 1610, 1603, 1603, 1603]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1600	1602	
71	[1604, 1604, 1604, 1604, 1604, 1604, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611, 1611]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1601	1603	
80	[1700, 1700, 1700, 1700, 1700, 1700, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1710, 1711, 1711, 1711]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1700	1702	
81	[1702, 1702, 1702, 1702, 1703, 1703, 1703, 1703, 1704, 1704, 1704, 1711, 1711, 1711, 1711, 1711, 1711, 1705, 1705, 1705]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1701	1703	
90	[1800, 1800, 1800, 1800, 1801, 1801, 1801, 1802, 1802, 1802, 1810, 1810, 1810, 1810, 1810, 1810, 1810, 1803, 1803, 1803]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1800	1802	
91	[1804, 1804, 1804, 1804, 1804, 1804, 1811, 1811, 1811, 1811, 1811, 1811, 1811, 1811, 1811, 1811, 1811, 1805, 1805, 1805]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	1801	1803	
101	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	101	101	
102	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	103	103	
103	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	104	104	
104	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	106	106	
201	[2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001, 2001]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	101	101	[2000]
202	[2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002, 2002]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	103	103	[2010]
203	[2003, 2003, 2003, 2003, 2003, 2003, 2003, 2003, 2003, 2003, 2003, 2003]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	104	104	[2020]
204	[2004, 2004, 2004, 2004, 2004, 2004, 2004, 2004, 2004, 2004, 2004, 2004]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	101	101	[2100]
205	[2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	103	103	[2110]
206	[2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006, 2006]	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBg.png	104	104	[2120]
