Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes	LeftRewardTypeIds	LeftRewardMinNums	LeftRewardMaxNums	RightDesc	RightRewardTypes	RightRewardTypeIds	RightRewardMinNums	RightRewardMaxNums	ChooseLine	LineNum	NeedBuffs	Bg	IsOutNormalPool
1	placeholder_浓雾中疯癫乞丐拦住你，手里紧紧攥着一封沾满油污与诡异符号的信件。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_抢夺信件	[2, 1, 1]	{1: 1, 2: 2, 3: 1}	[-10, 5, 5]	{1: -5, 2: 5, 3: 5}	placeholder_寻找牧师	[2, 1]	{1: 1, 2: 3}	[30, 5]	{1: 40, 2: 10}					True
2	你仔细查验着停尸间亡者身上的诡异刺青，一边的警长对你递过来死者的遗物。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	凝视刺青	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	查看遗物	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
3	placeholder_档案室深处，你发现了一个散发着刺鼻海腥味的上锁铁盒。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_强行砸开	[2]	{1: 1}	[-15]	{1: -10}	placeholder_记录档案编号	[2, 1]	{1: 1, 2: 4}	[0, 5]	{2: 10}					True
4	街道的迷雾中，隐约传来不可名状的低语。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	聆听低语	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	捂住耳朵	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
5	祭坛上刻着诡异的纹路，而满地散落的羊皮纸上也有同样的痕迹。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	闭上眼睛	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}	拓印图案	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
6	贵族府邸的宴会厅里空无一人，只余下一本布满污渍、被牢牢封印的宾客名册。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	翻阅名册	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 33, 13]	{2: 37, 3: 17}	揭开残存的封印	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
7	placeholder_河畔飘来一艘空船，船舱里溢出诡异浓雾，桌上散落着凌乱信笺。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_深吸浓雾	[2, 1, 1]	{1: 1, 2: 2, 3: 1}	[-15, 5, 5]	{1: -10}	placeholder_屏住呼吸	[2, 1]	{1: 1, 2: 3}	[-10, 5]	{1: -5, 2: 10}					True
8	placeholder_疯人院病人用鲜血在墙上画满符号，并交给你一把警局丢失的钥匙。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_凝视血字	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 5, 5]	{1: -10}	placeholder_倾听故事	[2]	{1: 1}	[-10]	{1: -5}					True
9	placeholder_报社记者死于非命，他的打字机上还留着一份未写完的绝密调查档案。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_将档案装袋	[2, 1]	{1: 1, 2: 4}	[0, 5]	{2: 5}	placeholder_仔细阅读	[2, 1]	{1: 1, 2: 2}	[-15, 5]	{1: -10, 2: 10}					True
10	placeholder_桥梁被浓雾封锁，雾中浮现巨大触手的虚影，桥面遗落着一枚漆印。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_喝烈酒壮胆	[2, 1]	{1: 1, 2: 3}	[20, 5]	{1: 40, 2: 10}	placeholder_直视虚影	[2, 1, 1]	{1: 1, 2: 2, 3: 1}	[-10, 5, 5]	{1: -5, 2: 10, 3: 10}					True
11	placeholder_废弃钟楼的齿轮间卡着一截扭曲的触须，钟盘上涂满绿色的黏液。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_刮取黏液	[2, 1, 1]	{1: 1, 2: 2, 3: 1}	[-10, 5, 5]	{1: -5, 3: 10}	placeholder_拔开触须	[2, 1]	{1: 1, 2: 1}	[-15, 5]	{1: -10, 2: 10}					True
12	placeholder_孤儿院的地下室传来阵阵呢喃，门缝里塞出一张画着眼睛的纸条。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_烧毁纸条	[2, 1]	{1: 1, 2: 3}	[20, 5]	{1: 40}	placeholder_靠近门缝聆听	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}					True
13	剧院的化妆室里，名伶的化妆匣夹层里，藏着一张古怪的素描。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	和她对话	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	查看素描	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
14	在你的协助下，警员清点着一个无名的包裹，但里面的文件内容晦涩难辨。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	登记入库不作深究	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	细究文件内容	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
15	浓雾笼罩的码头，一条形状古怪的大鱼遗骸被海浪冲刷上岸。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	询问同伴这是什么	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	检视遗骸	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
16	placeholder_精神病医生的日记里记载着集体癔症，末页画着不断旋转的螺旋。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_凝视螺旋	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 5, 5]	{1: -10, 3: 10}	placeholder_寻找牧师	[2, 1]	{1: 1, 2: 4}	[20, 5]	{1: 40, 2: 10}					True
17	placeholder_古董店老板死于非命，手里紧紧抓着一块雕刻着章鱼头颅的石板。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_强行掰开并端详石板	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 5, 5]	{1: -5, 3: 10}	placeholder_寻找牧师	[2, 1]	{1: 1, 2: 3}	[20, 5]	{1: 40, 2: 10}					True
18	火灾过后，档案库里唯一幸存的就是一个防火保险箱。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	封存保险箱	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	打开查验	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
19	在贫民窟的小巷里，墙壁上渗出的暗色污迹，仿佛像是某种似曾相识的文字。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	尝试分辨	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	擦除污渍	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
20	在暴风雨肆虐的夜晚，古怪的黑影反复从卧室的长窗外掠过。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拉上窗帘	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	打开窗帘查看	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
21	placeholder_屠宰场送来一具并非人类的无头躯体，胃部解剖出一把黄铜钥匙。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_离开屠场，去喝杯酒	[2, 1]	{1: 1, 2: 3}	[20, 5]	{1: 40}	placeholder_取出钥匙	[2, 1, 1]	{1: 1, 2: 4, 3: 1}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}					True
22	placeholder_博物馆失窃的石雕被人退回，表面多了一层黏腻且无法擦除的霜。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_刮下怪霜	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}	placeholder_放入展柜	[2, 1]	{1: 1, 2: 4}	[0, 5]	{2: 10}					True
23	街角的占卜师拉住你，口中不断地重复着关于迷雾降临的预言。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	转身离开	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	凝神静听	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
24	在街角古董店的橱窗里，你静静地凝视着一块封存着眼睛纹路的琥珀摆件。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	直视纹路	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	闭眼不看	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
25	placeholder_匿名信件举报市长参与邪教集会，随信附带了一枚黑色的祭祀硬币。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_调查硬币上的纹路	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 5, 5]	{1: -5, 3: 10}	placeholder_潜入市长宅邸	[2]	{1: 1}	[-15]	{1: -10}					True
26	孤岛上的守塔人离奇失踪，他留下的日记里写满了对于深海的恐惧。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	封存日记	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}	翻阅日记	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
27	在被扣押的走私船舱里，没有货物，只有几块刻印着怪诞图案的石碑。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拓印石碑上的图案	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	请牧师为此祈祷	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
28	在刚洗出的凶案现场照片里，受害者的背后隐约浮现出一个模糊的阴影。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	用放大镜观察阴影	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	询问同伴这是什么	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
29	巡查街道的警员走入了一座阴森的大宅中，却再也没有走出来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	捡起他掉落的配枪	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	站在大宅门前查看	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
30	拍卖会上，一张绘有迷雾森林的油画在众人的注视中，画面上的雾气似乎在隐隐流动。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细观察画作	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	撕开画布	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}					
31	一封古怪的信件被投入你的信箱，上面要求你前往某个不存在的地点赴约。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	喝杯热茶压惊	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	按照上面的要求赴约	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
32	placeholder_教堂的神父在弥撒中突然口吐黑泥，泥水中漂浮着发光的鱼骨。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_收集鱼骨	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 5, 5]	{1: -5, 2: 10, 3: 10}	placeholder_检查神父	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}					True
33	图书馆管理员走入了一间从未开放的藏书室，将自己反锁在里面，再也没有走出来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	检查藏书室里的书籍	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	请牧师前来祈祷	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
34	邮局的储藏室里，一个无人认领的包裹慢慢渗出暗绿色的液体。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	按照无主物品填表	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 33, 13]	{2: 37, 3: 17}	拆开包裹	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
35	医院的病房里，无人就卧的病床床单上，却隐隐地渗出暗红的血迹。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	清理干净	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	放任不管	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
36	深夜的浓雾中，一辆马车停在你的面前，但车厢里空无一人。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	转身离开	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	登上马车查验	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
37	陵园的坟墓在深夜被掘开，但暴露出来的棺木里却没有遗体，只残留着一些黏稠的淤泥。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	检查淤泥	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	检查棺木	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
38	医院里接诊了众多失眠症患者，他们都表示自己梦见了一个面目不清的“神明”。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	归档众人的病历	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}	询问病人关于梦境的细节	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
39	墙角里，一只蜘蛛在不停地织网，而蛛网上的图案似乎很像某种古怪的文字。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	临摹“文字”	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	检查蜘蛛	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
40	古旧的八音盒转动着，发出低沉的音乐声，听得久了，乐声中仿佛隐约有某种古怪的低吟。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	砸碎音乐盒	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	仔细拆解发条	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
41	placeholder_贪婪的黑帮头目塞给你一袋沉甸甸的封口费，让你不要追查下水道的怪物。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_去喝杯酒	[2, 3]	{1: 1}	[20, 5]	{1: 40, 2: 10}	placeholder_深入下水道	[2, 1]	{1: 1, 2: 2}	[-15, 5]	{1: -10, 2: 10}					True
