Id	PoolId	BuffId	Weight	ConditionIds	ConditionWeights
1	1	1	10		
2	1	2	10		
3	1	3	10		
4	1	4	10		
5	1	5	10		
6	2	1	10		
7	2	2	10		
8	2	3	10		
9	2	4	10		
10	2	5	10		
11	3	1	10		
12	3	2	10		
13	3	3	10		
14	3	4	10		
15	3	5	10		
16	4	1	10		
17	4	2	10		
18	4	3	10		
19	4	4	10		
20	4	5	10		
21	5	6	10		
22	101	20	10		
23	101	25	10		
24	101	30	10		
25	101	41	10		
26	101	46	10		
27	102	21	10		
28	102	26	10		
29	102	31	10		
30	102	42	10		
31	102	47	10		
32	103	22	10		
33	103	27	10		
34	103	32	10		
35	103	43	10		
36	103	48	10		
37	104	23	10		
38	104	28	10		
39	104	33	10		
40	104	44	10		
41	104	49	10		
42	105	24	10		
43	105	29	10		
44	105	34	10		
45	105	45	10		
46	105	50	10		
47	106	20	10		
48	106	25	10		
49	106	30	10		
50	106	41	10		
51	106	46	10		
52	106	21	10		
53	106	26	10		
54	106	31	10		
55	106	42	10		
56	106	47	10		
57	106	22	10		
58	106	27	10		
59	106	32	10		
60	106	43	10		
61	106	48	10		
62	106	23	10		
63	106	28	10		
64	106	33	10		
65	106	44	10		
66	106	49	10		
67	106	24	10		
68	106	29	10		
69	106	34	10		
70	106	45	10		
71	106	50	10		
72	201	17	10		
73	201	18	10		
74	201	19	10		
75	201	35	10		
76	201	36	10		
77	201	37	10		
78	201	38	10		
79	201	39	10		
80	201	41	10		
81	201	42	10		
82	201	43	10		
83	201	44	10		
84	201	45	10		
85	201	46	10		
86	201	47	10		
87	201	48	10		
88	201	49	10		
89	201	50	10		
90	201	51	10		
91	201	68	10		
92	201	69	10		
93	201	70	10		
94	201	71	10		
95	201	72	10		
96	201	73	10		
97	201	74	10		
98	201	75	10		
99	201	76	10		
100	201	77	10		
101	201	78	10		
102	201	79	10		
103	201	80	10		
104	202	40	10		
105	202	56	10		
106	202	57	10		
107	202	58	10		
108	202	59	10		
109	202	60	10		
110	202	61	10		
111	1001	101	10		
112	1002	102	10		
113	2000	2000	10		
114	3000	3001	10		
115	10001	10001	10		
116	10002	10002	10		
117	10003	10003	10		
118	10004	10004	10		
