Id	RewardTypes	RewardPools	RefreshTime	BaseRereshPrice	RefreshAddPrice
1		[1, 1, 2, 3, 4]	10	10	5
2		[1, 1, 2, 3, 4]	10	10	5
10		[201, 201, 201, 202, 202]	2	1	2
11		[211, 211, 211, 212, 212]	2	1	2
12		[221, 221, 221, 222, 222]	2	1	2
13		[18, 19, 20, 103, 104]	10	10	5
100		[18, 19, 20, 103, 104]	10	10	5
101		[18, 19, 20, 103, 104]	10	10	5
102		[18, 19, 20, 103, 104]	10	10	5
110		[18, 19, 20, 103, 104]	10	10	5
120		[18, 19, 20, 103, 104]	10	10	5
121		[18, 19, 20, 103, 104]	10	10	5
130		[18, 19, 20, 103, 104]	10	10	5
131		[18, 19, 20, 103, 104]	10	10	5
140		[18, 19, 20, 103, 104]	10	10	5
150		[18, 19, 20, 103, 104]	10	10	5
151		[18, 19, 20, 103, 104]	10	10	5
160		[18, 19, 20, 103, 104]	10	10	5
170		[18, 19, 20, 103, 104]	10	10	5
