Id	Name	Desc	ShortDesc	PlotDesc	DescParams	Icon	AttrTypes	AttrNums	BuildTags	BuffIds	Quality	BuyPrice	SaveScore	IsHide	IsOutPool	Character	IsOutWiki	Priority	KeyWordIds
1	placeholder_狂乱碎晶					Assets/Product/Texture/Image/IconTools/IconActivityConsume2008002.png	[2, 4]	[150, 25]			1	10							[1, 3]
2	placeholder_陨星标本					Assets/Product/Texture/Image/IconTools/IconActivityConsume2012001.png	[2, 3, 4, 5]	[240, 3, -10, -10]			1	10							[2]
3	placeholder_沉船朽木					Assets/Product/Texture/Image/IconTools/IconActivityConsume2018001.png	[2, 3, 4, 5]	[240, 3, -10, -10]			1	10							[1, 2]
4	placeholder_破损星仪					Assets/Product/Texture/Image/IconTools/IconActivityConsume2020001.png	[2, 4]	[150, 25]			1	10							[1, 3]
5	placeholder_呓语海螺					Assets/Product/Texture/Image/IconTools/IconActivityConsume2024001.png	[2, 5]	[150, 25]			1	10							[2]
6	placeholder_夜魇之羽					Assets/Product/Texture/Image/IconTools/IconActivityConsume2028001.png	[2, 4]	[300, -10]			1	10							[1, 3]
7	placeholder_缚狼咒石					Assets/Product/Texture/Image/IconTools/IconActivityConsume2030001.png	[1, 4]	[25, -10]			1	10							[2]
8	placeholder_苍白断偶					Assets/Product/Texture/Image/IconTools/IconActivityConsume2033001.png	[1, 4]	[13, 25]			1	10							[1, 2]
9	placeholder_猩红血石					Assets/Product/Texture/Image/IconTools/IconActivityConsume2038001.png	[1, 4]	[13, 25]			1	10							[1, 3]
10	placeholder_烬灭晶簇					Assets/Product/Texture/Image/IconTools/IconActivityConsume2039001.png	[1, 5]	[13, 25]			1	10							[2]
11	placeholder_诡雾星盘					Assets/Product/Texture/Image/IconTools/IconActivityRPG02.png	[2, 5]	[150, 25]			1	10							[1, 3]
12	placeholder_咒缚银币					Assets/Product/Texture/Image/IconTools/IconRougeItem06.png	[2, 4]	[240, 10]			1	10							[2]
13	placeholder_呢喃紫晶					Assets/Product/Texture/Image/IconTools/IconRougeItem07.png	[2, 5]	[240, 10]			1	10							[1, 2]
14	placeholder_禁忌残卷					Assets/Product/Texture/Image/IconTools/IconRougeItem08.png	[2, 5]	[300, -10]			1	10							[1, 3]
15	placeholder_秘银手记					Assets/Product/Texture/Image/IconTools/IconRougeItem09.png	[1, 5]	[25, -10]			2	20							[2]
16	placeholder_幽海短剑					Assets/Product/Texture/Image/IconTools/IconRougeItem014.png	[1, 5]	[13, 25]			2	20							[1, 3]
17	placeholder_剥皮日记					Assets/Product/Texture/Image/IconTools/IconRougeItem015.png	[2, 4]	[200, 33]			2	20							[2]
18	placeholder_渊海灵珠					Assets/Product/Texture/Image/IconTools/IconRougeItem016.png	[2, 3, 4, 5]	[320, 4, -13, -13]			2	20							[1, 2]
19	placeholder_碎裂神瞳					Assets/Product/Texture/Image/IconTools/IconRougeItem017.png	[2, 3, 4, 5]	[320, 4, -13, -13]			2	20							[1, 3]
20	placeholder_迷雾卷宗					Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	[2, 4]	[200, 33]			2	20							[2]
21	placeholder_邪眼秘卷					Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	[2, 5]	[200, 33]			2	20							[1, 3]
22	placeholder_幻梦特饮					Assets/Product/Texture/Image/IconTools/IconRougeItem032.png	[2, 4]	[400, -14]			2	20							[2]
23	placeholder_狂人便签					Assets/Product/Texture/Image/IconTools/IconRougeItem033.png	[1, 4]	[33, -14]			2	20							[1, 2]
24	placeholder_缚魂银带					Assets/Product/Texture/Image/IconTools/IconRougeItem034.png	[1, 4]	[17, 33]			2	20							[1, 3]
25	placeholder_窃语木匣					Assets/Product/Texture/Image/IconTools/IconRougeItem035.png	[1, 4]	[17, 33]			2	20							[2]
26	placeholder_泣血日记					Assets/Product/Texture/Image/IconTools/IconRougeItem036.png	[1, 5]	[17, 33]			2	20							[1, 3]
27	placeholder_血肉邪像					Assets/Product/Texture/Image/IconTools/IconRougeItem037.png	[2, 5]	[200, 33]			2	20							[2]
