Id	Name	Icon	Prefab	StageDetailBg
1	初始区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon00.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage1.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle01.png
2	战略区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon02.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage2.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle01.png
3	高危暗区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon07.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage9.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle01.png
5	物资区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon01.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage3.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle02.png
6	支援区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon08.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage4.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle03.png
7	增幅区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon03.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage5.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle04.png
8	基站区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon05.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage7.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle05.png
9	暗区	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon06.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage8.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle06.png
1001	个人任务	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon03.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage11.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle07.png
1002	救援任务	Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarStageIcon08.png	Assets/Product/Ui/ComponentPrefab/UiAreaWar/GridStage10.prefab	Assets/Product/Texture/Image/UiAreaWar/UiAreaWarStageTitle08.png
