Id	ModelUrl	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
1	Assets/Product/Scene/SuShe/Furniture/Hakama/HakamaSword001/HakamaSword001.prefab		-0.4359		-3.5999		4.0	0.6	0.6	0.6
2	Assets/Product/Scene/SuShe/Furniture/susheV205/HuiyinSushe001/HuiyinSushe001.prefab		-0.4359					0.5199	0.5199	0.5199
3	Assets/Product/Scene/SuShe/Furniture/SuperLiv/SuperLivChandeliers001/SuperLivChandeliers001.prefab		-0.4359					0.5199	0.5199	0.5199
4	Assets/Product/Scene/SuShe/Furniture/susheV205/CourtStatue001/CourtStatue001.prefab		-0.4359					0.4799	0.4799	0.4799
5	Assets/Product/Scene/SuShe/Furniture/Qudao/Qudaodan001/Qudaodan001.prefab		-0.4359					0.62	0.62	0.62
6	Assets/Product/Scene/SuShe/Furniture/haiwai/Picture002/Picture002.prefab		-0.4359					0.4799	0.4799	0.4799
7	Assets/Product/Scene/SuShe/Furniture/susheV213/Hanyingsushe002/Hanyingsushe002.prefab		-0.4359					0.4799	0.4799	0.4799
8	Assets/Product/Scene/SuShe/Furniture/May/SuperLivCageling001/SuperLivCageling001.prefab		-0.4359					0.4799	0.4799	0.4799
9	Assets/Product/Scene/SuShe/Furniture/May/MayMotorcycle001/MayMotorcycle001.prefab		-0.4359					0.5	0.5	0.5
10	Assets/Product/Scene/SuShe/Furniture/SusheV217/Qishisushe001/Qishisushe001.prefab		-0.4359					0.4699	0.4699	0.4699
