Key	Comment	Values
CameraDistance	摄像机距离调节： 1：最小距离；2：最大距离	['10', '20']
PrefabPath	预制资源路径	['Assets/Product/Scene/ArenaWar/Prefabs/AreaWarScene.prefab']
CameraZoomSpeed	摄像机缩放速度	['5']
CameraSmallDisRatio	点位缩小的相机距离比例	['0.4']
ArticleTips	文章相关提示	['文章未解锁！', '%s    %s 发布']
ArticleGroupTip	文章组提示	['板块未解锁！']
ArticleLikeCountBoundary	1. 点赞分界线，低于这个数，则显示具体的数量，高于则显示对应单位；2. 单位	['10000', 'W']
EndTimeTips	时间结束文本提示	['%s后结束']
GiftsRewardIds	打脸奖励Id	['6002806|1', '80082|1', '102|2000', '50005|1000', '11000205|1']
FirstPlayStoryId	首次进入玩法剧情	
UnlockAnimationInfo	解锁动画信息 1.动画类型；2.动画时长；3.动画位移高度	['2', '1.2', '0.82', '8']
IdleAnimationInfo	呼吸动画信息 1.动画类型；2.动画时长；3.动画位移高度	['0', '5', '0.82']
PlateLiftUpInfo	板块上升动画 1: Y向下偏移，隐藏在地图外；2.从地图外上升所需时间	['-3', '0.8']
StageDetailFightTip	关卡详情在鞭尸期与非鞭尸期时战斗描述	['限时内，评分越高，奖励越丰富', '参与作战，获得奖励']
StageDetailBtnChallenge		['作战准备', '多重挑战']
ItemNotEnough		"['""调度申请不足, 请通过援护任务获取""', '当前体力不足，是否将多重挑战次数调整至<color=#4dc5ff>X%d</color>?', '当前体力不足，无法继续作战']"
QuestName	探索任务Name	['特派任务', '特派任务', '援护任务']
QuestDesc	探索任务Desc	['个人任务', '个人任务', '互助任务']
BlockLevelTypeIcon	详情图标	['Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame02.png', 'Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame01.png']
BlockLevelTypeMapIcon	地图图标	['Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame02.png', 'Assets/Product/Texture/Atlas/UiAreaWar/UiAreaWarIconGame01.png']
GrowBuffLockTip	buff解锁提示	['等级达到%s解锁']
FinishAllQuestTip		['已完成本日所有异常调查', '已完成本日所有救援任务']
RescueDetailText		['请 求 支 援', '队友遇到危险，请求救援']
RescuedDetailText		['获 得 帮 助', '其他玩家向你提供了帮助']
TrailEffectUrl		['Assets/Product/Ui/Prefab/UiEffect/UiAreaWar/FxUiAreaWarMainBtnTuowei.prefab']
CancelBtnText		['取消', '兑换体力']
ItemUnlockTips	藏品解锁的提示文本	['等级%s解锁']
ItemRoomAttrs	藏品室属性	['攻击', '生命', '多重挑战最大倍率']
ItemRoomLvUpCost	升级材料足够的数量显示	['<color=#0E70BD>%s</color>/%s']
ItemRoomLvUpCostNoEnough	升级材料不够的数量显示	['<color=#EE2323>%s</color>/%s']
ItemRoomLvUpNoEnoughTips	升级材料不足提示	['升级所需材料不足！']
AuctionItemRemainTips	交易行道具剩余数量提示	['（仅剩%s件）']
AuctionBuyNoEnoughCoinTips	交易行购买时货币不足提示	['拍卖行货币不足']
AuctionBuyNoEnoughCoinColor	交易行购买时货币不足颜色	['<color=#EE2323>%s</color>']
AuctionBuyNoEnoughShopTips	交易行购买时商品不足提示	['商品补货中']
AuctionBuySuccessTips	交易行购买成功提示	['购买成功']
AuctionRefreshReBuyTips	交易行购买时，数据刷新	['交易行已刷新，请重新购买！']
LightUpNoEnoughTips	点亮藏品数量不足提示	['藏品数量不足']
QualityTabAll	品质筛选里的全部页签	['全部']
ItemDetailUnlockTips	道具详情解锁获取提示	['藏品室等级%s解锁获取']
OrderPutOffConfirmTips	取消订单二次确认提示	['提示', '是否下架此商品？']
OrderPutOffFailTips	在二次确认过程中，订单出售成功了的提示	['下架商品失败，订单已出售成功！']
ServerRedisCircuitBreakerTips	服务器交易行挂了，客户端不再请求协议，提示5秒后重试！	['拍卖行繁忙，请5秒后重试！']
BtnCollectionUnlockConditionId	收藏室按钮的解锁条件	['863120']
RareModelUnlockEffect	珍稀藏品界面模型未解锁特效	['Assets/Product/Effect/Prefab/FxUi/FxUiMain/FxUiBlack.prefab']
UseItemNumNoEnoughTips	使用藏品道具数量不足	['可消耗藏品数量不足']
CollectionLockTips	藏品室上锁提示	['全服净化进度达到%s后解锁']
