Id	ForceName	ForceLogo	ForceDes
1	灰鸦小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。
2	灰鸦小队·中级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。
3	灰鸦小队·高级	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。
4	突击鹰小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。
5	三头犬小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon004.png	空中花园执行者部队下属三头犬小队，擅长执行地面作战任务。
6	机械教会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon026.png	完全由机械体组成的，以“机械先哲”为行动核心的秘密组织。 这些受“机械先哲”启蒙的机械体拥有自我与群体意识，以“机械教会”的名义在地球上各自行动。
7	清理部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	空中花园清理部队，主要负责清理战场及追捕叛逃构造体的工作。
8	工程部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	空中花园工程部队，主要负责军事及战后城市的工程建设。
9	艺术协会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	空中花园艺术协会，聚集着各流派知名艺术家，保存着人类史上所有已记录的艺术作品，被标榜为未来艺术诞生的摇篮。
10	升格者	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon009.png	能够完全驾驭帕弥什病毒的组织，其余信息不明。
11	遗忘者	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon010.png	大撤退时期由被抛弃者和不愿离开地球者组成的军事组织，对空中花园充满敌意。
12	阿迪莱商业联盟	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png	以奥赛兰姆号永久列车为领地据点的商会势力，崇尚利益。
13	北极航线联合	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon012.png	由位于极地的各贸易港口结成的联合经济体，守林人诞生于此也献身于此。
14	九龙商会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon014.png	使用九龙商会负屃众特有的技术改造而成，往往带有鲜明的地方特色，从而与其他势力的机体拉开差异。
15	清庭白鹭小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon018.png	空中花园执行者部队下属清庭白鹭小队，擅长执行地面作战任务。
16	虹莺小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon019.png	空中花园执行部队下属虹莺小队，在艺术协会的支持下成立。负责高难度的文明寻遗任务，协助空中花园的地面重建计划。
17	不明	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	空中花园数据库未查询到该势力相关信息。
18	支援部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon021.png	空中花园支援部队，主要负责协助其他部队的作战行动，给予武力、物资等支援。
19	圣甲虫	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon027.png	空中花园执行部队下属圣甲虫小队，负责紧急处理指挥部特勤任务。
20	寒羊小队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon017.png	空中花园执行部队下属寒羊小队，指挥官为西蒙，目前已是第三次重组，曾经的成员均以不同方式离开了。
21	■■■	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon028.png	■■■■■■■■■■
22	科学理事会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon022.png	科学理事会-空中花园科研机构，使命是推动人类科学的发展和进步。
