Id	RoleName	CharacterId	Priority
1	露西亚	[1021001, 1021002, 1021004, 1021006]	17
2	里	[1011002, 1011003, 1011004]	29
3	丽芙	[1031001, 1031002, 1031003, 1031004, 1031005]	6
4	露西亚（α）	[1021003, 1021005]	1
5	神威	[1061002, 1061003, 1061004]	2
6	七实	[1051001, 1051003, 1051004, 1051005]	15
7	比安卡	[1041002, 1041003, 1041004, 1041005]	9
8	卡列尼娜	[1071002, 1071003, 1071004]	32
9	渡边	[1081002, 1081003, 1081004]	23
10	艾拉	[1091002, 1091003]	28
11	苏菲亚	[1111002]	39
12	库洛姆	[1121002, 1121003]	36
13	薇拉	[1131002, 1131003, 1131004]	10
14	卡穆	[1511003]	38
15	罗塞塔	[1141003, 1141004]	4
16	曲	[1521003, 1521004]	22
17	常羽	[1161002]	37
18	露娜	[1171003, 1171004]	21
19	赛琳娜	[1531003, 1531004, 1531005]	12
20	万事	[1211002, 1211003]	18
21	21号	[1221002, 1221003]	27
22	罗兰	[1541003]	35
23	蒲牢	[1551003]	34
24	含英	[1241002, 1241003]	19
25	哈卡玛	[1561003]	33
26	诺安	[1571003]	31
27	邦比娜塔	[1231002]	30
28	诺克提	[1251002]	26
29	亚里莎	[1261003]	25
30	拉弥亚	[1271003]	24
31	布偶熊	[1291002, 1291003]	5
32	布丽姬特	[1301002]	20
33	八咫	[1311002]	16
34	伊什梅尔	[1321003]	14
35	莉莉丝	[1331003]	13
36	洁塔薇	[1341002]	11
37	斜奏	[1371002]	8
38	维罗妮卡	[1381003]	7
39	涅缇娅	[1391003]	3
