Id	ActivityId	PreStage	TimeId	Name	BagCapacity	FirstSupplyCnt	InitialPiece	InitialPieceNum	Row	Column	Desc	PerfectDesc	ShowDeleteOption	InitialPieceGroup	InitialPieceGroupAmount	IsChallenge	CoverImage	ShowBondId	TutorialPage
101	2		45201	·01	255		[5]	[1]	4	5	5回合，金币70	5回合，金币70					Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	1	
102	2	101	45201	·02	255		[13, 14, 5, 6]	[1, 1, 1, 1]	4	5	10回合，金币500	10回合，金币500					Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	2|1	4
103	2	102	45201	·03	255		[12, 11, 13, 6, 14, 5, 99999, 99998]	[1, 1, 1, 1, 1, 1, 2, 2]	4	5	10回合，金币600	15回合，金币1400	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	2|1	
201	2	103	45202	·01	255		[29, 5, 1, 1, 1]	[1, 1, 1, 1, 1]	4	5	10回合，金币400	15回合，金币1200	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	3|2|1	5
202	2	201	45202	·02	255		[2, 2, 2, 2, 2, 2, 14, 25, 23, 24]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	4	5	15回合，金币1400	20回合，金币2700	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	3|2|1	
301	2	202	45203	·01	255		[35, 45, 3, 4, 23, 24, 25]	[1, 1, 1, 1, 1, 1, 1]	4	5	10回合，金币1500	15回合，金币3000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	4|3	6
302	2	301	45203	·02	255		[11, 12, 13, 14, 15, 35, 42]	[1, 1, 1, 1, 1, 1, 1]	4	5	15回合，金币2000	20回合，金币4800	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	4|3|2	
401	2	302	45204	·01	255		[47, 48, 50, 51, 3, 4]	[1, 1, 1, 1, 1, 1]	4	5	10回合，金币1000	15回合，金币2600	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	5|3|2|4|1|6	7
402	2	401	45204	·02	255		[48, 23, 24, 25, 38]	[1, 1, 1, 1, 1]	4	5	15回合，金币3000	20回合，金币5000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	5|4|3|2|1|6	
501	2	402	45205	·01	255		[1, 1, 99999, 99998]	[1, 1, 5, 5]	4	5	15回合，金币1600	25回合，金币10000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	5|3|4|2|1|6	
502	2	501	45205	·02	255		[1, 1, 99999, 99998]	[1, 1, 5, 5]	4	5	15回合，金币800	25回合，金币3500	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	3|2|1	
601	2	502	45206	·01	255		[5]	[1]	4	5	15回合，金币900	20回合，金币1600	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	6|1|2|3|4	8
602	2	601	45206	·02	255		[59, 49, 50]	[1, 1, 1]	4	5	15回合，金币4000	25回合，金币12000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	6|5|2|3|4|1	
701	2	602	45207	·01	255		[59, 57, 99999, 99998]	[1, 1, 5, 5]	4	5	15回合，金币1800	25回合，金币10000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	6|1|2|3|4|5	
702	2	701	45207	·02	255		[59, 33, 99999, 99998]	[1, 1, 5, 5]	4	5	15回合，金币1200	25回合，金币5000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	6|1|3|4	
703	2	702	45207	·03	255		[1, 1, 99999, 99998]	[1, 1, 5, 5]	4	5	15回合，金币1000	30回合，金币10000	True				Assets/Product/Texture/Image/UiLuckyTenant/stage001.png	6|1|2|3|4|5	
