Id	BondId	Level	SkillRequire	SkillId	SkillQualityId	IsPassive	SkillMode	EffectiveLevelEnd
1	1		1	1001		1		
2	1	1	2	1003	1			
3	1	2	3	1004	2			
4	1	3	4	1005	3			
5	2		1	2001		1		
6	2		1	2002		1		
7	2	1	2	2003	1			
8	2	2	4	2004	2			
9	2	3	6	2005	3			
10	2	4	8	2006	4			
11	3		1	3001		1		
12	3		1	3002		1		
13	3	1	2	3003	1			
14	3	2	4	3004	2			
15	3	3	6	3005	3			
16	3	4	8	3006	4			
17	4		1	4001		1		
18	4		1	4002		1		
19	4	1	1	4003	1			
20	4	2	2	4004	2			
21	4	3	3	4005	3			
22	4	4	4	4006	4			
23	5		1	5001		1		
24	5		1	5002		1		
25	5	1	2	5003	1			
26	5	2	4	5004	2			
27	5	3	6	5005	3			
28	5	4	8	5007	4			
29	6		1	6001		1		
30	6	1	1	6002	3			
31	6	2	2	6003	4			
