Id	StageId	Name	Desc	Round	Score	RewardPieces	RewardPiecesAmount	NormalClear	PerfectClear	Condition
101001	101	第1轮	2回合	2	10	[99999, 99998]	[5, 5]			
101002	101	第2轮	5回合	5	70			True	True	
102001	102	第1轮	5回合	5	80	[99999, 99998]	[5, 5]	True		
102002	102	第2轮	10回合	10	300	[99999, 99998]	[5, 5]		True	
103001	103	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
103002	103	第2轮	10回合	10	300	[99999, 99998]	[5, 5]	True		
103003	103	第3轮	15回合	15	700				True	
201001	201	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
201002	201	第2轮	10回合	10	300	[99999, 99998]	[5, 5]	True		
201003	201	第3轮	15回合	15	700	[99999, 99998]	[5, 5]		True	
202001	202	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
202002	202	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
202003	202	第3轮	15回合	15	700	[99999, 99998]	[5, 5]	True		
202004	202	第4轮	20回合	20	1100	[99999, 99998]	[5, 5]		True	
301001	301	第1轮	5回合	5	150	[99999, 99998]	[5, 5]			
301002	301	第2轮	10回合	10	700	[99999, 99998]	[5, 5]	True		
301003	301	第3轮	15回合	15	1400	[99999, 99998]	[5, 5]		True	
302001	302	第1轮	5回合	5	150	[99999, 99998]	[5, 5]			
302002	302	第2轮	10回合	10	700	[99999, 99998]	[5, 5]			
302003	302	第3轮	15回合	15	1400	[99999, 99998]	[5, 5]	True		
302004	302	第4轮	20回合	20	2000	[99999, 99998]	[5, 5]		True	
401001	401	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
401002	401	第2轮	10回合	10	300	[99999, 99998]	[5, 5]	True		
401003	401	第3轮	15回合	15	700	[99999, 99998]	[5, 5]		True	
402001	402	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
402002	402	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
402003	402	第3轮	15回合	15	700	[99999, 99998]	[5, 5]	True		
402004	402	第4轮	20回合	20	1100	[99999, 99998]	[5, 5]		True	
501001	501	第1轮	5回合	5	30	[99999, 99998]	[5, 5]			
501002	501	第2轮	10回合	10	200	[99999, 99998]	[5, 5]			
501003	501	第3轮	15回合	15	600	[99999, 99998]	[5, 5]			
501004	501	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]	True		
501005	501	第5轮	25回合	25	1500	[99999, 99998]	[5, 5]		True	
502001	502	第1轮	5回合	5	30	[99999, 99998]	[5, 5]			
502002	502	第2轮	10回合	10	200	[99999, 99998]	[5, 5]			
502003	502	第3轮	15回合	15	600	[99999, 99998]	[5, 5]	True		
502004	502	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]			
502005	502	第5轮	25回合	25	1500	[99999, 99998]	[5, 5]		True	
601001	601	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
601002	601	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
601003	601	第3轮	15回合	15	600	[99999, 99998]	[5, 5]	True		
601004	601	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]		True	
602001	602	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
602002	602	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
602003	602	第3轮	15回合	15	600	[99999, 99998]	[5, 5]	True		
602004	602	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]			
602005	602	第5轮	25回合	25	1500	[99999, 99998]	[5, 5]		True	
701001	701	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
701002	701	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
701003	701	第3轮	15回合	15	600	[99999, 99998]	[5, 5]	True		
701004	701	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]			
701005	701	第5轮	25回合	25	1500	[99999, 99998]	[5, 5]		True	
702001	702	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
702002	702	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
702003	702	第3轮	15回合	15	600	[99999, 99998]	[5, 5]	True		
702004	702	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]			
702005	702	第5轮	25回合	25	1500	[99999, 99998]	[5, 5]		True	
703001	703	第1轮	5回合	5	100	[99999, 99998]	[5, 5]			
703002	703	第2轮	10回合	10	300	[99999, 99998]	[5, 5]			
703003	703	第3轮	15回合	15	600	[99999, 99998]	[5, 5]	True		
703004	703	第4轮	20回合	20	1000	[99999, 99998]	[5, 5]			
703005	703	第5轮	25回合	25	1500	[99999, 99998]	[5, 5]			
703006	703	第6轮	30回合	30	2000	[99999, 99998]	[5, 5]			
703007	703	第7轮	35回合	35	2800	[99999, 99998]	[5, 5]			
703008	703	第8轮	40回合	40	3600	[99999, 99998]	[5, 5]			
703009	703	第9轮	45回合	45	4400	[99999, 99998]	[5, 5]			
703010	703	第10轮	50回合	50	5200	[99999, 99998]	[5, 5]		True	
