Id	Type	Name	Desc	Params	Score	Priority	IsPassive	IsEffectUponJoining	EffectJustOnFirstRound	Condition
1001	101		[<color=#f57c05>金融</color>]可被传染帕弥什；\n感染后每{0}回合在相邻空位产生{2}枚<color=#000000>金币</color>	[1, 1, 1]						
1002	102		感染帕弥什中；\n每{0}回合在相邻的空位产生{2}枚<color=#000000>金币</color>	[1, 1, 1]						
1003	103		[<color=#f57c05>金融</color>]基础金币额外+{0}；\n被消除金币+{1}	[2, 2]						
1004	103		[<color=#f57c05>金融</color>]基础金币额外+{0}；\n被消除金币+{1}	[2, 2]						
1005	105		[<color=#f57c05>金融</color>]基础金币额外+{0}；\n被消除金币*{1}	[2, 2]						
2001	201		[<color=#5f1fdf>侵蚀</color>]有繁衍特性；\n每{0}回合在相邻空位产生{1}枚<color=#000000>赤bug</color>；\n<color=#000000>赤bug</color>在{3}回合后死亡	[2, 1, 2, 2]						
2002	202		若[<color=#5f1fdf>侵蚀</color>]相邻无空位生成<color=#000000>赤bug</color>，则基础金币+{0}	[2]						
2003	203		<color=#000000>赤bug</color>基础金币+{0}	[2, 2]						
2004	204		当[<color=#5f1fdf>侵蚀</color>]、<color=#000000>赤bug</color>在死亡或被消除时，额外得{0}倍基础金币收益	[2, 3]						
2005	205		<color=#000000>赤bug</color>改为{0}回合后死亡	[2, 1]						
2006	207		当<color=#000000>赤bug</color>死亡或被消除时，可传染相邻棋子帕弥什；每成功传染1枚+{0}金币收益	[2, 10, 1, 4, 5]						
2008	208		死亡时可传染相邻棋子帕弥什；每成功传染1枚棋子+{0}金币收益	[20, 5, 4, 3]						7
2009	209		每{0}回合在相邻空位产生{1}枚<color=#000000>赤bug</color>	[2, 1, 2]					8	
2010	210		存在{0}回合后死亡	[2]						
3001	301		每{0}回合[<color=#49c10e>人才</color>]等级+{1}，上限lv.{2}	[4, 1, 20]						
3002	302		[<color=#49c10e>人才</color>]等级每+1级，基础金币会根据品质，\n额外+({0}，{1}，{2}，{3})	[1, 2, 3, 4]						
3003	303		[<color=#49c10e>人才</color>]升级的倒计回上限-{0}	[1, 0, 0]						
3004	304		[<color=#49c10e>人才</color>]可发动消除；\n随机消除相邻{0}枚棋子；\n每消除{1}枚，等级+{2}	[1, 1, 1]						
3005	305		[<color=#49c10e>人才</color>]可发动双消；\n成功消除时，可再次消除{0}次；\n消除相邻棋子数量+{1}	[1, 2]						
3006	306		[<color=#49c10e>人才</color>]等级为{0}的倍数时，消除同行同列棋子	[5, 10]						
4001	401		相邻2枚同品质[<color=#0761f6>武器</color>]，可融合提升品质；\n属性叠加，上限lv.{0}	[20]						
4002	402		[<color=#0761f6>武器</color>]等级每+1级，基础金币会根据品质，\n额外+({0}，{1}，{2}，{3})	[1, 2, 3, 4]						
4003	403		[<color=#0761f6>武器</color>]可融合<color=#000000>武器碎片</color>升级	[3, 4]						
4004	404		[<color=#0761f6>武器</color>]可被传染帕弥什；\n可融合任意相邻[<color=#0761f6>武器</color>]，且等级额外+{0}	[1]						
4005	405		[<color=#0761f6>武器</color>]让相邻的{0}枚棋子等级+{1}；\n成功后自身等级+{2}	[1, 1, 1]						
4006	407		[<color=#0761f6>武器</color>]让相邻{0}枚棋子倒计时清零；\n成功后自身等级+{1}	[1, 2]						
5001	501		[<color=#00afe9>盲盒</color>]倒计时{0}回合后消失，并在相邻空位产生{1}枚同品质的随机棋子；\n如无空位，基础金币+{2}	[3, 1, 2]						
5002	502		[<color=#00afe9>盲盒</color>]消失后，原地产生1枚[<color=#00afe9>盲盒</color>]；\n{0}%概率原品质，{1}%概率品质+1；\n橙色品质不升级	[70, 30]						
5003	503		[<color=#00afe9>盲盒</color>]消失倒计回合的上限-{0}	[1]						
5004	504		[<color=#00afe9>盲盒</color>]相邻棋子升级时，当前倒计时-{0}	[1]						
5005	505		[<color=#00afe9>盲盒</color>]可被传染帕弥什；\n感染后自身倒计时-{0}；\n仅产出[<color=#5f1fdf>侵蚀</color>]，{1}%概率另得1枚[<color=#f83d50>红雾</color>]	[1, 30, 59]						
5006	506		感染帕弥什中；\n仅产出[<color=#5f1fdf>侵蚀</color>]棋子，{1}%概率额外产出1枚[<color=#f83d50>红雾</color>]	[1, 30, 59]						
5007	507		[<color=#00afe9>盲盒</color>]被消除时，升级品质+1；\n若为橙色品质，改为基础金币+{0}	[10]					3	
5008	508		倒计时{0}回合后消失，在相邻空位产生{1}枚同品质的随机棋子；\n如无空位，则基础金币+{2}	[3, 1, 2]						
6001	601		[<color=#f83d50>红雾</color>]每回合传染相邻棋子	[1, 4, 5]						
6002	602		[<color=#f83d50>红雾</color>]相邻棋子存在消亡或被消除时，\n[<color=#f83d50>红雾</color>]基础金币+{0}	[4]						
6003	603		[<color=#f83d50>红雾</color>]相邻棋子存在倒计回合时，\n[<color=#f83d50>红雾</color>]有{0}%概率清零倒计时，且基础金币+{1}	[30, 4]						
4007	408		感染帕弥什中；\n可融合任意相邻[<color=#0761f6>武器</color>]，且等级额外+{0}	[1]						
