Id	UiVersion	UiDataIndex	Name	Width	Height
1			消球栏	1272.0	189.0
2		1	方向摇杆	280.0	280.0
3		2	单机QTE头像	153.0	306.0
4		3	联机队友头像	395.0	237.0
5		4	攻击键	210.0	210.0
6		5	闪避键	210.0	210.0
7		6	必杀键	210.0	210.0
8		7	能量槽	274.0	16.0
9		8	锁定键	120.0	120.0
10		9	联机通讯键	120.0	120.0
11		10	特殊键	140.0	140.0
12		11	辅助机	140.0	140.0
13		12	敌方信息	858.189	80.0304
14		13	敌方buff	444.2185	62.5219
15		14	敌方效应	85.0665	89.5699
16		15	我方效应	106.2698	106.2698
17		16	Combo&总伤害	330.6807	198.955
18	1		消球栏	1272.0	166.4174
19	1	1	方向摇杆	280.0	280.0
20	1	2	单机QTE头像	153.0	360.0
21	1	3	联机队友头像	395.0	237.0
22	1	4	攻击键	210.0	210.0
23	1	5	闪避键	210.0	210.0
24	1	6	必杀键	210.0	210.0
25	1	7	能量槽	274.0	16.0
26	1	8	锁定键	120.0	120.0
27	1	9	联机通讯键	120.0	120.0
28	1	10	特殊键	140.0	140.0
29	1	11	辅助机	140.0	140.0
30	1	12	敌方信息	864.0	77.0
31	1	13	敌方buff	448.0	58.0
32	1	14	敌方效应	85.0	89.5
33	1	15	我方效应	106.2698	106.2698
34	1	16	Combo&总伤害	330.5	199.0
35	1	17	关卡信息/暂停	364.1437	80.0
36	1	18	角色信息	416.0	72.0
37	1	19	角色buff	388.0	52.0
