Id	AnimState	SODataPath
1	Run	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
2	Walk	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
3	Sprint	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
4	Stand1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
5	Stand2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
6	RunStart	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
7	RunStartEnd01	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
8	Stop	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
9	SprintStart	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
10	SprintStartEnd01	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
11	SprintStop	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
12	WalkStart	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
13	WalkEnd	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
14	Jumpsquat1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
15	Jumprise1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
16	Jumprising1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
17	Jumpchange1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
18	Jumpfall1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
19	Jumpfalling1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
20	Jumpdown1	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
21	Jumpsquat2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
22	Jumprise2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
23	Jumprising2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
24	Jumpchange2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
25	Jumpfall2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
26	Jumpfalling2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
27	Jumpdown2	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
28	Photo_01	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
29	Photo_02	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
30	Photo_03	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
31	Photo_04	Assets/Product/Role/ExpressionSO/Common/Animation/XREABlinkLoop.asset
51	Run	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
52	Walk	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
53	Sprint	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
54	Stand1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
55	Stand2	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
56	RunStart	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
57	RunStartEnd01	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
58	Stop	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
59	SprintStart	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
60	SprintStartEnd01	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
61	SprintStop	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
62	WalkStart	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
63	WalkEnd	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
64	Jumpsquat1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
65	Jumprise1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
66	Jumprising1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
67	Jumpchange1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
68	Jumpfall1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
69	Jumpfalling1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
70	Jumpdown1	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
71	Jumpsquat2	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
72	Jumprise2	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
73	Jumprising2	Assets/Product/Role/ExpressionSO/RoleBased/R4Dubian/R4DubianMdCommon/XREABlinkLoopDubianCommon.asset
