Id	ContentId	Progress	IsSpecial	RewardId
1	101	5		7000084
2	101	15		7000085
3	101	25		7000086
4	101	35		7000087
5	101	45		7000088
6	101	55		7000089
7	101	65	1	7000090
8	101	75		7000091
9	101	85		7000157
10	101	95		7000158
11	101	100	1	7000159
101	201	5		7000160
102	201	15		7000161
103	201	25		7000162
104	201	35		7000163
105	201	45		7000164
106	201	55		7000165
107	201	65	1	7000166
108	201	75		7000167
109	201	85		7000168
110	201	95		7000169
111	201	100	1	7000170
201	301	5		7000160
202	301	15		7000161
203	301	25		7000162
204	301	35		7000163
205	301	45		7000164
206	301	55		7000165
207	301	65	1	7000166
208	301	75		7000167
209	301	85		7000168
210	301	95		7000169
211	301	100	1	7000170
