TaskId	ContentId	UnlockType	UnlockParams	ConditionId	Title	UnlockText	SkipId	TimeId
990000	101	1			映空竞跃-1		200102	
990001	101	2	[990000]		映空竞跃-2		200102	
990002	101	2	[990001]		映空竞跃-3		200102	
990003	101	2	[990002]		映空竞跃-4		200102	
990004	101	2	[990003]		映空竞跃-5		200102	
990005	101	2	[990004]		映空竞跃-6		200102	
990006	101	1			映空竞跃-全关卡挑战		200102	
990007	101	1			补给箱收集-1		200102	
990008	101	2	[990007]		补给箱收集-2		200102	
990009	101	2	[990008]		补给箱收集-3		200102	
990010	101	2	[990009]		补给箱收集-全收集挑战		200102	
990011	101	1			库洛洛咖啡-开幕	可解锁「库洛洛咖啡」玩法	990011	
990012	101	2	[990011]		库洛洛咖啡-营业记录-1		990012	
990013	101	2	[990012]		库洛洛咖啡-营业记录-2		990013	
990014	101	2	[990013]		库洛洛咖啡-营业记录-3		990014	
990015	101	2	[990014]		库洛洛咖啡-营业记录-4		990015	
990016	101	2	[990015]		库洛洛咖啡-营业记录-5		990016	
990017	101	2	[990016]		库洛洛咖啡-营业记录-6		990017	
990018	101	2	[990017]		库洛洛咖啡-特别调制-1		990018	
990019	101	2	[990018]		库洛洛咖啡-特别调制-2		990019	
990020	101	2	[990019]		库洛洛咖啡-特别调制-3		990020	
990021	101	2	[990020]		库洛洛咖啡-特别调制-4		990021	
990022	101	2	[990021]		库洛洛咖啡-特别调制-5		990022	
990023	101	2	[990022]		库洛洛咖啡-特别调制-6		990023	
990024	101	2	[990023]		库洛洛咖啡-特别调制-7		990024	
990025	101	2	[990024]		库洛洛咖啡-特别调制-8		990025	
990026	101	2	[990025]		库洛洛咖啡-特别调制-9		990026	
990027	101	2	[990026]		库洛洛咖啡-特别调制-10		990027	
990028	101	2	[990011]		库洛洛咖啡-全关卡挑战		990028	
990029	101	3	[50001024]		商业开发计划-开幕	可解锁「商业开发计划」玩法	990029	
990030	101	2	[990029]		商业开发计划-1		990030	
990031	101	2	[990030]		商业开发计划-2		990031	
990032	101	2	[990031]		商业开发计划-3		990032	
990033	101	2	[990032]		商业开发计划-4		990033	
990034	101	2	[990033]		商业开发计划-5		990034	
990035	101	2	[990034]		商业开发计划-6		990035	
990036	101	2	[990029]		商业开发计划-全关卡挑战		990036	
990037	101	1			休息时间	可解锁「指挥官休息室」	990037	
990046	101	3	[50001500]		心语任务-行至时间彼岸		990040	
990047	101	3	[50001027]		风闻任务-轻扣心门		990038	
990048	101	3	[50001028]		风闻任务-智械狂欢		990039	
990049	101	1			商业区-全任务挑战		990041	
990050	201	3	[50002001]		空域启航	可解锁「空域迷航」玩法	990050	
990051	201	2	[990050]		空域迷航1-1		990051	
990052	201	2	[990051]		空域迷航1-2		990052	
990053	201	2	[990052]		空域迷航1-3		990053	
990054	201	2	[990053]		空域迷航1-4		990054	
990055	201	2	[990054]		空域迷航2-1		990055	
990056	201	2	[990055]		空域迷航2-2		990056	
990057	201	2	[990056]		空域迷航2-3		990057	
990058	201	2	[990057]		空域迷航2-4		990058	
990059	201	2	[990058]		空域迷航3-1		990059	
990060	201	2	[990059]		空域迷航3-2		990060	
990061	201	2	[990060]		空域迷航3-3		990061	
990062	201	2	[990061]		空域迷航4-1		990062	
990063	201	2	[990062]		空域迷航4-2		990063	
990064	201	2	[990063]		空域迷航4-3		990064	
990065	201	2	[990050]		净空回声		990065	
990066	201	1			记美好的回忆-1		990066	
990067	201	2	[990066]		记美好的回忆-2		990067	
990068	201	2	[990067]		记美好的回忆-3		990068	
990069	201	2	[990068]		记美好的回忆-4		990069	
990070	201	1			向着未启之美		990070	
990071	201	3	[50002001]		库洛洛百相-1		990071	
990072	201	2	[990071]		库洛洛百相-2		990072	
990073	201	2	[990072]		库洛洛百相-3		990073	
990074	201	1			补给箱收集-1		990074	
990075	201	2	[990074]		补给箱收集-2		990075	
990076	201	2	[990075]		补给箱收集-3		990076	
990077	201	1			邂逅时光-露西亚		200111	
990078	201	1			邂逅时光-布偶熊		200112	
990079	201	1			邂逅时光-薇拉		200113	
990080	201	1			邂逅时光-比安卡		200114	
990081	201	1			邂逅时光-罗塞塔		200115	
990082	201	1			邂逅时光-万事		200116	
990083	201	1			邂逅时光-里		200117	
990084	201	1			邂逅时光-阿西莫夫		200118	
