Id	Name	Icon	TotalProgress	Priority	SkipId	CollectionLevelId	ComputeParams	ConditionIds
101	商业区-1层	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	6	3	11			
102	商业区-2层	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	7	2	12			
103	商业区-3层	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	6	1	13			
201	商业区-1层	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	3	2	14		[4001]	
202	商业区-3层	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	3	1	15		[4001]	
1001	环空影像馆	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	2	4	21			
1002	奥林匹亚艺术馆	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	3	3	22			
1003	梦晖绿荫	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	2	2	23			
1004	军事警备区	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	3	1	24			
2001	交通枢纽	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	2	6	31			
2002	联络平台	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	1	5	32			
2003	拟域训练场	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	1	4	33			
2004	研习教室	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	1	3	34			
2005	法奥斯纪念碑	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	3	2	35			
2006	黄金大厅	Assets/Product/Texture/Atlas/BigWorld/Common/UiBigWorldProcess/UiBigWorldProcessIcon18.png	1	1	36			
