Id	Desc	Param
200100	v3.6 Journal Guide	[1]
200101	v3.6 Map Guide	[1]
200102	v3.6 Dormitory - Photo Wall Guide	[1]
200103	v3.6 Photo Guide	[1]
200200	v3.6 Cafe - First Entry	[1]
200201	v3.6 Cafe - 1001 Time Period 1	[1]
200202	v3.6 Cafe - 1001 Time Period 1 Complete Previous Guide	[1]
200203	v3.6 Cafe - 1001 Time Period 2	[1]
200204	v3.6 Cafe - 1001 Time Period 3	[1]
200205	v3.6 Cafe - 1001 Cleared Back to Main Screen	[1]
200206	v3.6 Cafe - 1002 Time Period 1	[1]
200207	v3.6 Cafe - 1003 Time Period 1	[1]
200208	v3.6 Cafe - 1004 Time Period 1	[1]
200209	v3.6 Cafe - 1004 Time Period 3	[1]
200210	v3.6 Cafe - 1005 Time Period 1	[1]
200211	v3.6 Cafe - 1006 Cleared Back to Main Screen	[1]
200212	v3.6 Cafe - 2001 Time Period 1 Replace Customers	[1]
200213	v3.6 Cafe - 2001 Time Period 1 Official Game	[1]
200230	v3.6 Commercial District - First Entry	[1]
200231	v3.6 Commercial District - On 1-1 Preparation Interface	[1]
200232	v3.6 Commercial District - On 1-1 Gameplay Interface	[1]
200233	v3.6 Commercial District - Tip Bubbles During Operation Phase	[1]
200234	v3.6 Commercial District - Feedback Bubbles During Operation Phase	[1]
200235	v3.6 Commercial District - On 1-2 Preparation Interface	[1]
200236	v3.6 Commercial District - On 1-3 Preparation Interface	[1]
200237	v3.6 Commercial District - Complete Guide 200236	[1]
200238	v3.6 Commercial District - On 2-1 Preparation Interface	[1]
200239	v3.6 Commercial District - On 2-2 Preparation Interface	[1]
200240	v3.6 Commercial District - On 2-2 Gameplay Interface	[1]
200241	v3.6 Commercial District - On 3-1 Preparation Interface	[1]
200242	v3.6 Commercial District - Complete Guide 200241	[1]
200243	v3.6 Commercial District - Buildable Outer Ring Buildings	[1]
200244	v3.6 Commercial District - Complete Guide 200243	[1]
200245	v3.6 Commercial District - Sudden Event	[1]
200246	v3.6 Commercial District - Regular Promotion	[1]
200247	v3.6 Commercial District - Completed Guide 200246	[1]
200248	v3.6 Commercial District - On 4-1 Preparation Interface	[1]
200249	v3.6 Commercial District - News Interface	[1]
200250	v3.6 Commercial District - Limited-Time Promotion	[1]
200251	v4.2拍照引导1	[1]
200252	v4.2拍照引导2	[1]
200253	v4.2拍照引导3	[1]
200254	v4.2拍照引导4	[1]
200255	v4.2引航任务	[1]
200256	v4.2历程任务二期	[1]
200261	v4.2空域迷航-主界面	[1]
200262	v4.2空域迷航-关卡介绍	[1]
200263	v4.2空域迷航-101前	[1]
200264	v4.2空域迷航-101中	[1]
200265	v4.2空域迷航-101后	[1]
200266	v4.2空域迷航-102详情	[1]
200267	v4.2空域迷航-102前	[1]
200268	v4.2空域迷航-102中	[1]
200269	v4.2空域迷航-102后	[1]
200270	v4.2空域迷航-201	[1]
200271	v4.2空域迷航-202	[1]
200272	v4.2空域迷航-301	[1]
200273	v4.2空域迷航-401前	[1]
200274	v4.2空域迷航-401后	[1]
200275	v4.2空域迷航-402	[1]
200276	v4.2空域迷航-403	[1]
