Id	MessageId	StepId	Duration	IsCanSkip	IsEndStep	Type	SpeakerId	Emoji	VideoImage	VideoId	PhotoRefId	Image	Text	NextStep
20			1.0	True		1	101						['指挥官，恭喜你正式进入休假期了！']	[21]
21			0.5	True		1	101						['真是羡慕你……']	[22]
22			0.5	True		1	101						['啊不，没什么。']	[23]
23			1.5	True		1	101						['之前蕾奥妮非要捣鼓的“那个东西”，已经寄送到导航点了。']	[24]
24			1.0	True		1	101						['那就麻烦你亲自跑一趟了，一会见！']	
25			1.0			1	102						['指挥官今天是休息日，还没有安排吧？']	[26]
26			0.5			2							['暂时没有。']	[27]
27			1.0			1	102						['我预定了下午茶，想和你一起分享。']	[28]
28			0.5			1	102						['一会我来接你吧。']	[29]
29			1.0			5	102	Assets/Product/Texture/Image/IconExpression/IconExpressA159.png						
31			1.0	True		2							['卡列尼娜，你听说过“芙洛世商会”吗？']	[32]
32			1.5	True		1	103						['[自动回复]最近非常非常忙！！现在有事不在，有空了再联系！！']	[33]
33			0.5	True		1	103						['！']	[34]
34			0.5	True		3							['你先忙……？']	[341]
341			0.5	True		2							['你先忙……？']	[35]
35			1.5	True		1	103						['舰桥修复而已，先聊你的事，“芙洛世商会”是什么东西？']	[36]
36			2.5	True		2							['最近商业广场的部分商家收到了“芙洛世商会”的威胁信，信中要强迫他们加入这个组织。']	[37]
37			1.5	True		1	103						['没听说过，不过，我可以帮你问问布偶熊。']	[38]
38			0.5	True		2							['好，麻烦你了。']	[39]
39			1.5	True		1	103						['[自动回复]最近非常非常忙！！现在有事不在，有空了再联系！！']	[40]
40			1.0	True		1	103						['小事一桩罢了，之后要当面好好感谢我。']	[41]
41			1.0	True		5	103	Assets/Product/Texture/Image/IconExpression/IconExpressA86.png						
42			1.5	True		1	104						['[PlayerName]，你要找的这个芙洛世商会可不简单。']	[43]
43			0.5	True		2							['这么快？']	[44]
44			1.5	True		1	104						['还好吧，破译了几十个加密锁而已。']	[45]
45			1.5	True		1	104						['不过按照老规矩，一分钱，一分货，你应该明白的吧~？']	[46]
46			1.0	True		5	104	Assets/Product/Texture/Image/IconExpression/IconExpressA170.png						[47]
47			1.0	True		2							['回去请你喝樱桃味电解液。']	[48]
48			1.0	True		1	104						['行，要亲自送货上门哦☆~']	[49]
49			3.0	True		1	104						['我刚刚溯源到了商会的一部分交易记录，发现了一些有关物资走私、人员偷渡的数据。']	[50]
50			3.0	True		1	104						['简而言之，芙洛世商会是一个表面上经营奢侈品交易，暗地里却在运作各种不良产业的灰色组织。', '43']	[51]
51			0.5	True		2							['事态严重起来了。']	[52]
52			3.0	True		1	104						['我看他们的内网结构很眼熟，就也顺手调查了一下，结果发现，和诺曼矿业记录的黑野集团如出一辙。']	[53]
53			0.5	True		2							['黑野？']	[54]
54			1.5	True		1	104						['也就是说，黑野集团很有可能是芙洛世商会的靠山。']	[55]
55			1.0	True		2							['谢谢你，布偶熊，帮大忙了。']	[56]
56			1.5	True		1	104						['嗯，后面要是还有什么搞不定的事，记得多准备几罐电解液哦~']	
57			2.0	True		2							['蕾奥妮，我最近在商业露天广场这边执行任务，方便借用几台辅助机吗？']	[58]
58			1.0	True		1	105						['好啊，你想要什么类型的？']	[59]
59			1.5	True		2							['主要是想给构造体游客们试用，按照你的推荐来就好。']	[60]
60			1.5	True		2							['[坐标位置]发送到这里就行，我会和赛利卡同步消息的。']	[61]
61			1.0	True		1	105						['好，那我现在就把这三只小家伙发过去~']	[62]
62			2.0	True		1	105						['哦对了，盖亚号试作机的新机能调试完毕了，有时间过来帮忙测试！有偿！']	
63			1.5	True		4							['—你们已经成功添加为好友，现在开始聊天吧—']	[64]
64			1.5	True		1	106						['本店提供甜品预约与定制服务，如有需要，欢迎随时联系。']	[65]
65			1.0	True		2							['我找到了AI做不出来的特制甜品。']	[66]
66			1.5	True		2							['原料是：面粉、黄油、白砂糖，以及献给顾客的真诚笑容。']	[67]
67			1.5	True		1	106						['等等！停！停停停！你是怎么知道这句话的？']	[68]
68			1.0	True		2							['从弈智桌游社的老板那里。']	[69]
69			2.5	True		1	106						['格雷？！就知道是他！啊——太丢人了……为什么以前的我会把这种话当做口头禅挂在嘴边？']	[70]
70			3.0	True		1	106						['真是不知道当时的自己在想什么，居然会觉得只要给顾客些笑容，甜品就能更好吃……真正影响甜品味道的，是制作工艺！']	[71]
71			3.0	True		2							['有时候笑容所传达的真诚，确实能在某种程度上影响顾客的感受。你过去亲自实践过这一点，对它的理解肯定比我更深刻。']	[72]
72			1.5	True		1	106						['……但你所谓的真心，要怎样才能超越AI精细的工艺？']	[73]
73			2.5	True		2							['有人认为AI工艺无可匹敌，也有人坚持情感赋予甜品独特价值。这个问题的答案，只能由你亲自去探寻。']	[74]
74			1.5	True		2							['但探寻的前提是，你依然在坚持从事这个行业。']	[75]
75			1.5	True		2							['不如试试坚持下去，看看会怎样？我们也会努力帮忙的。']	[76]
76			3.0	True		1	106						['不论何时何地，都要献给顾客的真诚笑容……这是我卖出第一份甜品时所立下的规矩。但没想到，时过境迁，我竟淡忘了自己最初的坚持，只顾彷徨于一些暂无定论的争辩。']	[77]
