Id	Type	OpenType	ContactsId	IsMultiple	Priority	RewardId	AwardId	FirstStepId	QuestId	ConditionIds
1001	1	2	101		3			20		
1002	2	2	102					25		
200101	1	2	103					31		
200102	1	2	104					42		
200103	1	2	118					20010301		
200104	3	2	106					64		
200105	3	2	107					83		
200106	1	2	104					20010401		
100101	1	2	102					10010101		
100102	1	2	102					10010201		
100103	1	2	102					10010301		
100104	1	2	102					10010401		
200301	1	2	114					20030101		
200302	1	2	116					20030201		
200303	1	2	114					20030301		
200304	1	2	116					20030401		
200201	1	2	115					20020101		
200202	1	2	115					20020201		
200203	1	2	120					20020301		
300401	2	2	114					30040101	3004	
300501	1	2	119					30050101		
100201	1	2	121					10020101		
201001	1	2	131					20100101		
201201	1	2	103					20120101		
201101	1	2	124					20110101		
201102	1	2	123					20110201		
201301	1	2	104					20130101		
201302	1	2	123					20130201		
200801	1	2	122					20080101		
201303	1	2	123					20130301		
201401	1	2	124					20140101		
201402	1	2	104					20140201		
201403	1	2	126					20140301		
200701	1	2	128					20070101		
200901	1	2	115					20090101		
201404	1	2	124					20140401		
201405	1	2	130					20140501		
