StageId	Text
30130411	建议使用耳机获得最佳游戏体验
30130412	建议使用耳机获得最佳游戏体验
30130413	建议使用耳机获得最佳游戏体验
30130414	建议使用耳机获得最佳游戏体验
30130415	建议使用耳机获得最佳游戏体验
30130601	建议使用耳机获得最佳游戏体验
30130602	建议使用耳机获得最佳游戏体验
30130603	建议使用耳机获得最佳游戏体验
30130604	建议使用耳机获得最佳游戏体验
30130605	建议使用耳机获得最佳游戏体验
30130451	打开耳机，感受身临其境的剧情
30130452	打开耳机，感受身临其境的剧情
30130453	打开耳机，感受身临其境的剧情
30130454	打开耳机，感受身临其境的剧情
30130455	打开耳机，感受身临其境的剧情
30130456	打开耳机，感受身临其境的剧情
30130457	打开耳机，感受身临其境的剧情
30130458	打开耳机，感受身临其境的剧情
30130459	打开耳机，感受身临其境的剧情
30130460	打开耳机，感受身临其境的剧情
30130461	打开耳机，感受身临其境的剧情
30130462	打开耳机，感受身临其境的剧情
30130463	打开耳机，感受身临其境的剧情
30130475	打开耳机，感受身临其境的剧情
30130476	打开耳机，感受身临其境的剧情
30130477	打开耳机，感受身临其境的剧情
30130478	打开耳机，感受身临其境的剧情
30130479	打开耳机，感受身临其境的剧情
30130480	打开耳机，感受身临其境的剧情
30130481	打开耳机，感受身临其境的剧情
30130482	打开耳机，感受身临其境的剧情
30130483	打开耳机，感受身临其境的剧情
30130484	打开耳机，感受身临其境的剧情
30130485	打开耳机，感受身临其境的剧情
30130486	打开耳机，感受身临其境的剧情
30130487	打开耳机，感受身临其境的剧情
