Id	FirstTagId	Order	TagName	ChapterType	ChapterTypeShowCondition	Bg	CustomParams	ShowCondition
1	3	1	浮点纪实	[76]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg1.png		770400
2	3	4	活动记录	[75]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg2.png		770400
3	3	5	外篇旧闻	[74]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg3.png		770400
4	3	6	间章旧闻	[77]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg4.png		770400
5	4	1	研习课程	[72, 14, 47, 80]	[770400, 0, 8006, 770406]	Assets/Product/Texture/Image/UiNewFuBen/NewFuBenYanxiBg1.png		
6	5	1	战力培养	[73]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenZiyuanBg1.png		
7	5	2	角色碎片	[78]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenZiyuanBg1.png		
8	6	1	常规挑战	[5, 10, 44, 91]	[862851, 0, 862852, 862854]	Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png		770411
9	6	2	特殊挑战	[71, 9, 28, 11, 86, 90, 55]	[862852, 0, 862853, 862852, 0, 862851, 862851]	Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png		770413
10	6	5	多维演绎	[60, 81, 92, 99]	[862851, 862854, 862854, 862854]	Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png		5001
11	3	2	本我回廊	[83]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg1.png		
12	3	3	相约纪事	[38]		Assets/Product/Texture/Image/UiNewFuBen/NewFuBenBg3.png		
13	6	4	时宇漫纪	[105]	[862852]	Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png	['1']	5001
14	6	3	空中花园	[106]	[862852]	Assets/Product/Texture/Image/UiNewFuBen/NewFuBenTiaozhanBg1.png	['1']	5001
