Id	StageId	Title	WebUrl	Icon	TeachIcon	HeadLine	Description
1011002	30030301	控弹	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Li.png	{1: '控弹 — <color=#0d70bc>消除黄色信号球+消除红色信号球</color>'}	{1: '消除黄球后，下次红球子弹额外附加<color=#D91414>爆炎</color>效果，子弹命中敌人时发生爆炸，爆炸对范围内的敌人造成火属性伤害。'}
1021001	30030301	红莲-双刀术	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/IconGuide/GuideR1Luxiya.png	{1: '红莲-双刀术 — <color=#0d70bc>任意3消+消除红色信号球</color>'}	{1: '任意3消后，4秒内再次消除红色信号时，露西亚·红莲进入爆发状态，将使用<color=#D91414>双刀术</color>代替普通攻击。红莲-双刀术：连续攻击敌人造成物理伤害。'}
1031001	30030301	激光束群	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/IconGuide/GuideR1Lifu.png	{1: '激光束群 — <color=#0d70bc>任意3消+消除红色信号球</color>'}	{1: '任意3消后下次消除红色信号球将释放激光束群，对目标造成物理伤害。'}
1041002	30030301	饶恕箭筒	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Bianka.png	{1: '饶恕箭筒 — <color=#0d70bc>任意3消+点击必杀</color>'}	{1: '每次3消将会储存能量箭矢，下次释放必杀时将储存的能量箭一齐发出，每支能量箭对目标额外物理伤害。'}
1051001	30030301	EX-切割风暴	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Yongyechao.png	{1: 'EX-切割风暴 — <color=#0d70bc>任意3消+消除黄色信号球</color>'}	{1: '任意3消后，再次消除黄球时，七实·风暴将释放EX-切割风暴，对周围的敌人持续攻击造成物理伤害。'}
1061002	30030301	攻防律动	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Shenwei.png	{1: '攻防律动 — <color=#0d70bc>任意3消</color>'}	{1: '任意3消后获得充能值。存在充能值时，神威·重能攻击增加。充能状态下，充能值持续减少。'}
1071002	30030301	炮斗战术	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Kalienina.png	{1: '炮斗战术 — <color=#0d70bc>3次任意3消+点击普通攻击</color>'}	{1: '<color=#D91414>3</color>次3消后或释放必杀技后，卡列尼娜·爆裂进入<color=#D91414>爆发状态</color>，下次普通攻击将用远程炮击攻击。'}
1081002	30030301	疾驰幻影	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Dubian.png	{1: '疾驰幻影 — <color=#0d70bc>2次任意3消+点击普通攻击</color>'}	{1: '每次3消的最后一击将会把目标标记，叠加<color=#D91414>2</color>次标记时，将释放能量分身攻击，每次普通攻击时，都将命令能量分身攻击一次。'}
1031002	30030301	逆白鹭领域	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	Assets/Product/Texture/Image/IconGuide/GuideR2Lifu.png	{1: '逆白鹭领域 — <color=#0d70bc>消除红色信号球概率触发/消除蓝色信号球+点击普通攻击概率触发</color>'}	{1: '普通攻击标记的敌人，有概率召唤<color=#D91414>引雷</color>，造成雷属性伤害。消除红色信号球有概率触发<color=#D91414>引雷</color>。触发<color=#D91414>4</color>次<color=#D91414>引雷</color>后，下次<color=#D91414>引雷</color>将召唤<color=#D91414>EX引雷</color>，造成雷属性伤害并治疗领域内友方。'}
1021002	30030301	红莲-引雷舞	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/IconGuide/GuideR2Luxiya.png	{1: '红莲-引雷舞 — <color=#0d70bc>消除黄/蓝色信号球+点击普通攻击概率触发</color>'}	{1: '<color=#D91414>引雷</color>：攻击被标记的敌人时，概率引发落雷攻击目标，造成雷属性伤害。'}
1061003	30030301	战意	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/IconGuide/GuideR3Shenwei.png	{1: '战意 — <color=#0d70bc>任意3消</color>', 2: '战意 — <color=#0d70bc>暗影状态+被动生效</color>'}	{1: '3消额外获得<color=#D91414>10</color>点能量。', 2: '<color=#D91414>暗影状态</color>下，自身物理抗性和暗属性抗性增加。'}
1031003	30030301	女神连接系统	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/IconGuide/GuideR3Lifu.png	{1: '女神连接系统 — <color=#0d70bc>任意3消/触发五次光罚后</color>'}	{1: '3消或触发5次<color=#D91414>光罚</color>后，为自身周围的友方单位回复生命值。'}
