Id	Name	Description
1	暗质辐射	暗属性伤害提高。
2	连锁聚变	暗属性抗性降低
3	烬尘崩裂	黯衍伤害提高。
11	炙火淬炼	火属性伤害提高。
12	灼热侵袭	火属性抗性降低。
13	炽怒扬威	焚烧伤害提高。
21	极凝霜晶	冰属性伤害提高。
22	霜晶刻蚀	冰属性抗性降低。
31	电频迸发	雷属性伤害提高。
32	乱流干扰	雷属性抗性降低。
33	电镭激变	电束伤害提高。
41	战场分析	物理伤害提高。
42	电子药	物理伤害提高。
43	超限力矩	物理伤害提高。
44	侵彻支点	物理抗性降低。
45	频闪光伏	熠光伤害提高。
51	虚空崩解	空属性伤害提高
101	荣光之盾	战斗时，荣光的生命值将被压缩，另外的部分填充为随时间恢复的护盾。
102	凝体寒霜	满足条件三消后进入此状态。此时若荣光受到攻击，则攻击无效并减速敌人。
103	寒魄	当能量槽满时，长按普攻进入寒魄状态，信号球重新排列，普攻强化。
104	寒魄强袭	进入寒魄状态后的强化普攻，但无法回复信号球。
105	绽放射击	万事后撤步同时进行射击，如果撤步过程中成功闪避，则随后的狙击有较长时间无敌，并造成冰属性伤害。
106	冻结	使空气中的水分凝结，迫使敌人无法进行任何动作。
107	透甲之击	物理防御降低。
108	引枪追击	三消后点击普攻触发引枪追击，叠加1层电荷缠绕。
109	音之庇护	赛琳娜·幻奏提供的护盾，存在期间角色免疫受击。
110	九龙单位	目前九龙单位包括曲·雀翎、蒲牢·华钟、含英·清商。
111	时滞演算	角色与敌人身上的部分技能效果计时、超算空间冷却的计时、切换角色冷却的计时、QTE冷却的计时以及关卡计时都将被暂停。
112	独域九龙单位	目前独域九龙单位包括曲·雀翎与蒲牢·华钟。
113	单球	指无法组成三消或双消的信号球
114	稳态解离	对稳态立场造成额外伤害。
115	集域超限	触发超算空间时获得的将下次任意消球判定为三消的效果
116	磐晶力场	下次释放红、蓝球二段时消耗一层，获得霸体和50%减伤
