Id	Type	Title	Desc	ImageUrl	Weight	ShowCondition
1	0	伊甸级·空中花园	第一艘超光速宇宙移民舰“空中花园”的建设，曾是一项众望所归的世纪工程。\n而这次举全球之力的大协作，也将人类社会带入前所未有的“统一和进步”的黄金时代。\n病毒爆发之后，空中花园的建设被迫停止，并接纳了绝大多数逃往太空的幸存者。\n如今它作为人类夺回地球的起点，长期泊于弧形轨道船坞内，与派往地面的部队保持联系。	Assets/Product/Texture/Image/BgUi/BgFightLoading.jpg	30	
2	902	心情值	宿舍的舒适度、与宿舍成员互动可提升宿舍成员的心情值\n达到开心还可获得成员赠礼	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
3	902	舒适度	将宿舍成员放置在对应喜好的舒适度下\n可以加快宿舍成员的体力/心情恢复	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
4	902	心情事件	随机刷新的心情事件会大幅减少宿舍成员的心情值\n正确解决事件即可恢复大量心情值	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
5	902	抚摸	点击抚摸按钮进入界面\n每日可通过抚摸少量恢复宿舍成员心情值	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
6	10101	伊甸级·空中花园	第一艘超光速宇宙移民舰“空中花园”的建设，曾是一项众望所归的世纪工程。\n而这次举全球之力的大协作，也将人类社会带入前所未有的“统一和进步”的黄金时代。\n病毒爆发之后，空中花园的建设被迫停止，并接纳了绝大多数逃往太空的幸存者。\n如今它作为人类夺回地球的起点，长期泊于弧形轨道船坞内，与派往地面的部队保持联系。	Assets/Product/Texture/Image/BgUi/BgFightLoading.jpg	30	
7	10101	感染体	感染体的类型包括但不限于电子设备设施，机械体，构造体……\n各感染体会根据其自身特性表现出诸如改造，增殖，破坏等不同行为，\n但最终目的都是为了更高效地消灭所有人类意识个体，\n且自身体内的帕弥什病毒浓度越高，攻击欲望就越强烈，破坏力也会越强。	Assets/Product/Texture/Image/BgUi/BgFightLoading2.jpg	30	
8	10101	帕弥什病毒	最初，帕弥什病毒以极高的密度从人类第一座零点能反应堆的真空腔体中现身。\n在其不断进行质量展开的过程中，引发了泄漏爆炸，使其随大气环流最终蔓延至全球。\n帕弥什病毒能够直接破坏生物体细胞，或通过操控逻辑电路使机械体呈现被感染状态，\n并对任何具有人类意识行为的个体，展现出极其强烈的攻击欲望。	Assets/Product/Texture/Image/BgUi/BgFightLoading4.jpg	30	
9	10101	灰鸦小队	执行部队下属的“灰鸦”，是一支名声响亮的传奇小队。\n作为队长的露西亚，曾在无数战火中得到淬炼，有着极为丰富的作战经验。\n而每一位被她征入灰鸦小队的同伴，也都是各自领域中出类拔萃的精英。\n另一方面，关于灰鸦小队创立背后的各种神秘传闻，也几乎从未有过停止。	Assets/Product/Texture/Image/BgUi/BgFightLoading6.jpg	30	
10	10101	北极航线联合	由于人类对聚变技术的掌握，高速破冰船的出现使得人类完全征服北冰洋。\n北极航线自此成为人类贸易最为繁忙的航线。\n由各贸易港口结成的“北极航线联合”，最终成为黄金时代四大经济体之一。\n由于其地理环境特殊，帕弥什病毒长期处于中低浓度状态。	Assets/Product/Texture/Image/BgUi/BgFightLoading8.jpg	30	
11	10101	国际空间站	历史悠久的前沿科学实验设施，在黄金时代早期主要承担场物理相关实验的任务。\n在成功完成大统一理论的验证后，随即进行了人类历史上第一次引力生成与操控实验。\n空间站中的人工智能吉祥物“科罗廖夫”负责将从这里诞生前沿科学理论，以通俗易懂的方式向大众进行科普。\n在帕弥什病毒爆发之后，由于引力失控而开始逐渐吸附周围的帕弥什病毒与航天器残骸，并持续成长。	Assets/Product/Texture/Image/BgUi/BgFightLoading10.jpg	30	
12	10101	逆元装置	逆元装置是所有构造体抵御帕弥什病毒的第一道防线。\n在人类阵线的升级方案中，允许构造体们通过逆元装置接收附近指挥官的思维信标——\n这也是如今“构造体+指挥官”战术体系形成的重要前提。	Assets/Product/Texture/Image/BgUi/BgFightLoading15.jpg	30	
13	10101	阿迪莱商业联盟	阿迪莱商业联盟发源于中东地区，是以奥赛兰姆号永久列车为领地的组织。\n在列车长久的行驶中，形成了富有特色的列车文化，被称为奔驰的移动城邦。\n组织内部秉承君主制，以横贯欧亚大陆的商业交易为主业，与大陆各势力均有联系。\n阿迪莱商业联盟崇尚利益，但内部矛盾根深蒂固，当前的首领为阿迪莱四代——阿迪莱·贾米拉·埃米尔。	Assets/Product/Texture/Image/BgUi/BgFightLoading14.jpg	30	
14	10101	九龙商会	九龙商会为黄金时代东亚沿海城市成立的区域性商会，掌控当地的资产流动和政治导向。\n商会下辖职部九龙众，皆为构造体，以龙生九子的概念命名，分管商会各项组织活动。\n黄金时代，九龙商会曾投入高额的经费与大量人力，进行与“格式塔”同等规模的人工智能项目的研究——“华胥”系统即为其技术结晶。	Assets/Product/Texture/Image/BgUi/BgFightLoading17.jpg	30	
15	10101	联合共同体九龙	联合共同体九龙，前身为黄金时代东亚沿海城市成立的九龙商会。\n其早期技术结晶——格式塔同源AI“华胥”，在帕弥什爆发之际推演出人类自救计划方案。\n而联合共同体九龙首领，曲，据其一方案对民众进行全民改造，启动“万世铭”计划，皆旨为保存地球文明。\n自此，联合共同体九龙闭关锁城，成为完全封闭的独立组织，构造体技术也停留在了空中花园升空之前。	Assets/Product/Texture/Image/BgUi/BgFightLoading19.jpg	30	
16	10101	重灾区	根据帕弥什浓度高低不同，空中花园将地面作战区域划分为四个等级——低级，中级，高级，重灾。\n血清和逆元装置都无法抵御重灾区中极高浓度的帕弥什病毒，再加上感染体在重灾区中会变得更加疯狂的因素，\n让重灾区的危险程度大大提升，导致人类和构造体很难在重灾区存活下来。\n经过特殊调试的构造体虽然能短时间进入重灾区进行勘测，但是均无法胜任长期作战。\n目前已知的重灾区情报均出自空中花园派遣的数支先行小队，其中大多数构造体永远地留在了重灾区之中	Assets/Product/Texture/Image/BgUi/BgFightLoading21.jpg	30	
17	10101	守林人·其之一	一个位于西伯利亚森林地区的，主要由异人型构造体所结成的特殊组织。\n成立的最初目的是为了防御从森林南部向北移动，进入北极航线联合领地的感染体。\n目前守林人的领袖，是一位叫做罗塞塔的构造体。	Assets/Product/Texture/Image/BgUi/BgFightLoading9.jpg	30	
18	10101	守林人·其之二	以北极航线联合管辖区域作为行动范围的武装守卫组织，成员均是背负‘罪人’污名的异人型构造体。\n守林人基于极地的环境进行了机体和装备的特化调整，使她们无论在雪地还是冰面上，都能进行灵活的作战。	Assets/Product/Texture/Image/BgUi/BgFightLoading23.jpg	30	
