Id	ConsumeTicket	GridName	ConditionDesc	FeatureTitle	FeatureDesc
30161001	1	01	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射</color>。']
30161002	1	02	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>电盾</color>。']
30161003	1	03	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射、闪现</color>。']
30161004	1	04	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>电盾、埋雷、暴走</color>。', '在超算空间中己方<color=#0e70bd>伤害增加10%</color>。']
30161005	1	05	通过关卡，并且尽可能的达成星级条件。	['敌人波数']	['一共有<color=#0e70bd>1波</color>敌人。']
30161006	1	06	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射</color>。']
30161007	1	07	通过关卡，并且尽可能的达成星级条件。	['敌人波数']	['一共有<color=#0e70bd>1波</color>敌人。']
30161008	1	08	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射、黑洞</color>。']
30161009	1	09	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>埋雷</color>。']
30161010	1	10	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>电盾、埋雷</color>。', '在超算空间中己方<color=#0e70bd>伤害增加10%</color>。']
30161011	1	11	通过关卡，并且尽可能的达成星级条件。	['敌人波数']	['一共有<color=#0e70bd>1波</color>敌人。']
30161012	1	12	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>闭环、独狼</color>。', '己方<color=#0e70bd>受到伤害后将会每秒掉血持续10s，闪避可以提前消除此效果</color>。']
30161013	1	13	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射</color>。']
30161014	1	14	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '在超算空间中己方<color=#0e70bd>伤害增加10%</color>。']
30161015	1	15	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>闭环、独狼</color>。']
