Id	Value
UiCharacter	1
UiExhibitionInfo	2
UiRoomCharacter	3
UiBattleRoomRoleDetail	4
UiBattleRoleRoom	5
UiFashion	6
UiFavorabilityLineRoomCharacter	7
UiDoubleTowersRoom	8
UiFashionDetail	9
UiMain	10
UiFavorabilityNew	11
UiPhotograph	12
UiPhotographPortrait	13
UiCharacterSystemV2P6	14
UiTheatre3RoleRoomDetail	15
UiSelectCharacterStrongholdSupport	16
UiSelectCharacterStrongholdPower	17
UiSelectCharacterAssignOccupy	18
UiSelectCharacterAwarenessOccupy	19
UiBiancaTheatreMainMassage	20
UiStrongholdRoomCharacterV2P6	21
UiAwarenessRoomCharacter	22
UiAssignRoomCharacter	23
R4YongyechaobotMd010011	1
R4YongyechaobotMd010021	2
R4YongyechaobotMd010031	3
R4YongyechaobotMd019321	4
R3WeilaMd019331	5
R3KuluomuMd019011	6
R2HanyingMd010011	7
R2HanyingMd010021	8
R2HanyingMd010031	9
R3TwentyoneMd010011	10
R3TwentyoneMd010021	11
R3TwentyoneMd010031	12
QR2LiangMd010011TX	13
QR1LuxiyaMd010011TX	14
QR1LifuMd010011TX	15
QR2BiankaMd010011TX	16
QR2YongyechaoMd010011TX	17
QR2ShenweiMd010011TX	18
QR2KalieninaMd010011TX	19
QR2DubianMd010011TX	20
QR2LuxiyaMd010011TX	21
QR2LifuMd010011TX	22
QR3LiangMd010011TX	23
QR3LifuMd010011TX	24
QR3ShenweiMd010011TX	25
QR3KalieninaMd010011TX	26
QR3YongyechaoMd010011TX	27
QR3LuxiyaMd010011TX	28
QR3DubianMd010011TX	29
QR2AilaMd010011TX	30
QR3BiankaMd010011TX	31
QR2SufeiyaMd010011TX	32
QR2KuluomuMd010011TX	33
QR4LuxiyaMd010011TX	34
QR2WeilaMd010011TX	35
QR2KamuMd010011TX	36
QR3LuosaitaMd010011TX	37
QR2QuMd010011TX	38
QR1ChangyuMd010011TX	39
QR3LunaMd010011TX	40
QR2WanshiMd010011TX	41
QR3SailinnaMd010011TX	42
QR3KuluomuMd010011TX	43
QR2TwentyoneMd010011TX	44
QR3WeilaMd010011TX	45
QR2LuolanMd010011TX	46
QR4LifuMd010011TX	47
QR4SailinnaMd010011TX	48
QR2PulaoMd010011TX	49
QR4YongyechaoMd010011TX	50
QR2HakamaMd010011TX	51
QR4KalieninaMd010011TX	52
QR2NuoanMd010011TX	53
QR4BiankaMd010011TX	54
QR2BangbinataMd010011TX	55
QR4LiangMd010011TX	56
QR5LuxiyaMd010011TX	57
QR3AilaMd010011TX	58
QR2HanyingMd010011TX	59
QR3TwentyoneMd010011TX	60
R2YongyechaoMd010011	61
R2YongyechaoMd010021	62
R2YongyechaoMd010031	63
R2YongyechaoMd019011	64
R3YongyechaoMd010011	65
R3YongyechaoMd010021	66
R3YongyechaoMd010031	67
R3YongyechaoMd019011	68
R3YongyechaoMd019071	69
R3YongyechaoMd019211	70
R3YongyechaoMd019271	71
R4YongyechaoMd010011	72
R4YongyechaoMd010021	73
R4YongyechaoMd010031	74
R4YongyechaoMd019321	75
R2PulaoMd010011	76
R2PulaoMd010021	77
R2PulaoMd010031	78
R2PulaoMd019311	79
R2PulaoMd019091	80
R2BangbinataMd010011	81
R2BangbinataMd010021	82
R2BangbinataMd010031	83
R2BangbinataMd019011	84
R2ChangyuMd010011	85
R2ChangyuMd010021	86
R2ChangyuMd010031	87
R2ChangyuMd019071	88
R2ChangyuMd019141	89
R2SufeiyaMd010011	90
R2SufeiyaMd010021	91
R2SufeiyaMd010031	92
R2SufeiyaMd019011	93
R2SufeiyaMd019031	94
R2SufeiyaMd019231	95
R2TwentyoneMd010011	96
R2TwentyoneMd010021	97
R2TwentyoneMd010031	98
R2TwentyoneMd019091	99
R2TwentyoneMd019331	100
R2TwentyoneMd019201	101
R3TwentyoneMd019041	102
R3LuosaitaMd010011	103
R3LuosaitaMd010021	104
R3LuosaitaMd010031	105
R3LuosaitaMd019031	106
R3LuosaitaMd019241	107
R3LuosaitaMd019351	108
