Id	ActivityId	Name	CostItemId	CostItemCount	IsFree	RewardId	Icon	BuyDesc	BuyDescCloudGame
1	1	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※ 6星意识碎片\n  ※ 角色培养材料\n※ 装备及辅助机强化素材	
2	1	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※ 累计获得<color=#0E70BD>辅助机研发券×2500</color>\n  ※ 辅助机培养材料\n※ 购买后即送<color=#0E70BD>10</color>级评定等级	
3	1	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※ 独域·提琴剑涂装<color=#0E70BD>辉月幻想曲</color>\n  ※ 累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※ 购买后即送<color=#0E70BD>10</color>级评定等级	
4	2	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※ 6星意识碎片\n  ※ 角色培养材料\n※ 装备及辅助机强化素材	
5	2	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※ 累计获得<color=#0E70BD>辅助机研发券×2500</color>\n  ※ 辅助机突破材料\n※ 购买后即送<color=#0E70BD>10</color>级评定等级	
6	2	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※ 电锯涂装<color=#0E70BD>南瓜咧嘴笑</color>\n  ※ 累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※ 购买后即送<color=#0E70BD>10</color>级评定等级	
7	3	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
8	3	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
9	3	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※大剑涂装<color=#0E70BD>深海突击</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
10	4	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
11	4	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
12	4	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※独域·龙枪涂装<color=#0E70BD>静夜新生</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
13	5	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
