AreaId	PosX	PosZ	PixelRatio	AreaName	AreaImage	GroupId
1	579.2423	1335.078	5	时序广场	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessA/Layering/AreaTimeSquare_Exclude.png	101
6	569.9871	1157.994	5	露天广场	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessA/Layering/AreaPiazza_Exclude.png	103
7	593.437	1152.551	5	商业街	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessA/Layering/AreaShoppingStreet_Exclude.png	102
11	543.65	924.58	5	环空广场	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessB/Layering/AreaLevel1_Exclude.png	201
12	389.0	910.88	5	安检廊桥	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessB/Layering/AreaLevel2_Exclude.png	202
13	295.1	917.1799	5	军事警备区1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessB/Layering/AreaLevel3_Exclude.png	203
14	265.7999	917.1799	5	军事警备区2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapBusinessB/Layering/AreaLevel4_Exclude.png	204
21	274.91	167.6	5	生活服务基站·1层	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapFaaosi/Layering/AreaLevel1_Exclude.png	301
22	326.1199	163.8	5	生活服务基站·2层	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapFaaosi/Layering/AreaLevel2_Exclude.png	302
23	358.72	174.05	5	协同教学中心·1层	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapFaaosi/Layering/AreaLevel3_Exclude.png	303
24	344.0799	174.05	5	协同教学中心·2层	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapFaaosi/Layering/AreaLevel4_Exclude.png	304
25	320.6	250.1645	5	棱镜·纪念广场	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapFaaosi/Layering/AreaLevel5_Exclude.png	305
26	596.9	270.1099	5	黄金大厅	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldMap/MapFaaosi/Layering/AreaLevel6_Exclude.png	306
