Id	Name	Description	WorldDescription	Icon	Quality	Priority	MaxCount	Type	Params
28000000	电影体验劵	《阿呆蛙之日》的观影体验券。	《阿呆蛙之日》的观影体验券。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon05.png	5	10	2	1	
28000001	金色萤火虫	阿呆蛙寻找的金色萤火虫	阿呆蛙寻找的金色萤火虫	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon17.png	5	10	1	1	
28000002	折纸四叶草	露西亚为指挥官折的四叶草，闪闪发光。	露西亚为指挥官折的四叶草，闪闪发光。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon04.png	5	10	1	1	
28000003	折纸四叶草	露西亚为指挥官折的四叶草，闪闪发光。	露西亚为指挥官折的四叶草，闪闪发光。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon04.png	5	10	1	1	
28000004	新的尝试	露西亚的换装时刻。	露西亚的换装时刻。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon23.png	5	10	1	3	[104]
28000005	筑梦之境	可以构筑使用者梦境的装置，还在测试版本的试用机。	可以构筑使用者梦境的装置，还在测试版本的试用机。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon08.png	5	10	1	1	
28000006	折纸四叶草	露西亚为指挥官折的四叶草，闪闪发光。	露西亚为指挥官折的四叶草，闪闪发光。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon04.png	5	10	1	1	
28000007	写有内容的纸张	写有内容的纸张，精致而工整的字迹书写着小镇上的人们对阿呆蛙的感谢。	写有内容的纸张，精致而工整的字迹书写着小镇上的人们对阿呆蛙的感谢。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon22.png	5	10	1	1	
28000008	精致的纸折四叶草	小巧而精致的纸折四叶草，边角对折得严丝合缝。	小巧而精致的纸折四叶草，边角对折得严丝合缝。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon12.png	5	10	1	1	
28000009	粗糙的纸折四叶草	稍显粗糙的纸折四叶草，叶片有些歪斜，但折痕依旧工整。	稍显粗糙的纸折四叶草，叶片有些歪斜，但折痕依旧工整。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon13.png	5	10	1	1	
28000010	歪扭的纸折四叶草	歪歪扭扭的纸折四叶草，折痕深浅不一，边角略微重叠。	歪歪扭扭的纸折四叶草，折痕深浅不一，边角略微重叠。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon14.png	5	10	1	1	
28000011	心愿露珠	凝结着某人心愿的露珠，据说可以用它滋养出奇迹四叶草。	凝结着某人心愿的露珠，据说可以用它滋养出奇迹四叶草。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon21.png	5	10	1	1	
28000012	悬浮相机	筑梦之境中的悬浮相机，可为参与者进行摄影留念。	筑梦之境中的悬浮相机，可为参与者进行摄影留念。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon15.png	5	10	1	1	
28000013	炫彩烟花	筑梦之境为二人准备的烟花棒，随时准备着为这片短暂静谧的梦境燃放光亮。	筑梦之境为二人准备的烟花棒，随时准备着为这片短暂静谧的梦境燃放光亮。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon16.png	5	10	1	1	
28000014	四叶草戒指	凝结着指挥官心愿的四叶草戒指，赠送给属于自己的独一无二之人。	凝结着指挥官心愿的四叶草戒指，赠送给属于自己的独一无二之人。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon16.png	5	10	1	1	
28000015	心意花环	露西亚为指挥官编织的花环，寄宿着少女对重要之人的美好心愿。	露西亚为指挥官编织的花环，寄宿着少女对重要之人的美好心愿。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon09.png	5	10	1	1	
28000016	阿呆蛙玩偶	《阿呆蛙之日》限量款周边，用以纪念二人那段独特而浪漫的回忆。	《阿呆蛙之日》限量款周边，用以纪念二人那段独特而浪漫的回忆。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon06.png	5	10	1	1	
