Key	Value
EmptyTeamTip	队伍内没有成员，无法应用
QuestGoToText	前往%s领取
CommandantTradeName	指挥官
TeamFullText	当前队伍已满!
ChangeSuccessTip	更换成功
MessageMemesText	[表情]
MessageOptionsText	[输入中...]
MessageSystemText	[系统消息]
MessageVideoText	[视频]
MessageImageText	[图片]
DramaSkipConfirmTip	观看完整剧情有助于了故事发展，是否确认跳过？
MapPinDesc	图钉详情
ViewDetails	查看详情
MapPinQuestDesc	任务详情
MapAnchorQuestTip	当前任务没有追踪点
MapTeleportLevelDesc	传送至%s
MapTeleportLevelTips	是否传送至%s
MapTeleportDesc	传送
MapTrackFailDesc	已在追踪目标附近
MapQuickGoingTeleportDesc	是否传送至附近终端信标
MapQuickGoingNearTeleportDesc	当前位置更接近目标，是否继续传送
MapQuickGoingFarTeleportDesc	前往传送信标距离较远，是否继续传送
MapAiMemoryTitle	邂逅日志
CommmonTipsTitle	提示
CommmonTipsLock	功能未开启
CommmonSure	确定
SG_P_HideNpc	隐藏非控制角色
SG_P_HideSelf	隐藏控制角色
SG_P_LookAt	控制角色看镜头
SG_P_AutoSave	自动上传留影相册
SG_P_SelectAll	全选
SG_P_UnselectAll	取消全部
SG_P_UploadSucess	上传成功
SG_P_DeleteEmptyTips	请先选中照片
SG_P_UploadFull	请先清理留影相册后再尝试上传
SG_P_RemoveTips	删除后无法恢复，是否确认删除选中照片？
SG_P_NotEdit	暂无可编辑内容
SG_P_RenameEmpty	请输入修改的备注
SG_P_RenameLimitText	（1-%s字）
SG_P_TakePicDesc	拍摄%s
SG_P_TakePicTaskFinish	拍摄成功！
SG_P_DefaultFirstPersonSet	默认启用第一人称模式
SG_P_FakeSet	启动背景虚化
SG_P_FakePowerSet	虚化强度
SG_P_SaveSucess	保存成功
SG_P_QuestionTarget	？？？
SG_SS_UpgradeSucess	升级成功
SG_SS_SaveSucess	保存成功
SG_SS_EnterGameCanBuild	本轮还可以建造内圈店铺，确定要开始经营吗
SG_SS_EnterGameChangeTips	是否放弃当前建设进度，开始新一轮建设
SG_SS_GiveupStage	是否放弃当前建设进度
SG_SS_DestroyShop	是否决定拆除店铺
SG_SS_LeaveGame	是否暂时离开商业开发计划
SG_SS_FinishLeaveGame	所有关卡目标都已完成，是否马上结算关卡？
SG_SS_NotNewTips	没有黄金日刊内容
SG_SS_NoShop	需要建造有至少一个店铺
SG_SS_NoFeedback	请在运营阶段收集顾客反馈
SG_SS_NotEnoughCustomer	顾客数量不足
SG_SS_NotEnoughRes	资源不足
SG_SS_ResetConfirm	重置后会自动保存，是否重置本回合修改
SG_SS_Unselect	未选择
SG_SS_BuildingLock	未解锁
SG_SS_BuildingTagConsumpt	消费
SG_SS_BuildingTagPassenger	客流
SG_SS_BuildingTagEnvironment	氛围
SG_SS_BuildBtnBuild	建造
SG_SS_BuildBtnUpgrade	升级
SG_SS_BuildBtnCanUpgrade	可升级
SG_SS_BuildLevelMax	已满级
SG_SS_BuildBtnUnlock	建造
SG_SS_BuildBtnGo	前往
SG_SS_RunStart	开始建设
SG_SS_RunContinue	继续建设
SG_SS_NewsTitle	新闻消息
SG_SS_GrapevineTitle	小道传闻
SG_SS_LeftRoundText	剩余%s轮
SG_SS_RoundText	第%s轮
SG_SS_NextSaleSelectTips	下次促销还需%s轮
SG_SS_SaleSelectTips	请选择促销
SG_SS_SaleGridTab1	常规促销
SG_SS_SaleGridTab2	开业促销
SG_SS_LimitTaskSuccess	限时推广任务完成
SG_SS_LimitTaskFail	限时推广任务失败
SG_SS_UpgradeText1	累计消费人数：%s
SG_SS_UpgradeText2	升级还需<color=#FF0000FF>%s</color>名顾客消费
SG_SS_GoodAdd	多
SG_SS_GoodSub	少
SG_SS_PriceAdd	贵
SG_SS_PriceSub	便宜
SG_SS_GoodPosUp	上
SG_SS_GoodPosDown	下
SG_SS_SaveNotNeedTips	没有策略修改
SG_SS_SaveTipsConfirm	有未保存的修改，确认离开吗？
SG_SS_FirstReward	核心目标
SG_SS_FirstRewardDesc	完成%s轮经营或全部星级开发目标
SG_SS_NotYesterdayData	没有历史数据
SG_SS_BuildChanceText	【本轮还能建造：%s次】
SG_SS_BuildChanceTips	本轮建造次数已用完
SG_SS_NotShopToBuildTips	没有可以建造的店铺了
SG_SS_ShopAlreadyBuild	该店铺已建造
SG_SS_ShopResetNotChange	本轮没有修改
SG_SS_ShopSelectGoodFull	货架已满，无法上架新货物
SG_SS_UnlockShopSatisfactionTips	满意度不足
SG_SS_NewLimitTaskComfirmTips	有新的限时推广任务，请前往选择
SG_SS_YesterdayTxtDetail1Tips	顾客前往内圈店铺时可能会产生小费
SG_SS_YesterdayTxtDetail2Tips	顾客前往外圈店铺时可能产生突发事件
SG_SS_BillboardTurnLeft	%s轮
SG_SS_XUiSkyGardenShoppingStreetPopupRoundEnd1	店铺收入
SG_SS_XUiSkyGardenShoppingStreetPopupRoundEnd2	顾客小费
SG_SS_XUiSkyGardenShoppingStreetPopupRoundEnd3	其他变化
SG_SS_XUiSkyGardenShoppingStreetPopupRoundEnd4	氛围变化
SG_SS_XUiSkyGardenShoppingStreetPopupRoundEnd5	评分变化
SG_SS_XUiSkyGardenShoppingStreetPopupRoundEnd6	其他变化
SG_SS_Progress	开发计划星数：
DIYUnRequiredPartName	不穿戴
DIYConfirmTips	是否保存修改？
DIYPreviewConfirmTips	穿戴了未获得部件，是否恢复未获得部件并保存其他部件？
DIYFirstConfirmText	确认
DIYResettingTips	是否重置修改？
DIYSaveSuccessTip	造型保存成功！
DIYChangeSuitTip	将卸下不能同时穿戴的套装部件，是否继续？
TeachHighlightColor	<color=#1a6ec4>%s</color>
InstLevelTipExitTitle	副本
InstLevelTipExitText	是否退出%s？
InstLevelTipExitSureText	重新开始
InstLevelTipExitCancelText	退出
CancelText	取消
StoryLevelTipExitTitle	剧情副本
StoryLevelTipExitText	是否退出剧情副本？
StoryLevelTipExitSureText	保存并退出
StoryLevelTipExitCancelText	不保存并退出
FunctionShieldTips	该功能暂时无法使用
BigWorldTrackText	请前往%s
BigWorldCourseExploreProgress	<size=50><color=#34aff8>%d</color></size>/%d
BigWorldCourseCoreProgressTitle	剧情奖励
BigWorldCourseCoreQuestProgress	完成「%s」可获得奖励
BigWorldCourseCoreSkipUnableTip	完成前置任务可解锁
BigWorldCourseTaskSkipUnableTip	当前无法跳转
BigWorldPerspectiveDefaultExplain	在第一人称模式下，使用角色为「指挥官」时，视角会自动进行切换\n（游戏中可以自由切换视角模式）
BigWorldPerspectiveLevelExplain1	推荐使用【第三人称模式】游玩\n（游玩中可随时切换视角）
NoTipToday	今日不再提示
WordTipExit	是否退出空中花园?
TipReward	奖励详情
RoleFashion	成员涂装
RoleHead	成员头像
LanguageSetTips	该语言模块在空中花园中暂未实装完毕，请指挥官耐心等候~
Open	打开
CurStatusCannotOpen	当前状态无法开启
StartTrackText	开始追踪
QuestCanNotGoToText	无法跳转
QuestReadMessageText	请阅读通讯
QuestGoToCurrentLevelText	请前往任务目标
QuestGoToNewLevelText	即将离开当前场景，前往新的场景。
SOMeshText0000_001_DLCLevel4001	"""这是一个 SceneObject 特效字 Key 格式示例，【建议】格式为 $""""SOMeshText{叙事飘字队列全局编号}_{队列内飘字序号}_DLCLevel{飘字所在的关卡 Id}"""""""
SOMeshText0000_002_DLCLevel4001	"""这是 0000 号组的第 2 个飘字，下一个新的独立队列的起始文本 Key 应该是 """"SOMeshText0001_001_{飘字所在的关卡 Id}""""，队列的概念没有程序意义，只是希望能够方便查阅"""
SOMeshText0000_003_DLCLevel4001	这是 0000 号组的第 3 个飘字，配置特效字文本时请注意长度和放置位置，避免穿模问题，并且为本地化后的文本考虑一下
DeliveryNotEnough	道具不足
SkipToFinshPreCondition	前往完成前置
SkipTo	前往
Complete	已完成
EarlyAccessDesc	可提前体验任务
EarlyAccessLock	未解锁
EarlyAccessText	提前体验
EarlyAccessTitle	提前体验
EarlyAccessSubtitle	以下为前置条件
EarlyAccessContent	您可以选择越过前置条件，提前体验相关内容。\n此操作<color=#1272bb>不会影响前置条件的进度</color>。推荐以正常顺序进行游玩。
BigWorldPhotoSaveSuccessTip	照片已保存至:%s
BranchQuestAccepted	已经接取邀约，不可接取另一个角色的邀约任务
BranchQuestTips	接下来，您将与%s共度一段私人时光，进行情感交流，您可以自由选择是否体验。
LocalTextureExist	本地已经已经存在！
CourseCoreQuestProgressText	%s完成
InviteQuestFinishTotalText	结局达成数：
EnvironmentQuestFinishTotalText	已完成邂逅:
InviteQuestBeginTip	即将与%s共度一段亲密的浪漫时光
QuestIsInActiveTip	任务尚未解锁
DramaPartSkipConfirmTip	观看完整剧情有助于了故事发展，是否确认跳过？
LoginWillNoLongerPrompt	本次登录不再提示
ShopBuySuccess	购买成功
ShopBuyNotEnough	购买所需材料不足
ShopBuyNotSales	未开始发售
SkipFailByTime	不在开放时间内，无法跳转
TemporarilyNone	暂无
NoTask	暂无任务
RemainingTime	剩余时间：%s
CourseVersionNotInTime	不在开放时间内
OutfitSwitchedSuccessfully	服饰分类切换成功！
