Id	EffectType	Type	Params	Name	Desc	Icon
3001	3	11	[1, 2]	出力下降	作战推演能力减弱2点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon07.png
3002	3	11	[1, 4]	金属侵蚀	作战推演能力减弱4点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon10.png
3003	3	11	[2, 2]	信道杂音	感知推演能力减弱2点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon09.png
3004	3	11	[2, 4]	电磁屏蔽	感知推演能力减弱4点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon12.png
3005	3	11	[3, 2]	电算障碍	运算推演能力减弱2点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon08.png
3006	3	11	[3, 4]	逻辑死链	运算推演能力减弱4点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon11.png
3007	3	11	[1, 3, 2, 3, 3, 3]	链路崩溃	全部推演能力减弱3点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon13.png
10001	2	2	[1, 1]	动力外装	作战推演能力增强1点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon01.png
10002	2	2	[1, 2]	极限动力外装	作战推演能力增强2点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon04.png
10003	2	2	[2, 1]	侦查僚机	感知推演能力增强1点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon03.png
10004	2	2	[2, 2]	广域侦查僚机	感知推演能力增强2点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon06.png
10005	2	2	[3, 1]	处理元件	运算推演能力增强1点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon02.png
10006	2	2	[3, 2]	超频处理元件	运算推演能力增强2点，持续1天	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon05.png
20101	1	2	[3, 1]	算力调度	链接者运算能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png
20102	1	2	[1, 1]	机动增强	链接者作战能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png
20103	1	4	[1, 3, 100]	精准推演-作战	链接者作战能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20104	1	2	[3, 1]	算力调度	链接者运算能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png
20105	1	1	[190233]	超算增强	实体作战时，闪避值恢复速度提升50%	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon09.png
20106	1	4	[3, 3, 100]	精准推演-运算	链接者运算能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20107	1	2	[2, 1]	知觉理论	链接者感知能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png
20108	1	2	[3, 1]	算力调度	链接者运算能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png
20109	1	4	[2, 3, 100]	精准推演-感知	链接者感知能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20110	1	1	[81005]	超荷承载	实体作战时，必杀技伤害增加40%	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon09.png
20201	1	2	[2, 1]	知觉理论	链接者感知能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png
20202	1	2	[3, 1]	算力调度	链接者运算能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png
20203	1	4	[3, 3, 100]	精准推演-运算	链接者运算能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20204	1	7	[9, 400500]	资源回收	完成遭遇战事件后将额外获得战地配额	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon07.png
20205	1	2	[2, 1]	知觉理论	链接者感知能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png
20206	1	4	[2, 3, 100]	精准推演-感知	链接者感知能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20207	1	7	[9, 400501]	战略优化	完成遭遇战事件后将额外获得探索经验	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon14.png
20208	1	2	[1, 1]	机动增强	链接者作战能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png
20209	1	4	[1, 3, 100]	精准推演-作战	链接者作战能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20210	1	2	[2, 1]	知觉理论	链接者感知能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png
20301	1	2	[1, 1]	机动增强	链接者作战能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png
20302	1	2	[3, 1]	算力调度	链接者运算能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon03.png
20303	1	4	[3, 3, 100]	精准推演-运算	链接者运算能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20304	1	4	[1, 3, 100]	精准推演-作战	链接者作战能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20305	1	2	[1, 1]	机动增强	链接者作战能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png
