Id	Name	EnName	Icon	Bg	FuncGroup	Condition
1001	数据中心	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg01.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg02.png	[11003]	770400
1002	物资配送	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg03.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop01.png	[191002]	770400
2001	补给车厢	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg04.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg04.png	[12001]	601011
2002	物资配送	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg06.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop02.png	[192002]	602001
2003	分支线索	Other	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg05.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg04.png		602002
3001	补给车厢	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg07.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg06.png	[13001, 13002]	770400
3002	物资配送	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg09.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop03.png	[193002]	770400
3003	支援部队	Other	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg08.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg06.png	[213001, 213002]	603000
4001	整备空洞	Center	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg10.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg08.png	[14001]	603016
4002	物资配送	Shop	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg12.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGExploreStageShop03.png	[194002]	604001
4003	分支线索	Other	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterStageBg11.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg08.png	[134001]	624101
