Id	Disposeable	SingleDisposeable	RecordGroupId	Type	Param	Order	Name	Icon	IconR	MiniIcon	ConvertCardId	FightDes	QuickFightDes	ShowTag	MovieId
1001011				1		Virtual process	【阻挡】	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1000.png						
1001021				2		Data corruption	【前进】	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2000.png						
1001041	1		3	4	['ZX01601BA']	Story	伊甸陷落	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02.png	1001021			1	
1001051	1		2	5	['1001051', '1', '0']	Test	记录：X-779	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1001021				
1001101				10		Out	离开	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze09.png					
1021011				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1000.png						
1021012				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1001.png						
1021021				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2000.png						
1021022				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2001.png						
1021031	1		3	3	['10130102']	Story	既视风景	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02.png	1021021	伪造的数据空间内一如往常，却暗藏着某种东西。		1	ZX01602EA
1021051	1		2	5	['1021051', '1', '0']	Test	区域过载	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1021021				
1021052	1		2	5	['1021052', '1', '0']	Over	缺失性封闭	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1021021				
1021061	1		1	6	['400502']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1021021				
1021062	1		1	6	['400516']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1021021				
1021063	1		1	6	['400652']	Unexpected discovery	贵重物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1021021				
1021071		1		7	['1021021', '200', '1021061', '50', '1021091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1021021				
1021072		1		7	['1021021', '200', '1021062', '50', '1021091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1021021				
1021081				8	['1022', '26', '2']	Down	第2区域	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze08.png					
1021091		1		9	['2', '30200001', '400530', '1021031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1021021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1021092		1		9	['2', '30200002', '400530', '1021031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1021021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
