Id	Type	NeedSave	Params	RewardId	Desc	Icon
100000	1	1	['ZX01601BB']		开篇剧情	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110011	1	1	['ZX00000BA']		建立据点	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110012	1		['ZX00811BA']		随便聊聊	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110013	1	1	['ZX01610BA']	400523	S.S.D.D	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110021	1	1	['ZX01410BA']		支线内容	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
110022	1		['ZX01411BA']		支线聊聊	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120000	1	1	['ZX01611BA']		开篇剧情	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120011	1	1	['ZX01611BB']		复原线索	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120012	1		['ZZ00106BA']		循环剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120021	1	1	['ZZ00107BA']		关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
120022	1		['ZZ00108BA']		循环剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130000	1	1	['ZX01625BA']		开篇剧情	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130011	1	1	['ZX01626BA']		红潮的指引	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130012	1		['ZZ00110BA']		循环剧情2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130021	1	1	['ZX01635BA']	400631	跨越连接桥	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
130022	1		['ZZ00112BA']		循环剧情2	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
140000	1	1	['ZX01646BA']		开篇剧情	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
140011	1	1	['ZX01646BB']		完美伪装？	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
140021	1	1	['ZZ00116BA']		循环剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
191002	2		['191002']		商店	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
192002	2		['192002']		商店	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
193002	2		['193002']		商店	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
194002	2		['194002']		商店	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon02.png
13101	1	1	['ZZ00101BA']	400503	关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13102	1		['ZZ00102BA']		关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13201	1	1	['FZ01606BB']	400625	从众效应	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13202	1		['ZZ00102BA']		关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13301	1	1	['ZZ00101BA']	400503	关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13302	1		['ZZ00102BA']		关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13401	1	1	['FZ01610BB']	400503	蚕食	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
13402	1		['ZZ00102BA']		关键剧情1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
30002	3	1	['61503', '1']	400503	支线检测1	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
2130011	1	1	['FZ01608BA']	400630	若琳	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
2130021	1	1	['FZ01608BC']		记忆残响	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGExploreIcon01.png
