Id	Type	StageType	Desc	Params	Name	AreaIcon	CardIcon
10000	7		进入【空中花园】区域进行探索	['100000']	花园暹罗	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
10009	1		在【冗余区块22-16】的探索中，找到名为【X-779】的数据记录。	['1001051']	主线：<color=#59f5ff>记录【X-779】</color>	Assets/Product/Texture/Image/RoleCharacter/AximofuNomal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
11000	1		提取指定的记录后，遵循指引激活【伊甸陷落】事件。	['1001041']	主线：<color=#59f5ff>伊甸陷落</color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11001	7		前往【缓冲区】的【数据中心】建立安全区	['110011']	建立据点	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13002	3		探索【议会外广场】<color=#f5b60b>1级区域</color>，寻找深入虚拟空间的办法。	['10130102']	主线：<color=#59f5ff>既视风景 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13003	3		探索【伊甸16-B休闲模块】<color=#f5b60b>1级区域</color>，寻找可能的线索。	['10130103']	主线：<color=#59f5ff>意外的矢弹 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11004	1		继续探索【伊甸16-B休闲模块】<color=#f5b60b>1级区域</color>，找到目标信号的来源。	['1031042']	主线：<color=#59f5ff>虚伪的友人 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11005	1		探索【伊甸16-B休闲模块】<color=#f5b60b>1级区域</color>深处，追踪目标。	['1032041']	主线：<color=#59f5ff>诱饵侧写 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11006	1		【伊甸16-B休闲模块】<color=#f5b60b>1级区域</color>，并解除目标留下的三道数据封锁。	['1032055']	主线：<color=#59f5ff>加密漏洞 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
11007	1		继续探索【伊甸16-B休闲模块】<color=#f5b60b>1级区域</color>深处，寻找可能的线索。	['1032045']	主线：<color=#59f5ff>脆弱的维系 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13008	3		探索【多米尼克纪念公园】<color=#f5b60b>1级区域</color>，追踪目标的行踪	['10130105']	主线：<color=#59f5ff>打破僵局 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11009	1		继续探索【多米尼克纪念公园】<color=#f5b60b>1级区域</color>，寻找可能的线索。	['1042041']	主线：<color=#59f5ff>闭锁 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
13011	3		前往【战术舰桥层】，抵达华胥所在地。	['10130107']	主线：<color=#59f5ff>‘华胥’ </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
11012	7		回到【缓冲区】，准备离开虚拟空间。	['110013']	主线：<color=#59f5ff>S.S.D.D </color>	Assets/Product/Texture/Image/RoleCharacter/HasangNomal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
20000	7		进入【荒弃废墟(新区域)】进行探索	['120000']	主线：<color=#59f5ff>荒弃废墟 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21001	7		前往【支援区】补给车厢，完成【复原线索】事件	['120011']	主线：<color=#59f5ff>复原线索 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21002	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【危机四伏】事件	['2021041']	主线：<color=#59f5ff>危机四伏 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21003	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【狂潮之源】事件	['2021051']	主线：<color=#59f5ff>狂潮之源 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21083	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【战无不胜】事件	['2021052']	主线：<color=#59f5ff>战无不胜 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21084	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【另辟蹊径】事件	['2021053']	主线：<color=#59f5ff>另辟蹊径 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
23004	3		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【赤色狂潮】事件	['10130110']	主线：<color=#59f5ff>赤色狂潮 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21005	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>调查	['2022041']	主线：<color=#59f5ff>旧日残影 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21006	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【杂乱脚印】事件	['2022051']	主线：<color=#59f5ff>杂乱脚印 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21007	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>使用钥匙卡	['2022053']	主线：<color=#59f5ff>通过暗门 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21008	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【坍塌暗门】事件	['2022052']	主线：<color=#59f5ff>坍塌暗门 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21009	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>完成【数据芯片】事件	['2022057']	主线：<color=#59f5ff>数据芯片 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
25010	5		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>解开封锁2	['61502']	主线：<color=#59f5ff>隐藏数据 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon01.png
21011	1		前往【A区遗忘旧街】<color=#f5b60b>居民区</color>查看隐藏数据	['2022042']	主线：<color=#59f5ff>吹笛人 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
