Id	Name	SubAreaBg	Type	MazeId	SubAreaId	Condition
100	冗余区块22-16		2	100		770400
101	缓冲区	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg01.png	1		[1001, 1002]	600008
102	议会外广场		2	102		600008
103	伊甸16-B休闲模块		2	103		601002
104	多米尼克纪念公园		2	104		601007
105	战术舰桥层		2	105		601009
201	支援区	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg03.png	1		[2001, 2002, 2003]	601012
202	A区遗忘旧街		2	202		602001
203	B区商业园区遗址		2	203		602011
204	C区废弃化工厂		2	204		602020
301	外侧废墟都市	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg05.png	1		[3001, 3002, 3003]	603000
302	B01工业扇区		2	302		603001
303	B01连接长廊		2	303		603006
304	核心区		2	304		603010
305	意识海深层		2	305		603012
401	地下连接区	Assets/Product/Texture/Image/UiTRPG/UiTRPGChapterBg07.png	1		[4001, 4002, 4003]	603016
402	断片裂谷		2	402		604001
403	聚噬体左手		2	403		604011
404	聚噬体核心		2	404		604012
