Id	StartNodeId	StartCardIndex	Name	MapId	BgImage
1001	6	2	1级区域	1001	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg00.png
1021	12	2	【议会外广场】1级区域	1021	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg01.png
1022	26	2	【议会外广场】2级区域	1022	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg01.png
1023	26	3	【议会外广场】3级区域	1023	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg01.png
1031	38	2	【伊甸16-B休闲模块】1级区域	1031	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg02.png
1032	23	3	【伊甸16-B休闲模块】？级区域【废弃】	1032	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg02.png
1033	26	2	【伊甸16-B休闲模块】2级区域	1033	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg02.png
1041	50	2	【多米尼克纪念公园】1级区域	1041	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg03.png
1042	26	3	【多米尼克纪念公园】？级区域【废弃】	1042	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg03.png
1043	26	3	【多米尼克纪念公园】2级区域	1043	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg03.png
1044	26	3	【多米尼克纪念公园】3级区域	1044	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg03.png
1051	26	1	【战术舰桥层】1级区域	1051	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg04.png
1052	26	3	【战术舰桥层】2级区域	1052	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg04.png
1053	26	2	【战术舰桥层】3级区域	1053	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg04.png
2021	1	1	【A区遗忘旧街】居民区	2021	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg05.png
2022	1	4	【A区遗忘旧街】覆灰酒店	2022	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg05.png
2031	1	2	【B区商业园区遗址】第1街区	2031	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg06.png
2032	1	4	【B区商业园区遗址】第2街区	2032	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg06.png
2033	1	4	【B区商业园区遗址】第3街区	2033	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg06.png
2041	1	3	【C区废弃化工厂】入口	2041	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg07.png
2042	1	4	【C区废弃化工厂】作业区	2042	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg07.png
2043	1	4	【C区废弃化工厂】仓库	2043	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg07.png
3021	12	2	【B01工业扇区】1级区域【废弃】	3021	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg08.png
3022	24	3	【B01工业扇区】1级区域	3022	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg08.png
3023	24	3	【B01工业扇区】2级区域	3023	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg08.png
3024	26	2	【B01工业扇区】3级区域	3024	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg08.png
3031	21	3	【B01连接长廊】1级区域	3031	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg09.png
3032	21	3	【B01连接长廊】2级区域	3032	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg09.png
3033	13	2	【B01连接长廊】3级区域	3033	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg09.png
3034	24	2	【B01连接长廊】4级区域	3034	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg09.png
3041	22	3	【核心区】升降梯	3041	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg10.png
3042	20	3	【核心区】动力室	3042	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg10.png
3043	26	6	【核心区】控制中枢	3043	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg10.png
3051	21	2	【意识海深层】1级区域	3051	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg11.png
3052	30	2	【意识海深层】2级区域	3052	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg11.png
3053	3	2	【意识海深层】3级区域	3053	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg11.png
4021	1	4	【断片裂谷】开阔地	4021	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg12.png
4022	1	3	【断片裂谷】断崖	4022	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg12.png
4023	1	4	【断片裂谷】岩壁	4023	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg12.png
4024	1	6	【断片裂谷】临渊	4024	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg12.png
4031	1	3	【聚噬体左手】1级区域	4031	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg13.png
4032	1	1	【聚噬体左手】2级区域	4032	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg13.png
4041	1	3	【聚噬体核心】1级区域	4041	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg14.png
4042	1	2	【聚噬体核心】2级区域	4042	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg14.png
4043	1	6	【聚噬体核心】3级区域	4043	Assets/Product/Texture/Image/UiTRPG/UiTRPGMazeBg14.png
