Id	MessageType	IsAuto	ContentEmojiId	ButtonIcon	SyncType	Duration	ClickTimes	Priority
1	2		6	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png		5.0	3	3
2	1	True	2	Assets/Product/Texture/Image/IconExpression/IconExpressA6.png	1	8.0		2
3	1		5	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationWarning.png	2	8.0	1	9
4	1		1	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationWarning.png	2	8.0	1	8
5	1		2	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationCooperation.png	2	8.0	1	7
6	1		2	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationCooperation.png	2	8.0	1	7
7	1		2	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	8.0	1	6
8	1		16	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	8.0	1	6
9	1		17	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	8.0	1	6
10	1		18	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	8.0	1	6
11	1		16	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	1	8.0	1	6
12	1		17	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	1	8.0	1	6
13	1		18	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	1	8.0	1	6
14	2		103	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	5.0	1	5
15	2		101	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	5.0	1	5
16	2		239	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBtnCommunicationLike.png	2	5.0	1	5
