Id	Name	ModelPath	ModelFaceName	FaceSkinPath	DefaultMoveSpeed	DefaultBodyAnimName	BodyAnimPath	FaceAnimPath
1021004	露西亚	Assets/Product/Role/CharaterPrefab/R4LuxiyaMd010011.prefab	R4LuxiyaMd010011Face	Assets/Product/Role/StoryFace/R4LuxiyaMd010011FaceStoryVC.asset	1.5	PlotStand1	{0: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotAngry1Loop.anim', 1: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotAngry1ToStand1.anim', 2: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1.anim', 3: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1ToAngry1.anim', 4: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1ToTalk1.anim', 5: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotStand1ToWorry1.anim', 6: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotTalk1Loop.anim', 7: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotTalk1ToStand1.anim', 8: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotWorry1Loop.anim', 9: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/PlotWorry1ToStand1.anim'}	{0: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceAngry1.anim', 1: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceDefault.anim', 2: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceTalk1.anim', 3: 'Assets/Product/Role/Animation/R4LuxiyaMd010011/R4LuxiyaMd010011Story/FaceWorry1.anim'}
1011003	里	Assets/Product/Role/CharaterPrefab/R3LiangMd010011.prefab	R3Liang01003Face	Assets/Product/Role/StoryFace/R3Liang01003FaceStoryVC.asset	1.5	PlotStand1	{0: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotAngry1Loop.anim', 1: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotAngry1ToStand1.anim', 2: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1.anim', 3: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1ToAngry1.anim', 4: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1ToTalk1.anim', 5: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotStand1ToThink1.anim', 6: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotTalk1Loop.anim', 7: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotTalk1ToStand1.anim', 8: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotThink1Loop.anim', 9: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/PlotThink1ToStand1.anim'}	{0: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceAngry1.anim', 1: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceDefault.anim', 2: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceTalk1.anim', 3: 'Assets/Product/Role/Animation/R3LiangMd010011/R3LiangMd010011Story/FaceThink1.anim'}
1021003	赛利卡							
1021005	光耀							
1000000	丽芙	Assets/Product/Role/CharaterPrefab/R4LifuMd010021Stroy.prefab	R4LifuMd010011Face	Assets/Product/Role/StoryFace/R4LifuMd010011FaceStoryVC.asset	1.5	PlotStand1	{0: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSad1Loop.anim', 1: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSad1ToStand1.anim', 2: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSerious1Loop.anim', 3: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotSerious1ToStand1.anim', 4: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1.anim', 5: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1ToSad1.anim', 6: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1ToSerious1.anim', 7: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotStand1ToTalk1.anim', 8: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotTalk1Loop.anim', 9: 'Assets/Product/Role/Animation/R4LifuMd010011/R4LifuMd010011Story/PlotTalk1ToStand1.anim'}	{0: 'Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face05.anim', 1: 'Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face01.anim', 2: 'Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face02.anim', 3: 'Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face03.anim', 4: 'Assets/Product/Role/Animation/StoryMd/PlotFace/R4LifuMd010021/Face04.anim'}
600000								
600001	哈桑							
600002	希波克拉底							
600003	赛利卡	Assets/Product/Role/CharaterPrefab/Npc1SailikaMd000001.prefab			1.5	Stand1	{0: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 1: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 2: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 3: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 4: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 5: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 6: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 7: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 8: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim', 9: 'Assets/Product/Role/Animation/Npc1SailikaMd000001/Npc1SailikaMd000001/BaseLayer/Stand1.anim'}	
600004	构造体士兵1	Assets/Product/Role/CharaterPrefab/NPC1GouzaotiMd10002.prefab			1.5	Stand2	{0: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Stand2.anim', 1: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Standup.anim', 2: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Stun.anim', 3: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Walk.anim', 4: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommon/BaseLayer/Walkb.anim', 5: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim', 6: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim', 7: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim', 8: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim', 9: 'Assets/Product/Role/Animation/NPC1GouzaotiMdCommon/NPC1GouzaotiMdCommonDisplay/UiStand1.anim'}	
