Id	Name	Priority	CharacterId	Icon
1	观测者俯瞰	1	1321003	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner27.png
2	叛狱者诡梦	2	1331003	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner28.png
3	歌咏者之舞	3	1531005	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner29.png
4	寻道者焚骨	4	1131004	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner30.png
5	溯光者启颂	5	1041005	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner31.png
6	独行者回响	6	1381003	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner32.png
7	铭生者慈怜	7	1031005	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner33.png
8	解惑者自苦	8	1291003	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner34.png
9	故去者言别	9	1141004	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner35.png
10	溯忆者寻乡	10	1391003	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner36.png
