Id	Name	TradeName	LogName	EnName	Type	Sex	StoryChapterId	Intro	ItemId	LevelUpTemplateId	Priority	EquipType	EquipId	EmotionIcon	Foreshow	DefaultNpcFashtionId	CaptainSkillId	MissionInfo	NeedFirstShow	Code	Element	ShowTimeId	LinkageType	GeneralSkillIds	IsAddGeneral	GeneralElement	Career
1011002	里	异火	里·异火	Lee	1	2	1	灰鸦小队队员，表面上有些冷漠，擅长程序与机械，负责灰鸦小队的硬件升级与解决技术难题。	501	1	100	1	2013001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6110101	101222	回来了，快收数据。		BPN-06	2						1
1021001	露西亚	红莲	露西亚·红莲	Lucia	1	1	1	灰鸦小队队长，具有强大的勇气与牺牲精神，意志坚定地遵守命令在各个战区和感染体作战。	502	1	80	2	2022001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6210101	102122	已达成任务目标。		BPL-01	2						1
1031001	丽芙	蚀暗	丽芙·蚀暗	Liv	1	1	1	灰鸦小队队员，富有同情心的她作为最新辅助型构造体，为团队提供着可靠的支援力量，是团队最坚实的后盾。	503	1	90	3	2032001	Assets/Product/Texture/Image/IconType/IconCharacter2.png		6310101	103122	丽芙回来了，感觉很新鲜呢……		BPN-08	1						3
1041002	比安卡	零度	比安卡·零度	Bianca	1	1	1	清理部队队长，优雅而冷酷的构造体，能够很好的安排并且处理好总部派来的清理命令。	504	1	400	4	2043001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6410101	104222	您嘱托的事情已经完成。		BPO-87	1						1
1051001	七实	风暴	七实·风暴	Nanami	1	1	1	行踪时常捉摸不定的神秘构造体，活泼热闹却几乎无人知晓她的真实身份，最大的爱好是观察人类和恶作剧。	505	1	300	5	2053001	Assets/Product/Texture/Image/IconType/IconCharacter1.png		6510101	105122	七实有大发现哦！		MPL-00	1						2
1061002	神威	重能	神威·重能	Kamui	1	2	1	突击鹰小队的队员，擅长单独行动，天性乐观并且乐于助人，但脱线的性格也经常让他惹出不少麻烦。	506	1	200	6	2063001	Assets/Product/Texture/Image/IconType/IconCharacter1.png		6610101	106222	嗨嗨！有没有想我啊？		BPE-72	1						2
1071002	卡列尼娜	爆裂	卡列尼娜·爆裂	Karenina	1	1	1	工程部队的成员，出身自寰宇技师工会，目前长期作为清理部队的外援行动，生性暴躁单纯，比起谋略更倾向用爆炸解决问题。	507	1	500	7	2073001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6710101	107222	哼，比露西亚做得好吧？		BPD-72	2						1
1081002	渡边	夜刃	渡边·夜刃	Watanabe	1	2	1	遗忘者们的领袖，曾经选择了离开空中花园，与那些被世界遗忘的战友们共同安守住一方绿洲。	508	1	600	8	2083001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6810101	108222	不知道这样的结果你是否满意……		BPO-29	1						1
1021002	露西亚	黎明	露西亚·黎明	Lucia	1	1	1	露西亚的标志性机体，其强大而绚丽的身姿在战场上鼓舞着无数同伴，因被视作希望的象征而被冠以“黎明”之名。	512	1	800	2	2023001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6210201	102222	请确认这次任务的结果。		BPL-01	4						1
1031002	丽芙	流光	丽芙·流光	Liv	1	1	1	丽芙剪去了长发，以表明自身的觉悟意志，在调整为更适合战斗的姿态后，终于重新返回战场。	513	1	700	3	2033001	Assets/Product/Texture/Image/IconType/IconCharacter2.png		6310201	103222	丽芙达成了您的期望吗……		BPN-08	4						3
1011003	里	乱数	里·乱数	Lee	1	2	1	突破了准则的限制，过去与现在的感情交织，构造了机体的基础。以强大的运算能力更精确地把握住弹道，里成为了战场上最精锐的攻击尖兵。	521	1	900	1	2013001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6110301	101322	你该不会以为我有可能失败吧？		BPN-06	1						1
1031003	丽芙	仰光	丽芙·仰光	Liv	1	1	1	丽芙强大的内心中始终保存着一个单纯的梦，而这份耀眼的单纯也铸就了这台强大的机体。	523	1	1000	3	2033001	Assets/Product/Texture/Image/IconType/IconCharacter2.png		6310301	103322	这是，为了大家的未来。		BPN-08	1						3
1061003	神威	暗能	神威·暗能	Kamui	1	2	1	神威在被灌入并压制住体内澎湃的暗能后所诞生的机体形态，能够自由在两种战斗模式间切换。	516	1	1100	6	2063001	Assets/Product/Texture/Image/IconType/IconCharacter1.png		6610301	106322	指挥官，这样的任务也太简单了。		BPE-72	5						2
1071003	卡列尼娜	烬燃	卡列尼娜·烬燃	Karenina	1	1	1	解放了武器的出力限制，获得完全状态的卡列尼娜。脱去隐藏烈焰的外套，展现战斗本能，释放的高热是她燃尽一切阻碍的决心。	517	1	1200	7	2073001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6710301	107322	不夸奖我下次就不去了。		BPD-72	2						1
1051003	七实	脉冲	七实·脉冲	Nanami	1	1	1	七实的机动强化型机体，自行加装了IR-005推进轮，拥有高速突进能力的她可以在战场上自由驰骋，“只能看到我的残影吧，哼哼。”	515	1	1300	5	2053001	Assets/Product/Texture/Image/IconType/IconCharacter1.png		6510301	105322	七实是最快回来的！		MPL-00	2						2
1021003	露西亚	深红之渊	露西亚·深红之渊	Lucia	1	1	1	在015号城市的行动中与灰鸦小队初次见面的神秘敌人，给人留下了强大而随性的印象。	522	1	1400	2	2023001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6210301	102322	这种事情，下次交给其他构造体吧。		α	1						1
1081003	渡边	夙星	渡边·夙星	Watanabe	1	2	1	航机适应型机体，是渡边作为执行者部队成员时，为了驾驶航天机而特殊设计的机体。	528	1	1500	8	2083001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6810301	108322	这样的战果，尚算可以。		BPO-29	5						1
1091002	艾拉	溢彩	艾拉·溢彩	Ayla	1	1	1	考古小队队员，归属于自空中花园艺术协会，是出生在空中花园的“年轻一派”，自然散发的自信气场和对艺术的狂热追求是她的主要特征。	509	1	850	9	2093001	Assets/Product/Texture/Image/IconType/IconCharacter1.png		6910101	109222	得到了很好的灵感呢~		BPF-22	1						2
1041003	比安卡	真理	比安卡·真理	Bianca	1	1	1	在构造体技术尚不完善时诞生的非法改造机体，能够引导电荷分离来产生雷电进行攻击，擅长远距离狙杀敌人。	514	1	1600	4	2043001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6410301	104322	肃清战场，责职所在。		BPO-87	4						1
1111002	苏菲亚	银牙	苏菲亚·银牙	Sophia	1	1	1	灰鸦小队外援，来自阿迪莱商业联盟的“使节”，是出生在永久列车上的孤儿，也是领袖贾米拉帐下最锋利的剑。	531	1	1700	1	2013001	Assets/Product/Texture/Image/IconType/IconCharacter2.png		6000101	111222	……遵命。		ADL-22	2						3
1121002	库洛姆	弧光	库洛姆·弧光	Chrome	1	2	1	突击鹰小队队长，能够通过专用的稳定信道远程交换重要信息，十分重视队员，完美执行每一次任务指令是他的行为准则。	539	1	1800	9	2093001	Assets/Product/Texture/Image/IconType/IconCharacter1.png		6000201	112222	先锋者求胜。		BPE-07	4						2
1021004	露西亚	鸦羽	露西亚·鸦羽	Lucia	1	1	1	空中花园以灰鸦的经验和阿尔法的数据作为基础，专门为灰鸦小队队长露西亚配备开发的最新机体。	532	1	1900	2	2023001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6210401	102422	去取得胜利吧，大家。		BPL-01	3						1
1131002	薇拉	瑰丽	薇拉·瑰丽	Vera	1	1	1	三头犬小队队长，是远程链接技术的试验小队的主心骨，因其极端做法和锋利尖刻、难以捉摸的个性备受争议。	533	1	2000	2	2023001	Assets/Product/Texture/Image/IconType/IconCharacter2.png		6000301	113222	能够使用意识链接的指挥官……吗，不会令人失望吧？		BPN-13	5						3
1511003	卡穆	狂犬	卡穆·狂犬	Camu	2	2	1	授格者，曾存在于神威的意识海之中，如今作为空中花园特别派遣的执行者，负责执行重灾区相关任务。	534	1	2010	10	2104001	Assets/Product/Texture/Image/IconType/IconCharacter4.png		6000401	115222	果然变成这样了吗……真是让人讨厌的世界。		EXN-03	5						4
1141003	罗塞塔	凛冽	罗塞塔·凛冽	Rosetta	1	1	1	原守林人的首领，罗塞塔作为特别成员被空中花园收容，以人形的姿态投入到战斗之中。	535	1	2020	11	2114001	Assets/Product/Texture/Image/IconType/IconCharacter4.png		6000501	114322	贯穿吧！		IH-31C	1						2
1521003	曲	雀翎	曲·雀翎	Qu	2	1	1	授格者，最后一代九龙之主，环城战役后趁机隐藏至各方势力的视野之外，暗中推行着万世铭计划。	536	1	2030	13	2134001	Assets/Product/Texture/Image/IconType/IconCharacter4.png		6000701	152322	你来了。		KCS-01	1						4
1161002	常羽	游麟	常羽·游麟	Changyu	1	2	1	出身于九龙，原本在剧院工作，几经波折来到奥赛兰姆号上，成为了列车的护卫之一。	537	1	2040	14	2144001	Assets/Product/Texture/Image/IconType/IconCharacter4.png		6000601	116222	嘿，我来帮忙了，别担心，账单都记到哈桑大叔的头上了。		ADL-17	3						2
1171003	露娜	银冕	露娜·银冕	Luna	1	1	1	升格网络的代行者，这是她完全的战斗形态，能够控制帕弥什病毒异聚而成的能量和构体进行攻击，有着凌驾于所有升格者之上的力量。	538	1	2050	17	2174001	Assets/Product/Texture/Image/IconType/IconCharacter4.png		6000801	117322	未命名		CDR-02	5						1
1181003	2B	2B	2B	2B	1	1	1	隶属寄叶部队的泛用型战斗人造人，能使用剑进行近距离攻击，并通过支援系统“POD”进行远距离攻击，与机械生物战斗。	540	1	2060	12	2125001	Assets/Product/Texture/Image/IconType/IconCharacter3.png		6000901	118322	未命名		2B	1		1				1
1191003	9S	9S	9S	9S	1	2	1	正式名称为寄叶九号S型，虽具有攻击机能，但该机体是针对调查任务而成，主要擅长以骇客技术收集情报，为寄叶部队的一员。	541	1	2070	16	2165001	Assets/Product/Texture/Image/IconType/IconCharacter2.png		6001001	119323	未命名		9S	1		1				3
