Id	Name	GroupId	SortId	TimeId	ActivityType	ActivityBgType	ActivityBg	ActivityTitle	ActivityDes	ActivityPrefabPath	Params	ConditionId	ShowBeginTime	ShowEndTime	ShowAllTime
998	Invite Friend	3	1		4	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6InviteFriend.png	Invite Friend	You can share your invite code to Lv.≥20 commandants. If they use your code, you will have invited them successfully.	Assets/Product/Ui/ComponentPrefab/ActivityBase/PanelSendInvitation.prefab	[2, 10015, 3]	770400			
999	Invite Code	3	1		5	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase5OtherInviteCode.png	Invite Code	Welcome back to Gray Raven HQ. You can input the invite code of other commandants to receive corresponding rewards.	Assets/Product/Ui/ComponentPrefab/ActivityBase/PanelAcceptInvitation.prefab	[2, 10016]	770400			
981	Returning Player Experience Survey	16	1		11	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseQuestionnaire.png	Returning Player Experience Survey	Requirements: Commandant Lv.40\n\nEvent Info:\nIn order to create a better gaming environment, the Command Central has decided to conduct a survey regarding the in-game experiences of returning players. Please tap the [Advance] button below to share your thoughts! Rewards will be granted upon completion of the survey.		[2, 11641, 1]	770400			
970	Return Support	5	1		1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png	Return Support	"During the event, commandants in the ""Return"" state can complete the missions and get the rewards (the event ends when the Return state expires)."		[0, 31]	845020			
960	Phase Rewards	152	1	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualStepReward.prefab	[1]	862850		Permanent	
961	Meritorious Reward	152	2	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualPassport.prefab	[2]	862850		Permanent	
962	Phase Mission	152	3	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualTask.prefab	[3]	862850		Permanent	
963	Thunderbolt Research	152	4	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualLotto.prefab	[4]	862858		Permanent	
964	Meritorious Supply	152	5	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualGiftPack.prefab	[5]	862850		Permanent	
965	Thunderbolt Tutorial	152	6	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualTeaching.prefab	[6]	862850		Permanent	
