Id	GroupId	PreStageId	FightEventId	Name	BuffDesc
30162252	1			守备点1-1	保卫战
30162253	1	30162252		守备点1-2	保卫战
30162254	1	30162253		守备点1-3	歼灭战
30162255	2	30162254		守备点2-1	保卫战
30162256	2	30162255		守备点2-2	保卫战
30162257	2	30162256		守备点2-3	歼灭战
30162258	3	30162257		守备点3-1	保卫战
30162259	3	30162258		守备点3-2	保卫战
30162260	3	30162259		守备点3-3	歼灭战
30162261	4	30162260		守备点4-1	保卫战
30162262	4	30162261		守备点4-2	保卫战
30162263	4	30162262		守备点4-3	歼灭战
30162264	5	30162263		守备点5-1	保卫战
30162265	5	30162264		守备点5-2	歼灭战
30162266	5	30162265		守备点5-3	歼灭战
30162267	6	30162266		守备点6-1	保卫战
30162268	6	30162267		守备点6-2	保卫战
30162269	6	30162268		守备点6-3	歼灭战
30162270	7	30162269		守备点7-1	保卫战
30162271	7	30162270		守备点7-2	保卫战
30162272	7	30162271		守备点7-3	歼灭战
30162273	8	30162272		守备点8-1	保卫战
30162274	8	30162273		守备点8-2	歼灭战
30162275	8	30162274		守备点8-3	歼灭战
30162276	9	30162275		观测者之塔-1层	风平浪静
30162277	9	30162276	34049	观测者之塔-2层	敌我单位物理抗性降低
30162278	9	30162277	34045	观测者之塔-3层	敌我单位伤害增加
30162279	9	30162278	34052	观测者之塔-4层	敌我单位冰属性抗性降低
30162280	9	30162279	34043	观测者之塔-5层	敌我单位移动速度增加
30162281	9	30162280	34050	观测者之塔-6层	敌我单位火属性抗性降低
30162282	9	30162281	34048	观测者之塔-7层	场地内随机产生落雷无差别轰击对象
30162283	9	30162282	34051	观测者之塔-8层	敌我单位雷属性抗性降低
30162284	9	30162283	34047	观测者之塔-9层	敌我单位移动速度降低
30162285	9	30162284	34053	观测者之塔-10层	敌我单位暗属性抗性降低
30162286	9	30162285	34046	观测者之塔-11层	敌我单位所有抗性增加
30162287	9	30162286	34048	观测者之塔-12层	场地内随机产生落雷无差别轰击对象
30162288	9	30162287		观测者之塔-13层	风平浪静
30162289	9	30162288	34049	观测者之塔-14层	敌我单位物理抗性降低
30162290	9	30162289	34045	观测者之塔-15层	敌我单位伤害增加
30162291	9	30162290	34052	观测者之塔-16层	敌我单位冰属性抗性降低
30162292	9	30162291	34043	观测者之塔-17层	敌我单位移动速度增加
30162293	9	30162292	34050	观测者之塔-18层	敌我单位火属性抗性降低
30162294	9	30162293	34048	观测者之塔-19层	场地内随机产生落雷无差别轰击对象
30162295	9	30162294	34051	观测者之塔-20层	敌我单位雷属性抗性降低
30162296	9	30162295	34047	观测者之塔-21层	敌我单位移动速度降低
30162297	9	30162296	34053	观测者之塔-22层	敌我单位暗属性抗性降低
30162298	9	30162297	34046	观测者之塔-23层	敌我单位所有抗性增加
30162299	9	30162298	34048	观测者之塔-24层	场地内随机产生落雷无差别轰击对象
30162351	9	30162299		观测者之塔-25层	风平浪静
30162352	9	30162351	34049	观测者之塔-26层	敌我单位物理抗性降低
30162353	9	30162352	34045	观测者之塔-27层	敌我单位伤害增加
30162354	9	30162353	34052	观测者之塔-28层	敌我单位冰属性抗性降低
30162355	9	30162354	34043	观测者之塔-29层	敌我单位移动速度增加
30162356	9	30162355	34050	观测者之塔-30层	敌我单位火属性抗性降低
30162357	9	30162356	34048	观测者之塔-31层	场地内随机产生落雷无差别轰击对象
30162358	9	30162357	34051	观测者之塔-32层	敌我单位雷属性抗性降低
30162359	9	30162358	34047	观测者之塔-33层	敌我单位移动速度降低
30162360	9	30162359	34053	观测者之塔-34层	敌我单位暗属性抗性降低
30162361	9	30162360	34046	观测者之塔-35层	敌我单位所有抗性增加
30162362	9	30162361	34048	观测者之塔-36层	场地内随机产生落雷无差别轰击对象
30162363	9	30162362		观测者之塔-37层	风平浪静
30162364	9	30162363	34049	观测者之塔-38层	敌我单位物理抗性降低
30162365	9	30162364	34045	观测者之塔-39层	敌我单位伤害增加
30162366	9	30162365	34052	观测者之塔-40层	敌我单位冰属性抗性降低
30162367	9	30162366	34043	观测者之塔-41层	敌我单位移动速度增加
30162368	9	30162367	34050	观测者之塔-42层	敌我单位火属性抗性降低
30162369	9	30162368	34048	观测者之塔-43层	场地内随机产生落雷无差别轰击对象
30162370	9	30162369	34051	观测者之塔-44层	敌我单位雷属性抗性降低
30162371	9	30162370	34047	观测者之塔-45层	敌我单位移动速度降低
30162372	9	30162371	34053	观测者之塔-46层	敌我单位暗属性抗性降低
30162373	9	30162372	34046	观测者之塔-47层	敌我单位所有抗性增加
30162374	9	30162373	34048	观测者之塔-48层	场地内随机产生落雷无差别轰击对象
