Id	ActivityId	Type	Icon	Desc
1	1	1	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt11.png	增益/引燃
2	1	1	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt14.png	续航/转化
3	1	1	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt12.png	连携/暗能
4	1	1	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt13.png	减抗/雷击
5	1	1	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt15.png	控制/霜冻
6	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt7.png	伤害增幅
7	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt5.png	生命增幅
8	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt1.png	友军伤害增幅
9	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt3.png	友军抗性增幅
10	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt4.png	续航强化
11	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt6.png	攻击强化
12	1	2	Assets/Product/Texture/Image/DoubleTowers/CombatReadinessXt2.png	控制强化
