Id	Name	PluginId	Level	UpgradeSpend	FightEventId	Desc
1	战斗适应				34001	机体伤害增幅，每30秒获得并刷新护盾（机体战力参数越低获得的伤害增幅/护盾量越高）
2	守护者				34002	狩猎者伤害/抗性增加，攻击频率提升，每秒恢复3%最大生命
3	机关师				34003	准备阶段战术资源+1
4	守备				772490	经过改造的阿枪，装甲性能大幅强化
5	突破				772491	经过改造的蝾螈，射击性能大幅强化，机动性较差
6	协力				772492	经过改造的阿箭，各项性能相对均衡
7	烧夷装置	1	1		34007	点燃区域内敌人2/3/5秒(准备阶段升级)，每秒造成400%火属性伤害
8	烧夷装置	1	2	1250	34008	区域内构造体伤害与抗性提升30%
9	烧夷装置	1	3	1750	34009	区域内我方单位伤害、抗性、移速提升20%，持续5秒
10	补给装置	2	1	750	34010	区域内我方单位每秒恢复150/200/250生命值(准备阶段升级)
11	补给装置	2	2	1250	34011	受治疗单位每损失20%生命值恢复量提升25%
12	补给装置	2	3	1750	34012	将区域内溢出治疗量的3000%转化为物理伤害
13	暗质装置	3	1	750	34013	每4/3/2秒(准备阶段升级)对射程内1名敌人造成900%暗属性伤害
14	暗质装置	3	2	1250	34014	射程2倍范围内每存在1枚相同装置装置伤害+12%，每存在1枚不同装置角色伤害+12%
15	暗质装置	3	3	1750	34015	射程内每存在2名我方单位，暗质装置攻击目标+1（上限+3）
16	轰雷装置	4	1	750	34016	区域内每2/1.5/1秒(准备阶段升级)在随机位置落雷，对半径2米内敌人造成1200%雷属性伤害
17	轰雷装置	4	2	1250	34017	敌人受到雷击后所有抗性-5%，持续3.5秒（可叠加）
18	轰雷装置	4	3	1750	34018	区域内敌人受到伤害提升10%，越靠近中心提升越高；额外追加一道雷击
19	冰凝装置	5	1	750	34019	区域内敌人移速降低30/40/50%(准备阶段升级)
20	冰凝装置	5	2	1250	34020	区域内敌人每2秒受到最大生命10%的冰属性伤害
21	冰凝装置	5	3	1750	34021	装置造成伤害后有10%概率冻结敌人2秒
22	增幅核心	6	1	600	772421	狩猎者伤害+25%
23	增幅核心	6	2	800	772422	狩猎者伤害+35%
24	增幅核心	6	3	1100	772423	狩猎者伤害+50%
25	能量核心	7	1	600	772425	狩猎者生命+25%
26	能量核心	7	2	800	772426	狩猎者生命+35%
27	能量核心	7	3	1100	772427	狩猎者生命+50%
28	增幅力场	8	1	600	772462	狩猎者6米范围内友军伤害+5%
29	增幅力场	8	2	800	772463	狩猎者6米范围内友军伤害+8%
30	增幅力场	8	3	1100	772464	狩猎者6米范围内友军伤害+12%
31	守护力场	9	1	600	772472	狩猎者6米范围内友军抗性+5%
32	守护力场	9	2	800	772473	狩猎者6米范围内友军抗性+8%
33	守护力场	9	3	1100	772474	狩猎者6米范围内友军抗性+12%
34	维续组件	10	1	600	772429	狩猎者造成伤害后基于伤害量恢复少量生命
35	维续组件	10	2	800	772430	狩猎者造成伤害后基于伤害量恢复中量生命
36	维续组件	10	3	1100	772431	狩猎者造成伤害后基于伤害量恢复大量生命
37	熔火核心	11	1	600	772436	狩猎者攻击时25%概率点燃敌人2秒，每秒造成敌人最大生命6%的火属性伤害
38	熔火核心	11	2	800	772437	狩猎者攻击时35%概率点燃敌人3秒，每秒造成敌人最大生命6%的火属性伤害
39	熔火核心	11	3	1100	772438	狩猎者攻击时50%概率点燃敌人4秒，每秒造成敌人最大生命6%的火属性伤害
40	极冻核心	12	1	600	772450	狩猎者攻击时有10%的概率冻结敌人1秒
41	极冻核心	12	2	800	772451	狩猎者攻击时有15%的概率冻结敌人1.5秒
42	极冻核心	12	3	1100	772452	狩猎者攻击时有20%的概率冻结敌人2秒
