Key	Desc	Values
InitFurniture	初始家具	['26100001', '26200001', '26120005']
InitFashion	初始涂装	['27000001']
LocalPhotoFurnitureTypeId	本地照片类型Id	['3']
BtnFashionSaveText		['保存', '当前']
SwitchNewLayoutText		['是否保存并切换到新预设？', '确认切换到新预设？']
SwitchSuccess		['切换成功！']
FurnitureChangedText		['检测到有修改，是否保存?']
LayoutChangeText		['保存成功！', '切换成功！']
SelectSlotFirstText		['请先选中摆放位置']
SameTypeFullCountText		['该类物品已经放满']
OperateText		['是否确认收起所有物品？', '是否放弃当前所有改动？']
InvalidPutText		['当前摆放无效，请重新摆放！']
GiftHasBeenPutText		['该摆件已经放到其他位置，是否替换？']
DefaultAlbumPhotoIcon		['Assets/Product/Texture/Image/BigWorld/Common/UiCommon/UiBigWorldCommonPhotographEmptyBg.png']
DragSpeed		['0.1']
DefaultCameraFOV		['20']
HandleRotateSpeed		['50']
