Id	Name	TypeId	MaxCount	ConvertItemId	ConvertItemCount	PutMajorType	PutCapacity	Icon	SmallIcon	Quality	Priority	SceneObjId	Desc	WorldDesc	LockDesc	IsShow
26100001	展板	4	1			[1, 2, 6]	[5, 5, 20]	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26100001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26100001.png	4	1	1				True
26100002	展板2	4	1			[1, 2, 6]	[5, 5, 20]	Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	2				
26110001	丸丸熊出动	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110001.png	5	1	1	装饰品，可以摆放到指挥官休息室的照片墙上。	商铺方面的问题都可以来咨询熊！	参与「商业开发计划」玩法可获得。	True
26110002	感谢有喵	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110002.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110002.png	5	1	2	装饰品，可以摆放到指挥官休息室的照片墙上。	猫咪爱心协会送来的谢礼，还有一份留在了咖啡厅作为纪念。“感谢有你喵！世界有爱喵！”	参与「库洛洛咖啡」玩法可获得。	True
26110003	纸折四叶草	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110003.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110003.png	5	1	3	装饰品，可以摆放到指挥官休息室的照片墙上。	这朵四叶草的诞生，本身就代表着一定的幸运。		
26110004	樱花花环	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110004.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110004.png	5	1	4	装饰品，可以摆放到指挥官休息室的照片墙上。	我们的心意始终相通，无论是礼物，还是其他事情上。		
26110005	飞跃节拍	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110005.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110005.png	5	1	5	装饰品，可以摆放到指挥官休息室的照片墙上。	星寰娱乐精心制作的徽章，以纪念玩家在映空竞跃中的出色表现。“保持弹跳，突破云霄！”	参与「映空竞跃」玩法可获得。	True
26110006	逻辑耦件	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110006.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110006.png	5	1	6	装饰品，可以摆放到指挥官休息室的照片墙上。	星寰娱乐精心制作的雕塑，以纪念玩家在链合解码中的出色表现。“图形连动，节奏掌控！”		
26110007	补给专家	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110007.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110007.png	5	1	7	装饰品，可以摆放到指挥官休息室的照片墙上。	为保障作业人员对各区域的日常维护，相关部门会定期分发补给箱至指定节点，以供随时调用。	参与「补给箱探索」玩法可获得。	True
26110008	感谢您的抓拍	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110008.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110008.png	5	1	8	装饰品，可以摆放到指挥官休息室的照片墙上。	感谢您的抓拍，工程部队特地送来的致谢礼物。虽然看起来更像是库洛洛健身房广告。落款似乎是……\n“到底什么时候才能想好那个要求？—卡列尼娜”\n到底有人在认真感谢吗？	参与「镜头下的意志」可获得。	True
26110009	唯有引力	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110009.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110009.png	5	1	9	装饰品，可以摆放到指挥官休息室的照片墙上。	“与万有引力相对的，只存在于你和ta之间的引力波”	参与「空域迷航」玩法可获得。	True
