Id	Name	Desc	Icon
97258	自爆虫	定时召唤1只向敌人攻击的自爆虫	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22100.png
97259	刚体	免疫伤害，收到3次攻击后移除该效果。	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png
97260	隐身	非隐身状态时，3秒后进入隐身状态，受到伤害时会显形，并在3秒内无法进入隐身状态	Assets/Product/Texture/Image/IconAffix/AffixIconYinshen.png
97261	不动	敌方免疫控制和受击	Assets/Product/Texture/Image/IconAffix/AffixIconBudong.png
97262	祝福	额外伤害加成提升3%，可叠加10层，附近友方单位越多，叠加层数越高	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png
97263	闪现	与目标距离较远时，会传送到目标附近，冷却时间8-10秒，传送距离越远，冷却时间越短	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png
97264	畏冰	冰属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png
97265	主宰	免疫超算效果	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png
97267	畏火	火属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png
97266	庇护	每隔10S给自身和周围所有友方单位提供1个护盾，护盾值为自身当前血量的10%（通过这一方式获得的护盾不可叠加）	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png
97268	畏暗	暗属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png
97269	统领	额外伤害加成提升6%，可叠加10层，附近友方单位越多，叠加层数越高	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png
97270	畏雷	雷属性抗性减少30%	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png
97271	闭环	对来自远程敌人的伤害，额外伤害减免提升30%	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png
97272	暴走	增加33%攻击频率，造成伤害时，有20%几率额外造成33%的物理伤害	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png
97273	畏物	敌方物理抗性下降60%	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png
97274	薪火	此敌人死亡时将会使5米内友方单位恢复20%的生命	Assets/Product/Texture/Image/IconAffix/AffixIconBodong.png
97275	咒怨	敌人攻击将会使我方攻击下降10%，攻击力在敌方死亡时返还	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png
97276	统领	额外伤害加成提升10%，可叠加10层，附近友方单位越多，叠加层数越高	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png
97277	散失	敌人攻击将会消去我方单位的1个球，并在死亡后全部返还	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33021.png
97278	壁垒	敌方获得相当于最大生命值10%的护盾，获得护盾期间获得霸体效果。15后护盾将重新生效.	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png
97279	复苏	每秒恢复1%生命值	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png
97280	复仇	此敌人死亡时将会使5米内友方单位增加25%的伤害和5%的移动速度，可叠加3层	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png
97281	暴走	增加33%攻击频率，造成伤害时，有40%几率额外造成33%的物理伤害	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png
97282	畏元素	所有元素属性抗性减少60%	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png
97283	转移	与目标距离较近时，会传送到远离目标的位置，冷却时间8秒，受到伤害时有30%概率触发相同效果，冷却时间相互独立	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png
97284	壁垒	敌方获得相当于最大生命值30%的护盾，获得护盾期间获得霸体效果。15后护盾将重新生效.	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png
97285	辐射	持续对附近敌人造成3%的物理伤害	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png
97286	复苏	每秒恢复3%生命值	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png
97287	复仇	敌方死亡时将为身边5m范围内的其他敌方单位恢复20%最大生命值。	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png
97288	薪火	敌方怪物死亡时，其身边半径5m范围内的敌人获得50%攻击力加成和10%的移速加成，效果持续10s，最高3层	Assets/Product/Texture/Image/IconAffix/AffixIconBodong.png
97289	迅捷	增加20%-35%移动速度，与目标距离越远，移动速度越快	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png
97290	护盾	每隔10秒获得当前生命值10%的护盾，持续10秒	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png
97291	入侵	造成伤害时，每秒对目标造成1%的物理伤害，持续3秒	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png
97292	入侵	造成伤害时，每秒对目标造成5%的物理伤害，持续3秒	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png
97293	电盾	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成10%的雷属性伤害，冷却时间3秒，与目标距离越远，概率越高	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png
97294	劣化	造成伤害时，使目标受到的治疗量减少30%，持续3秒	Assets/Product/Texture/Image/IconAffix/AffixIconLuehua.png
